# Transcript: douyin_7091981840961129732

- URL: https://www.douyin.com/video/7091981840961129732
- Title: 3.6万 复制库里？乔丹·普尔投篮技术深度解析！ #投篮教学 #乔丹普尔 #库里 #waveball
- Published at: 2022-04-29 19:11:36+0800
- Generated at: 2026-06-12T18:06:27.320520+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.440 --> 00:00:07.040] 乔丹普尔以成长为一名优秀的得分手,他在季后赛持续的高光表现,一度让库里干为替补。
[00:00:07.420 --> 00:00:11.360] 他本赛季以92.5%的拔球命中率,位列联盟第一。
[00:00:11.740 --> 00:00:14.500] 有人说他的投篮像是库里的复制粘贴版本。
[00:00:14.780 --> 00:00:19.520] 本视频将深度解析普尔的投篮,同时将对比他与库里投篮的不同之处。
[00:00:19.920 --> 00:00:25.460] 普尔在远距离使用的是低抬球点的一段式投篮,而在中距离常用到1.5式的跳投。
[00:00:25.460 --> 00:00:30.380] 第一点,在投篮的下肢发力方面,普尔投篮有明显的体重习惯。
[00:00:30.660 --> 00:00:36.840] 也就是使用前脚掌启动发力,普尔相比库里在投篮降重心时,有更深的区宽屈膝幅度。
[00:00:37.140 --> 00:00:40.120] 他更多的向下蓄力,拉伸肌肉来蓄力起跳。
[00:00:40.500 --> 00:00:47.300] 而库里下蹲较浅,更多的利用筋膜以及肌腱的弹性来向上起跳,弹起速度快,起跳高度低。
[00:00:47.720 --> 00:00:52.720] 库里投篮的整体速度快于普尔,我们通过他们原地投篮的对比画面可以看到。
[00:00:52.960 --> 00:00:54.600] 普尔的下肢伸展稍慢。
[00:00:54.600 --> 00:00:59.580] 普尔在上肢发力点略有停顿,等待下肢完全伸展后上肢发力出手。
[00:01:00.000 --> 00:01:01.920] 库里的投篮就更加快速流畅。
[00:01:02.900 --> 00:01:04.000] 第二点,沉球。
[00:01:04.320 --> 00:01:14.080] 普尔投篮有明显沉球的习惯,沉球是指球员在投篮前为了调整投篮节奏,增加投篮力量,接球后持球顺势跟随身体重心下沉的动作。
[00:01:14.480 --> 00:01:19.640] 需要注意的是接球到沉球应该是一个流畅的动作,不要接球后停下来再沉球。
[00:01:21.600 --> 00:01:24.520] 没有沉球的习惯,也是很多球有投篮。
[00:01:24.600 --> 00:01:27.420] 这就是普尔的第一点,手快脚慢投篮发力脱节的根源之一。
[00:01:27.740 --> 00:01:32.580] 第三点,普尔投篮的上肢发力点,以及出手角度相比库里都更低。
[00:01:33.020 --> 00:01:39.480] 他投篮较低的上肢发力点,这与他从小双手投篮的习惯有关,这种推投的模式让他发力更轻松。
[00:01:39.920 --> 00:01:46.540] 关于出手角度,在赛季初队内训练时库里就指导普尔,提高投篮出手角度,更多的向上投。
[00:01:46.960 --> 00:01:51.700] 提高投篮的出手角度,可以增加投篮的弧度,获得更高的投篮释放点。
[00:01:51.700 --> 00:01:55.000] 这能更充分地压腕波球,提高篮球的后旋。
[00:01:55.420 --> 00:01:58.660] 高弧度,强后旋都能显著地提高命中率。
[00:01:59.040 --> 00:02:03.480] 很多人只知道库里的抬球点相对较低,却忽视了他超高的释放点。
[00:02:03.840 --> 00:02:06.680] 提高释放点同样能增加投篮的抗干扰能力。
[00:02:07.740 --> 00:02:14.020] 第四点,压腕与波球,普尔的投篮手持球,掌根以及手指的指尖,指腹接触篮球。
[00:02:14.420 --> 00:02:16.760] 掌心有自然的空隙,五指自然伸展。
[00:02:16.920 --> 00:02:20.500] 他是正腕发力的习惯,使用中指与无名指波球,
[00:02:20.760 --> 00:02:21.680] 投篮出手后长。
[00:02:21.700 --> 00:02:23.900] 会出现手腕向左偏转的情况。
[00:02:26.260 --> 00:02:31.080] 而库里投篮在上肢发力点,由侧腕转正腕,是转腕发力的习惯。
[00:02:31.520 --> 00:02:37.000] 库里的波球是十指,中指,无名指三指主导,对篮球方向的控制更加稳定。
