# Transcript: douyin_7356445386128575770

- URL: https://www.douyin.com/video/7356445386128575770
- Title: 4411 三分大赛冠军来了！给马来西亚前国青球员的投篮矫正 #投篮教学 #发力矫正 #waveball
- Published at: 2024-04-11 11:25:14+0800
- Generated at: 2026-06-12T17:40:27.530738+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.700] 这是今年年初,从马来西亚远赴重庆,找我做发力矫正与投篮技术优化的球员。
[00:00:06.040 --> 00:00:11.920] 他也曾是马来西亚国家青年队的成员,在中国举办的四国邀请赛中获得了三分大赛的冠军。
[00:00:12.360 --> 00:00:17.880] 他投篮的上肢力线及手型结构是比较稳定的,在实战中也有相对可靠的命中率。
[00:00:18.280 --> 00:00:25.880] 他主要的问题是重心前倾,投篮前跳过多,导致下肢参与不充分,压低了投篮弧度,抗防守的干扰性偏弱。
[00:00:25.880 --> 00:00:38.380] 他也曾尝试过优化改善,找过美国知名的投篮训练师,麦克邓恩以及香港的知名投篮教练Couchway,但都收效甚微。
[00:00:38.740 --> 00:00:41.920] 他在进行了膝关节康复手术后,他来中国找到了我。
[00:00:42.320 --> 00:00:45.320] 左侧是他之前的投篮,右侧是调整后的投篮。
[00:00:45.640 --> 00:00:49.800] 我对他的投篮主要进行了四个方面的优化,首先是下肢的发力模型。
[00:00:49.900 --> 00:00:55.200] 他之前蓄力是屈膝前跪过度,屈髋不足,同时踝关节也未积极参与蓄力。
[00:00:55.200 --> 00:01:00.660] 这导致他在初始阶段的蓄力,重心就已前移,在发力阶段他也以神息发力为主。
[00:01:01.000 --> 00:01:05.260] 身体重心越加前倾,下肢未完整登身,球已快要脱手。
[00:01:05.660 --> 00:01:11.000] 此处要求他髋膝踝联动蓄力,屈髋,臀部向后向下的同时膝关节向前折叠。
[00:01:11.360 --> 00:01:16.540] 双脚偏前脚掌支撑,后侧脸收紧后,脚跟自然上抬,踝关节保持刚性。
[00:01:16.940 --> 00:01:19.680] 这样就形成了髋膝踝联动,弹簧般的蓄力。
[00:01:19.880 --> 00:01:23.820] 在发力阶段,前脚掌的启动踝关节的伸展是低位的,
[00:01:25.200 --> 00:01:30.380] 虚干重心回正,膝关节最后完成伸展将力量沿垂直向上传导。
[00:01:30.680 --> 00:01:34.780] 第二个方面是协同他的发力节奏,之前他的上肢发力时机太早,
[00:01:35.060 --> 00:01:37.340] 而下肢登身速度慢并且相当被动,
[00:01:37.680 --> 00:01:41.920] 此处要求他明确蓄力的节奏,使降重心的同时上肢做收球,
[00:01:42.240 --> 00:01:46.580] 上下肢的压缩角度同步收小,发力节奏是登地的同时去起球,
[00:01:46.880 --> 00:01:49.700] 这是大多数人发力效率不高的一个关键卡点。
[00:01:49.980 --> 00:01:53.680] 当下肢完成伸展后,快速衔接上肢的主导发力。
[00:01:54.540 --> 00:01:55.020] 收住
[00:01:55.020 --> 00:01:57.580] 一起收缩看,登地再一起向上,
[00:01:59.580 --> 00:02:02.320] 收住,对,登地再向上,就是个力量。
[00:02:02.500 --> 00:02:07.060] 第三方面是改善他的起球习惯,他的起球上肢的主动发力较多,
[00:02:07.400 --> 00:02:11.380] 肩关节紧张僵硬难以充分的外展,难以顶肘向上发力,
[00:02:11.660 --> 00:02:15.140] 此处要求他持球时沉肩坠肘,肩胛骨放松下沉,
[00:02:15.440 --> 00:02:18.660] 微微含胸的状态,同时肘关节的肘尖,下垂。
[00:02:19.100 --> 00:02:23.020] 起球时也保持相对放松,跟随下肢登身向上的惯性起球,
[00:02:23.360 --> 00:02:25.000] 这样上下肢能协同的向上。
[00:02:25.020 --> 00:02:29.300] 重复地传导到篮球,此处的改善效果是非常明显的。
[00:02:29.580 --> 00:02:33.180] 第四方面主要是脚部的梳理,在一二步单脚的急停中,
[00:02:33.480 --> 00:02:37.680] 由于他的足踝力量以及刚性不足,要求他进行足背屈的蓄力,
[00:02:37.920 --> 00:02:41.060] 也就是跨步急停的同时做勾脚尖来刹车制动,
[00:02:41.340 --> 00:02:45.260] 这也能进一步拉紧身体的后侧链蓄力,让重心控制难度降低。
[00:02:45.640 --> 00:02:48.560] 而在原地投篮或投篮空间较小时使用垫步,
[00:02:48.840 --> 00:02:52.080] 通过双脚的前脚掌支撑来稳定身体重心,
[00:02:52.080 --> 00:02:55.180] 更多地利用弹性,快速省力地完成投篮。
[00:02:57.240 --> 00:03:01.120] 调整后他膝关节压力能更多地分担到髋关节与踝关节。
[00:03:01.440 --> 00:03:03.960] 踝膝关的联动蓄力,建立了后侧脸的张力,
[00:03:04.220 --> 00:03:06.000] 保证了他发力时的重心稳定。
[00:03:06.340 --> 00:03:08.360] 上下肢能充分协同地向上发力,
[00:03:08.800 --> 00:03:11.000] 出手的角度与投篮弧度得到提升,
[00:03:11.260 --> 00:03:13.120] 整体的投篮姿态也更加美观。
[00:03:13.560 --> 00:03:16.140] 最后由于他的髋关节与踝关节灵活性,
[00:03:16.380 --> 00:03:19.940] 存在一定受限,他的发力流畅度仍有较大的进步空间。
[00:03:19.940 --> 00:03:20.940] 再次强调,
[00:03:22.080 --> 00:03:24.220] 投篮技术的调整并非一劳永逸的事,
[00:03:24.540 --> 00:03:25.920] 需要长期的训练巩固,
[00:03:26.020 --> 00:03:27.620] 才能完成自我进化。
