# Transcript: douyin_7493987762757045539

- URL: https://www.douyin.com/video/7493987762757045539
- Title: 1.0万 打破传统教学！才能轻松建立上下肢协同的投篮发力 这可能是推动中国篮球发展的投篮教学案！前面我们讲了很多期关于上下肢协同依次发力的投篮模式，很多网友想知道该如何做到，本期视频就以一位比较典型的，上肢主导发力的小球员的矫正训练为例，普通人该如何建立此类发力模式。 这位小球员的投篮习惯，也是在塞尔维亚青训体训中养成的，是比较典型的上肢主导，同时伴随着重心前倾，以及过度依赖膝关节的问题，这导致了他力量的转化低效，投篮速度慢，抗干扰能力弱，我们的改造目标是让他建立，低肘跳投的投篮模型。#投篮教学 #waveball
- Published at: 2025-04-17 02:59:54+0800
- Generated at: 2026-06-12T16:39:58.654507+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.420] 这可能是推动中国篮球发展的投篮教学案例。
[00:00:03.660 --> 00:00:07.820] 前面我们讲了很多期关于上下肢协同依次发力的投篮模式。
[00:00:08.220 --> 00:00:10.120] 很多网友想知道该如何做到。
[00:00:10.380 --> 00:00:15.400] 本期视频就以一位比较典型的上肢主导发力的小球员的矫正训练为例,
[00:00:15.800 --> 00:00:18.960] 来解读普通人该如何建立此类发力模式。
[00:00:19.340 --> 00:00:23.800] 这位小球员的投篮习惯也是在塞尔维亚轻运体系中养成的,
[00:00:24.100 --> 00:00:29.660] 是比较典型的上肢主导,同时伴随着重心前倾以及过度依赖膝关节的问题。
[00:00:30.160 --> 00:00:33.840] 这导致了他力量转化低效,投篮速度慢,抗干扰能力弱。
[00:00:34.380 --> 00:00:37.420] 我们改造的目标是让他建立低肘跳投的模型。
[00:00:37.680 --> 00:00:42.440] 首先是蓄力节奏,以接球投篮为例,接球的同步是做收球降重心,
[00:00:42.560 --> 00:00:44.080] 也就是上下肢同步折叠。
[00:00:44.460 --> 00:00:47.480] 他之前的习惯是接球后边举球边降重心,
[00:00:47.800 --> 00:00:53.520] 上肢的过早启动会导致躯干的前倾,重心前倾下上肢无法建立合理的发力角度。
[00:00:53.900 --> 00:00:58.420] 其次整体的发力节奏是蹬地的同步起球,切记不要只伸宽起球,
[00:00:58.780 --> 00:00:59.960] 需要怀息宽联动。
[00:01:00.000 --> 00:01:02.780] 意识上可以建立蹬地在先,伸宽在后,
[00:01:03.040 --> 00:01:05.420] 这是很多人去尝试跳投无力的根源,
[00:01:05.700 --> 00:01:10.680] 过早的伸宽,核心稳定丢失,动力链断裂,总感觉自己跳不起来,投不出去。
[00:01:11.300 --> 00:01:14.040] 起球的行程也就是下肢躯干蹬身的过程。
[00:01:14.460 --> 00:01:18.180] 同时上肢需要顺势向上建立发力角度,肩关节上抬,
[00:01:18.320 --> 00:01:20.060] 手肘压缩,手腕后伸。
[00:01:20.480 --> 00:01:24.800] 重点是上肢需要保持相对的放松,类似我们起跳摆臂时的体感。
[00:01:24.800 --> 00:01:28.940] 当下肢完成蹬身,感知前脚掌将要离地或离开地面,
[00:01:29.060 --> 00:01:29.980] 躯干回正时,
[00:01:30.000 --> 00:01:35.540] 上肢利用下肢躯干向上建立的速度与角度,上肢再主动伸肘压腕。
[00:01:35.880 --> 00:01:40.540] 注意上肢发力的顺序,肩关节保持稳定后,肘关节的发力要略早于手腕。
[00:01:40.940 --> 00:01:44.000] 建立上下肢协同的发力节奏,理清发力顺序,
[00:01:44.140 --> 00:01:47.160] 普通人也能轻松地达成这类低肘部的跳投。
[00:01:47.400 --> 00:01:50.420] 上下肢协同发力的模式是适用于所有人类,
[00:01:50.740 --> 00:01:53.340] 这也是人类特有的投掷生物力学优势,
[00:01:53.780 --> 00:01:57.060] 而很多人却保持着灵长类动物的过顶投掷特征,
[00:01:57.060 --> 00:01:59.740] 如发力脱节,上肢主导,效率低下。
[00:02:00.060 --> 00:02:06.140] 本质上是由于未经系统训练的人未能充分激活人类特有的投掷生物力学潜能。
[00:02:06.440 --> 00:02:09.860] 此内容可参看前期视频投篮进化论视频的详解。
[00:02:10.020 --> 00:02:12.860] 在建立了上下肢协同依次发力的基础下,
[00:02:13.020 --> 00:02:18.720] 起跳的高度与上肢发力点的高度都是可以根据实战情景以及自我的身体素质去匹配的,
[00:02:19.080 --> 00:02:23.260] 这就形成了所谓的一段式,1.5段式以及两段式的个性化投篮。
[00:02:25.120 --> 00:02:27.040] 而现实中很多人还是上下肢协同,
[00:02:27.060 --> 00:02:30.620] 下肢同时发力的推求或发力脱节的两段式投篮。
[00:02:30.840 --> 00:02:36.120] 从生物力学,能量转化效率以及实战表现三个方面来看都是相对低效的。
