# Transcript: douyin_7157982786610089224

- URL: https://www.douyin.com/video/7157982786610089224
- Title: 1.8万 恶鼠打百分单挑为何如此轻松？张梓祎脚下的秘密！ #筋膜训练 #张梓祎 #waveball
- Published at: 2022-10-24 15:48:59+0800
- Generated at: 2026-06-12T18:00:30.323491+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.040] 百分单挑,为何恶术打得如此轻松?我们先看三组对比视频,重点观察两位球员的脚步。
[00:00:07.040 --> 00:00:26.540] 恶术百分单挑的首关之战在昨晚结束,赛前很多人看好李子豪能击败张子怡,都说李子豪也是一名体能怪。
[00:00:26.540 --> 00:00:35.900] 然而比赛到了第四节,李子豪体能告起,严重影响到了他进攻的效率,张子怡在第四节却越打越有劲,脚步更加灵动有力。
[00:00:36.300 --> 00:00:37.020] 这除了张子怡,还有一位球员是李子豪的最佳球员,李子豪的体能怪。
[00:00:37.020 --> 00:00:41.540] 以拥有更强的体能储备外,关键还在于他非常省力高效的发力模式。
[00:00:41.980 --> 00:00:44.160] 此处再次引用张伟丽的访谈内容。
[00:00:44.160 --> 00:00:52.180] 有的人你看特别瘦,瘦的话,你别看他瘦,他那个筋膜连接好的话会非常非常有力量。
[00:00:52.940 --> 00:00:59.000] 要用那个就是肌肉主导变成筋膜主导,然后就感觉自己的耐力比以前好了非常非常多。
[00:01:00.020 --> 00:01:03.000] 而且会有一种越打越有劲的感觉。
[00:01:03.280 --> 00:01:05.840] 而张子怡正属于张伟丽描述的这类人。
[00:01:06.140 --> 00:01:06.280] 张子怡有长期的体力,但她的体力却不太好。
[00:01:06.280 --> 00:01:08.260] 张子怡有长期练习瑜伽的习惯。
[00:01:08.560 --> 00:01:14.540] 她一度把自己一半的训练时间都放到了瑜伽上,她身体的协调性与柔韧性逐步提高。
[00:01:14.860 --> 00:01:22.940] 张子怡平时也非常注重对筋膜的放松,我们从张子怡的脚底可以看出,她的筋膜连接能力已达到了较高的水平。
[00:01:23.360 --> 00:01:29.560] 回到这场比赛,尤其在这场比赛的第四节,在进攻中,张子怡的脚跟几乎都没有落地。
[00:01:29.920 --> 00:01:32.840] 突破脚步,投篮脚步使用的都是前脚掌发力。
[00:01:32.980 --> 00:01:35.820] 她用小幅度的蓄力就获得了快速的爆发。
[00:01:35.820 --> 00:01:37.980] 充分利用了筋膜的弹性势能。
[00:01:38.420 --> 00:01:44.500] 筋膜主导的发力模式快速而省力,张子怡的很多进攻,让李子豪的防守都来不及反应。
[00:01:44.900 --> 00:01:52.000] 反观李子豪的进攻脚步,无论是突破脚步还是投篮脚步,大部分都是前脚掌踩时候,大幅度的蓄力。
[00:01:52.440 --> 00:02:00.040] 更多的用肌肉主导发力,更加费力,发力的过程较慢,不但对体力的消耗较大,也更容易遭受防守的干扰。
