# Transcript: douyin_7186546993223781643

- URL: https://www.douyin.com/video/7186546993223781643
- Title: 4730 教科书般的直线发力！“NBA得分王”东契奇投篮深度解析 #东契奇 #投篮教学 #waveball #顾全
- Published at: 2023-01-09 15:12:42+0800
- Generated at: 2026-06-12T17:57:28.383699+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.740] 我们在前期内容中解析过,国家对球员顾拳的两段是颠头,以及这种投篮模式的明显弊端。
[00:00:07.100 --> 00:00:11.060] 有一部分人提出了在NBA中,东七七也是这种投篮方式。
[00:00:11.340 --> 00:00:16.660] 然而两者的投篮却存在着明显的差别,本期视频将深度解析东七七的投篮。
[00:00:17.080 --> 00:00:20.160] 首先,对比顾拳与东七七投篮的发力节奏。
[00:00:20.580 --> 00:00:26.800] 顾拳接球后上肢起球与降重心同步,上下肢同时伸展完成投篮,脚下蹬底完成时,
[00:00:26.800 --> 00:00:32.300] 球已快要离手,下肢力量较少地转化到篮球上,主要靠上肢力量投篮。
[00:00:32.680 --> 00:00:42.680] 而东七七接球后是陈球与降重心同步,起球的同时脚下开始蹬底,脚下蹬底完成后上肢发力出手,相对更多地利用了下肢力量来投篮。
[00:00:43.120 --> 00:00:49.940] 第一部分将解析东七七的下肢发力,东七七下肢蓄力是区宽主导的,区宽带动小幅度的屈膝。
[00:00:50.100 --> 00:00:55.920] 区范小幅度的前倾,脚下主动蹬身,踝关节率先启动,带动身宽身膝。
[00:00:55.920 --> 00:01:04.040] 值得注意的是此处东七七膝关节的潜意识脚下蹬地,向上传导力量的过程,并非持续屈膝降重心的过程。
[00:01:04.040 --> 00:01:13.600] 东七七降重心时没有明显抬脚跟的习惯,他的下肢蹬身速度相比库里,汤普森这类有明显抬脚跟习惯的球员是相对较慢的。
[00:01:13.600 --> 00:01:18.640] 像顾全以及很多球友都是习惯过度屈膝蓄力,导致重心前倾。
[00:01:18.640 --> 00:01:25.820] 同时脚下蹬身不积极,错误的发力顺序,用身宽身膝带动踝关节伸展,脚下是被动蹬地。
[00:01:25.820 --> 00:01:27.820] 下肢的蹬身速度会更慢。
[00:01:27.820 --> 00:01:35.020] 顾全出手后大幅前跳,身体重心是向前冲的,东七七出手后小幅前跳,重心更加稳定。
[00:01:35.020 --> 00:01:41.060] 第二部分是起球,东七七蹬地的同时起球,利用到了身体向上的惯性来起球。
[00:01:41.060 --> 00:01:45.700] 起球到头顶上方后,脚下蹬地完成,衔接上肢的发力出手。
[00:01:45.700 --> 00:01:51.980] 他习惯偏身体的左侧起球,这会让投篮手更加放松,同时抑制投篮手的手肘外翻。
[00:01:51.980 --> 00:01:53.820] 第三方面是上肢发力。
[00:01:53.820 --> 00:01:55.820] 第一点,东七七投篮做的重心是向上传动。
[00:01:55.820 --> 00:01:59.820] 他做到了教科书般的直线发力,非常值得大家学习。
[00:01:59.820 --> 00:02:05.820] 他在上肢发力阶段,投篮手的手肘、手腕呈一条直线穿过篮球的重心线,同时对准篮筐。
