# Transcript: douyin_7480240118100413706

- URL: https://www.douyin.com/video/7480240118100413706
- Title: 5154 肘正腕侧，腕正肘翻！投篮中的正腕与侧腕的由来 侧身侧腕投篮如何做到流畅的转腕？#投篮教学 #waveball
- Published at: 2025-03-11 01:52:01+0800
- Generated at: 2026-06-12T17:34:34.025618+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.280] 用到整体这个小胡子的旋转发力之后就是这个效果。
[00:00:03.640 --> 00:00:09.320] 好,今天我们就来跟大家说一下最近评论区出现比较多的关于正腕与侧腕的这个讨论。
[00:00:09.740 --> 00:00:23.500] 在传统教学中就要求我们脚尖冲前正身站位,然后我们正腕持球,偏右手肩上的这种投篮,就是从我们的偏右侧起球,我们保证我们的肘正,手腕也是正的这个形式。
[00:00:23.500 --> 00:00:32.280] 但随着现在篮球的发展,很多球员不再采用这种右手肩上投篮正身站位的形式,他们更多衔接的是侧身侧腕的这种形式。
[00:00:32.420 --> 00:00:45.920] 其实所谓的侧身侧腕只是在原来正身正腕的基础上整体做了一个左旋,我是一个右手,所以是做了一个左旋,我们的下肢,我们的躯干,我们的手都做了一个左旋,就形成了侧身侧腕的形式。
[00:00:46.100 --> 00:00:49.320] 为何越来越多的球员选择这种侧身侧腕的形式呢?
[00:00:49.600 --> 00:00:53.420] 首先这种侧身站位的模式能让我们的下肢基础更加稳定。
[00:00:53.500 --> 00:00:55.800] 更好的发挥我们下肢的弹性爆发。
[00:00:55.800 --> 00:01:06.220] 我们这种侧腕持球的形式在我们起球过程中能让我们的肩关节,肘关节更加放松自然的,沿着它原本自然的关节轨迹上台。
[00:01:06.220 --> 00:01:13.020] 这里记住一个要点就是我们的肘正,我们的手腕是侧的,我们的手腕正,我们的手肘会翻出去。
[00:01:13.020 --> 00:01:21.320] 所以在起球过程中,我们尽量保证我们的手肘,我们的小臂去对框,而不是我们的手腕过早的去对框。
[00:01:21.320 --> 00:01:23.320] 手腕过早对框,你就很难衔接下肢。
[00:01:23.320 --> 00:01:29.320] 所以我们会用我们的下肢和你肩肘的力量去投篮,更多是用你的单纯的手腕投篮。
[00:01:29.320 --> 00:01:33.320] 当然这样的形式也有一些球员采用,他们更多依赖他们的手腕发力。
[00:01:33.320 --> 00:01:39.320] 单纯用手腕投篮这类球员,整体发力的流畅性和它的射程就会受限一些。
[00:01:39.320 --> 00:01:43.320] 现在就用我们侧身侧腕这种形式来做一些投篮。
[00:01:43.320 --> 00:01:46.320] 这里要强调一下关于转腕的问题。
[00:01:46.320 --> 00:01:52.320] 手腕的转正是从脚下到躯干到小臂整体的小幅度旋转发力的结果。
[00:01:52.320 --> 00:01:53.320] 不是单纯的手腕转动。
[00:01:53.320 --> 00:01:58.320] 很多人只看到了结果去模仿手腕的转动,就很难做到流畅发力。
[00:01:58.320 --> 00:02:02.320] 用到整体这个小幅度的旋转发力之后就是这个效果。
[00:02:02.320 --> 00:02:06.320] 同样的这种侧身侧腕的形式也可以衔接急停跳投。
