# Transcript: douyin_7393553471594630452

- URL: https://www.douyin.com/video/7393553471594630452
- Title: 1426 投篮总是偏！可能是你的手眼协调出了问题 立竿见影！ 通过手眼协调解决投篮各种疑难杂症 #投篮教学 #waveball #发力矫正
- Published at: 2024-07-20 11:23:33+0800
- Generated at: 2026-06-12T17:38:17.997925+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:09.220] 双眼看到那个计时牌那个方框,然后手上做交叉做一个小孔,透过小孔看到那个方框。
[00:00:10.540 --> 00:00:14.220] 首先闭上,闭上你们的右眼,看到吗?
[00:00:15.880 --> 00:00:17.420] 看到,举手举手,看到。
[00:00:18.040 --> 00:00:22.720] 闭上左眼,闭上左眼,两次结果一致吗?
[00:00:23.540 --> 00:00:27.880] 就是眼闭不上,也有这种情况,就是他主视眼太强势,完全闭不了。
[00:00:27.880 --> 00:00:34.640] 刚刚说了,就是你们两只眼睛有一个相当于他去精准瞄准,有一个眼睛是更多视线的一个范围。
[00:00:34.920 --> 00:00:40.180] 所以我们去投篮的时候,有的人他就是没有去协同他的主视眼。
[00:00:40.520 --> 00:00:44.400] 你们要记住,刚才就是你是左眼吗,右眼,现在明确了吗?
[00:00:45.380 --> 00:00:47.840] 测试一下你们的手眼协调这块。
[00:00:48.820 --> 00:00:49.700] 你是左眼吗,右眼?
[00:00:49.820 --> 00:00:51.100] 右眼。
[00:00:52.120 --> 00:00:52.880] 投篮,投篮。
[00:00:52.880 --> 00:00:53.160] 投篮,投篮。
[00:00:56.160 --> 00:00:57.860] 你的手跟右眼。
[00:00:57.880 --> 00:01:05.280] 你的手跟右眼协调的原因就是最后主要我们需要把右眼右手送出去,但你的站位就是相当于太平行了,而是站的比较正。
[00:01:05.820 --> 00:01:10.680] 你的右脚前凸一些,右脚前凸一些,这个感觉不用太多侧身,右前凸就好了。
[00:01:11.240 --> 00:01:12.240] 来感受一下,感受。
[00:01:13.280 --> 00:01:22.340] 宽不用朝那边,宽还是整体对框的,你看你这个脚往前之后,这个宽不要旋转,宽往里切一点,内收的感觉,内收的,对,这感觉。
[00:01:22.840 --> 00:01:24.480] 不要往外翻出去,内切的。
[00:01:24.900 --> 00:01:27.860] 右脚往前,对,左脚踩住,然后右手右眼。
[00:01:27.880 --> 00:01:28.240] 左眼出球。
[00:01:29.420 --> 00:01:29.620] 走。
[00:01:30.660 --> 00:01:31.320] OK,下一个。
[00:01:34.440 --> 00:01:36.420] 你是刚刚测试是哪只眼睛?
[00:01:37.420 --> 00:01:37.840] 左眼。
[00:01:42.460 --> 00:01:48.300] 左眼你需要侧身一些,最后就是左眼看,跟你的右手出手大概是这样一个形式。
[00:01:49.660 --> 00:01:51.680] 你的右脚不要,左脚不要翻,不要翻。
[00:01:52.480 --> 00:01:55.780] 往篮筐方向切,看你整个宽是往篮筐方向切的。
[00:01:56.280 --> 00:01:56.980] 窄一点,窄一点。
[00:01:57.320 --> 00:01:57.860] 你老是站的。
[00:01:57.880 --> 00:01:58.580] 你脚要特别宽。
