# Transcript: douyin_7166947451574717699

- URL: https://www.douyin.com/video/7166947451574717699
- Title: 9195 为何库里投篮也会“手快脚慢”发力脱节？库里脚下发力深度解析！ #库里 #投篮教学 #waveball
- Published at: 2022-11-17 19:36:28+0800
- Generated at: 2026-06-12T17:59:18.819178+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:02.840] 库里的投篮也会手快脚慢,发力脱节。
[00:00:03.240 --> 00:00:17.500] 在库里的训练中,时常会出现连续投短打铁的情况,左侧是上赛季库里的训练片段,右侧是本赛季库里的训练片段,在连续打铁后,左侧视频中,库里不可思议地查看,是不是自己手上出了问题。
[00:00:18.160 --> 00:00:23.760] 其实,问题根源还是我们前期讲到的脚下发力,在库里连续投短打铁的投篮中。
[00:00:23.880 --> 00:00:29.220] 共同点都是脚下的蹬身不够积极,双脚脚跟踩实后再滚动到前脚掌蹬地。
[00:00:29.220 --> 00:00:34.400] 脚掌的触地时间过长,损失了大量肌肉前张反射与筋膜弹性的力量。
[00:00:34.800 --> 00:00:40.460] 库里惯用的一段是投篮,对上下肢协同发力的要求较高,由于下肢力量的损失。
[00:00:40.840 --> 00:00:47.040] 库里上肢加大了控制,对投篮手型的扰动较大,库里的投篮手也都发生了明显的变形。
[00:00:47.460 --> 00:00:49.260] 我们再看他惯用的发力方式。
[00:00:53.540 --> 00:00:58.780] 接球后快速降重心,直接用前脚掌触地,并快速衔接蹬地向上。
[00:00:58.780 --> 00:01:00.860] 脚下的触地时间明显缩短。
[00:01:02.920 --> 00:01:05.740] 库里抬起脚跟蓄力,保持足弓的张力。
[00:01:06.080 --> 00:01:12.660] 这能更充分地利用筋膜系统的弹性,在向心收缩阶段,肌肉前张反射的力量与筋膜弹性叠加。
[00:01:13.000 --> 00:01:17.300] 力量充分传导至上肢,最终库里的投篮手型也是稳定而流畅。
[00:01:20.220 --> 00:01:26.380] 库里的这两种发力方式,就像增强式训练中的慢速SSC与快速SSC。
[00:01:26.680 --> 00:01:28.760] 慢速SSC模式的触地时间。
[00:01:28.780 --> 00:01:30.220] 在0.2秒以上。
[00:01:30.560 --> 00:01:37.180] 例如排球起跳扣球的触地时间,在0.3至0.36秒之间,肌肉发力较多,弹性利用较少。
[00:01:37.480 --> 00:01:43.340] 而快速SSC模式的触地时间在0.2秒以内,弹性利用较多而肌肉发力较少。
[00:01:43.700 --> 00:01:47.500] 例如短跑冲刺式触地时间为0.1秒至0.1秒。
[00:01:48.120 --> 00:01:54.580] 快速SSC能更充分地利用,储存在筋膜中的弹性能量,能释放出更强的爆发力。
[00:01:58.780 --> 00:02:00.780] 慢速SSC模式的触地时间。
[00:02:00.780 --> 00:02:02.780] 在0.2秒以上。
[00:02:02.780 --> 00:02:04.780] 例如排球起跳扣球的触地时间。
[00:02:04.780 --> 00:02:06.780] 慢速SSC模式的触地时间。
[00:02:06.780 --> 00:02:08.780] 弹性利用较少。
[00:02:08.780 --> 00:02:10.780] 弹性利用较少。
[00:02:10.780 --> 00:02:12.780] 慢速SSC模式的触地时间。
[00:02:12.780 --> 00:02:14.780] 弹性利用较少。
[00:02:14.780 --> 00:02:16.780] 慢速SSC模式的触地时间。
[00:02:16.780 --> 00:02:18.780] 弹性利用较少。
[00:02:18.780 --> 00:02:20.780] 慢速SSC模式的触地时间。
[00:02:20.780 --> 00:02:22.780] 弹性利用较少。
[00:02:22.780 --> 00:02:24.780] 慢速SSC模式的触地时间。
[00:02:24.780 --> 00:02:26.780] 慢速SSC模式的触地时间。
[00:02:26.780 --> 00:02:28.780] 慢速SSC模式的触地时间。
