# Transcript: douyin_7501555893349469466

- URL: https://www.douyin.com/video/7501555893349469466
- Title: 1076 为何要练闭眼投篮？ 把投篮冥想加入你的投篮训练，激活神经链接，快速打通流畅发力。#欧文 #科比 #乔丹 #投篮教学 #waveball
- Published at: 2025-05-07 12:28:07+0800
- Generated at: 2026-06-12T16:39:21.942199+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:02.800] 中心稳定,低于基础,下下肢同步折叠。
[00:00:03.600 --> 00:00:08.260] 手动了一点点,闭上眼,去闭眼做这个动作,放松。
[00:00:12.160 --> 00:00:17.920] 闭眼的目的是让你更好地去感知你下降重心放松,然后自下而上发力这个过程。
[00:00:18.940 --> 00:00:19.240] 折叠。
[00:00:19.240 --> 00:00:19.360] 对。
[00:00:25.240 --> 00:00:27.820] 现在再做一个类似冥想的动作。
[00:00:28.540 --> 00:00:30.780] 闭眼放松,感受感知动作本身。
[00:00:34.520 --> 00:00:35.120] 放松。
[00:00:36.300 --> 00:00:36.800] 好,闭眼。
[00:00:39.040 --> 00:00:42.200] 所以类似库里这种他敢大胆自信地做的都是。
[00:00:43.820 --> 00:00:44.760] 对啊,就这种。
[00:00:46.180 --> 00:00:46.900] 扔了就跑了。
[00:00:46.900 --> 00:00:47.080] 对。
[00:00:48.040 --> 00:00:48.560] 还不够。
[00:00:48.560 --> 00:00:49.600] 还可以更流畅。
[00:00:50.280 --> 00:00:50.980] 戳,单,走。
[00:00:51.620 --> 00:00:52.640] 来,可以。
[00:00:57.000 --> 00:00:57.820] 放松,戳。
[00:00:58.680 --> 00:01:00.040] 单,走,来。
[00:01:02.880 --> 00:01:04.100] 可以,漂亮,漂亮。
