# Transcript: douyin_7245852732790197542

- URL: https://www.douyin.com/video/7245852732790197542
- Title: 8.0万 高度流畅的一段式！优质投手从小养成，杨皓喆投篮深度解析 #投篮教学 #杨皓喆 #waveball
- Published at: 2023-06-18 10:49:15+0800
- Generated at: 2026-06-12T17:47:35.606704+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.080 --> 00:00:04.160] 这是催更次数最多,也是催更时间最长的一期投篮解析。
[00:00:04.480 --> 00:00:11.240] 本期视频就为大家带来杨浩哲投篮的深度解析,为何杨浩哲的投篮又快又准,有哪些方面值得大家借鉴。
[00:00:11.640 --> 00:00:19.880] 杨浩哲早期惯用的是两段式的跳投,但进入职业赛场后,由于身高限制、防守强度等因素逐渐调整为了一段式投篮。
[00:00:20.300 --> 00:00:23.200] 本视频也主要是针对他的一段式投篮做出解析。
[00:00:23.200 --> 00:00:34.640] 首先是他的投篮的发力节奏,杨浩哲原地投篮的整体发力节奏,是接球后沉球与降重心同步,小幅度的曲宽带动小幅度屈膝,脚下没有明显的抬脚跟的习惯。
[00:00:34.920 --> 00:00:40.440] 他在蹬地升宽的同时开始起球,在升宽完成后衔接上至积极的顶肘压腕出手。
[00:00:40.780 --> 00:00:46.500] 第二方面是投篮力量,杨浩哲投篮时的脚下蹬地与膝关节伸展很多时候并不充分。
[00:00:46.500 --> 00:00:52.960] 投篮力量主要来源于他快速充分升宽的力量,这也得益于他较强的核心力量与整体爆发力。
[00:00:53.300 --> 00:00:58.020] 他利用强大的升宽力量,通过相对放松的上肢再次加速将球抽打出手。
[00:00:58.420 --> 00:01:01.780] 他积极充分升宽的习惯是非常值得大众学习的。
[00:01:02.100 --> 00:01:15.100] 第二方面是整体力线,下肢力线,杨浩哲投篮降重心有侧身转宽的习惯,他的宽膝怀同向,向偏左侧收缩,在这方面一些人会出现膝内扣,膝外翻,脚下外扒,宽外翻等相关问题。
[00:01:15.100 --> 00:01:19.100] 同时杨浩哲的上肢起球也是与下肢登身同向的。
[00:01:19.340 --> 00:01:35.580] 杨浩哲从小就养成了双肘内收的好习惯,他通过侧腕持球与从偏身体左侧起球来进一步抑制投篮手的手肘外翻,这使他投篮手的肩肘腕能够尽早地接近一条直线对准篮框,这减少了诸多变量,让投篮的方向性相当稳定。
[00:01:45.100 --> 00:01:56.340] 杨浩哲的上肢内扣是一种新线,增强拨球的手感,力线的相对正直与重心的统一,让他的拨球几乎都能做到五指的充分下压,但也不必去刻意效仿搓球的习惯,尽量做到快速合球。
[00:01:56.760 --> 00:02:06.640] 很多人在投篮发力中会出现下肢朝向与躯干不同向的情况,这会造成整体的扭曲,以及手肘外翻,手腕扭曲的问题导致上肢力线的偏移。
[00:02:06.840 --> 00:02:13.780] 最后是关于呼吸,杨浩哲自己曾强调,在他投篮发力中会去憋气,这也就是我们在吸入空气后。
[00:02:15.100 --> 00:02:21.840] 这可以增强核心的稳定性,使力量传导也更加高效。
[00:02:22.180 --> 00:02:26.360] 有趣的是,我们可以看到在他右面时的罚篮时,他却是在大口的吐气。
[00:02:26.760 --> 00:02:32.820] 这是由于在近距离无对抗的情况下投篮,我们不需要太大的力量,需要更放松来克制紧张。
[00:02:33.080 --> 00:02:37.880] 而大口的吐气能激活我们的副交感神经,让我们快速平静放松下来。
[00:02:38.200 --> 00:02:40.700] 这在职业球员的罚篮中也是很常见的。
