# Transcript: douyin_7143219455380262158

- URL: https://www.douyin.com/video/7143219455380262158
- Title: 1.6万 惊人的相似！NBA历史三分王都在用投篮辅助手拇指拨球 |完结篇 #库里 #投篮教学 #waveball
- Published at: 2022-09-14 20:59:43+0800
- Generated at: 2026-06-12T18:02:57.199789+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.960] 很多人总是对投篮时辅助手拇指拨球充满偏见,他们固守老旧的投篮教学理念,认为辅助手拇指拨球是一个投篮的坏习惯。
[00:00:09.280 --> 00:00:22.840] NBA知名技巧训练士德鲁汉伦这样评价此技术,如果你出手时辅助手有发力,但他没有造成篮球的侧旋,那么你可以继续使用该技术,因为有很多优秀射手都在使用辅助手的拇指拨球。
[00:00:22.840 --> 00:00:29.800] 而在国内也有专业教练开始普及并推广该技术,来自香港的国内投篮教学先驱。
[00:00:30.220 --> 00:00:36.780] Coach Hui在他的库里投篮教学中推出了辅助手拇指拨球的专题内容,以及相关训练教程。
[00:00:37.220 --> 00:00:43.860] 这是库里、雷阿伦、雷吉米勒的投篮,他们在投篮时都不同程度地使用了辅助手的拇指拨球。
[00:00:44.200 --> 00:00:46.720] 他们也都是现役以及曾经的历史三分王。
[00:00:47.140 --> 00:00:50.180] 本期视频将着重解析库里的辅助手拇指拨球。
[00:00:50.460 --> 00:00:52.020] 库里在投篮出手时,
[00:00:52.020 --> 00:00:56.120] 辅助手拇指会向内扣拨球,尤其在他的远距离投篮时。
[00:00:56.440 --> 00:01:01.760] 辅助手拇指向内扣的力度与幅度都变得更加明显,在这一季超远三分钟。
[00:01:02.100 --> 00:01:04.560] 他的辅助手手腕都外旋了约90度。
[00:01:04.940 --> 00:01:10.120] 在他出手后由于辅助手向右发力的惯性,辅助手与投篮手快速撞击到了一起。
[00:01:10.580 --> 00:01:13.680] 在美利国的投篮教学体系中称之为Thumb Flake。
[00:01:14.080 --> 00:01:16.480] 针对库里更精准的翻译是拇指轻弹。
[00:01:16.920 --> 00:01:19.540] 库里投篮为何会使用辅助手拇指轻弹?
[00:01:19.540 --> 00:01:23.360] 我们将从两个方面来解析,首先从力学角度来看。
[00:01:23.720 --> 00:01:29.020] 库里投篮使用的是侧腕持球与起球,同时投篮手在起球时手肘有小幅度外翻。
[00:01:29.440 --> 00:01:34.960] 当他举球到上肢发力点时,投篮手掌并没有在篮球的正下方,位置是偏左的。
[00:01:35.300 --> 00:01:41.240] 此时如果辅助手脱离篮球,投篮手对篮球的控制是非常不稳定的,也无法直线拨球。
[00:01:41.640 --> 00:01:48.240] 我们可以从他的单手投篮训练中看到,当他单手正腕持球与起球时,手掌位于篮球的正下方。
[00:01:48.420 --> 00:01:49.520] 单手就能独立玩。
[00:01:49.540 --> 00:01:56.460] 他通过辅助手拇指抓球,提供了稳定的支撑,拇指的轻弹,把球推向了投篮手。
[00:01:56.800 --> 00:01:59.760] 最终确保投篮手更稳定更正直地压腕拨球。
[00:02:00.180 --> 00:02:04.320] 而在中近距离的投篮时,库里的辅助手拇指轻弹会更微弱。
[00:02:04.740 --> 00:02:10.240] 类似的案例还有雷阿伦与雷吉米勒,他们投篮时辅助手拇指拨球更加明显。
[00:02:10.280 --> 00:02:12.740] 他们起球都有明显的投篮手手肘外翻。
[00:02:12.880 --> 00:02:17.360] 通过辅助手的拇指拨球,向右来确保投篮手向篮筐直线发力。
[00:02:17.360 --> 00:02:23.600] 而这在手掌较小的后卫球员中,也是比较常见的,这类球员通常会用手掌出球。
[00:02:23.960 --> 00:02:29.540] 手指并未用力伸展,投篮手与篮球接触面积有限,单手对球的控制能力偏弱。
[00:02:29.880 --> 00:02:34.540] 辅助手拇指则加入了抓球与发力,这类球员以欧文、特雷扬为代表。
[00:02:36.220 --> 00:02:39.440] 其次,是从库里从小至今的投篮习惯来看。
[00:02:39.640 --> 00:02:46.520] 库里在他的教学视频中,是反对大家使用双手投篮的辅助手参与发力,容易造成篮球的侧旋。
[00:02:46.520 --> 00:02:52.860] 但库里年幼时采用的是双手投篮,在他的双手投篮中,也赢到了辅助手拇指的拨球。
[00:02:53.280 --> 00:02:59.360] 在他经典的球员通到投篮时,他也使用的是双手投篮,基本延续了他幼年时的技术动作。
[00:02:59.700 --> 00:03:03.520] 在他的教学视频中,也对自己曾经的投篮动作做出了评价。
[00:03:16.520 --> 00:03:23.280] 他在球员中,也对自己的投篮动作做出了评价。
[00:03:23.480 --> 00:03:29.700] 他在球员中,也对自己的投篮动作做出了评价。
[00:03:29.900 --> 00:03:36.140] 他在球员中,也对自己的投篮动作做出了评价。
[00:03:36.340 --> 00:03:46.220] 从中可以看出,这是他从小养成的习惯,但随着库里投篮体系的不断完善,库里辅助手拨球的发力程度有所减小,目前都以轻弹为主。
[00:03:46.520 --> 00:03:53.400] 众多优秀射手都通过辅助手拨球的技术来平衡投篮发力,而科比的辅助手是向前跟随的。
[00:03:53.560 --> 00:03:58.320] 汤普森的辅助手是上局的习惯,这都是与球员的技术特点相结合的。
[00:03:58.480 --> 00:04:05.280] 显然不能用好坏来评判辅助手的拨球,哪种类型更适合你,需要你去球场亲自验证。
