# Transcript: douyin_7199945217477299515

- URL: https://www.douyin.com/video/7199945217477299515
- Title: 置顶 2.0万 如何练就扎实专业的投篮基本功？解读王非“教科书式”投篮教学！ #投篮教学 #中国篮球 #蔡崇信篮球奖学金
- Published at: 2023-02-14 17:44:39+0800
- Generated at: 2026-06-12T17:54:33.270298+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.380 --> 00:00:04.700] 王菲是最后一个纠正我动作的,从王菲纠正完以后我的动作真的没有换过。
[00:00:04.800 --> 00:00:11.120] 在前期的视频中,我们解读了王菲指导矫正投篮上支力线的内容,却收到了不少网友的质疑。
[00:00:11.480 --> 00:00:16.060] 他们认为这是老旧落后的训练方式,不符合现代篮球的发展趋势。
[00:00:16.480 --> 00:00:24.520] 很多网友对国内教练的投篮教学有着很深的刻板印象,而王菲早在1999年就已独自前往美国学习篮球技战术。
[00:00:24.620 --> 00:00:29.860] 之后她也快速成为了国内教练的标杆,在投篮教学方面也有自己独特的见解。
[00:00:30.000 --> 00:00:33.480] 曾帮助姚明、林志杰、莫兰德等人矫正过投篮。
[00:00:33.840 --> 00:00:44.500] 而在本次蔡崇信训练营与中美篮球教练的学习与交流中,王菲指导的投篮教学让我感悟颇深,她的大部分教学内容是非常值得学习与借鉴的。
[00:00:44.780 --> 00:00:51.840] 本期视频将再次深度解读王菲指导关于投篮的教学,主要从投篮整体发力,以及一些关键细节来解读。
[00:00:52.280 --> 00:00:57.860] 首先我们回顾上期的原地单手投篮训练,此训练主要是培养投篮手的直线发力习惯。
[00:00:57.860 --> 00:01:00.900] 这在美国也是训练投篮基本功的必备项目。
[00:01:05.860 --> 00:01:09.260] 同样在库里的日常投篮训练中,也会见到此训练。
[00:01:09.640 --> 00:01:13.480] 而部分网友却诟病,原地单手投篮是脱节的局部发力。
[00:01:13.840 --> 00:01:19.440] 王菲指导在现场反复强调了,在做单手投篮训练时,同样也是自下而上整体发力。
[00:01:19.680 --> 00:01:22.680] 持球,自下而上流畅发力。
[00:01:23.180 --> 00:01:26.740] 第二部分是双手的原地投篮训练,加入辅助手后,
[00:01:26.740 --> 00:01:29.880] 辅助手主要是起到脱球与弹道跟随的作用。
[00:01:29.880 --> 00:01:35.740] 从小不要养成辅助手主动发力的习惯,减少投篮中的变量才能更加高效与稳定。
[00:01:35.740 --> 00:01:38.260] 下面是原地双手投篮的细节。
[00:01:38.260 --> 00:01:46.200] 熟悉了单手投篮,要处理平衡手,放在球的侧面,不要太靠前,不要太靠后。
[00:01:46.200 --> 00:01:50.460] 全身发力要流畅,不是分解发力。
[00:01:50.460 --> 00:01:56.180] 跟随球动作,手部要超过眉毛,手指向篮圈方向投篮。
[00:01:56.740 --> 00:02:03.420] 此处需要注意的是,王菲指导强调,投篮合球点最好要在腰部与胸部之间,不要过低合球。
[00:02:03.420 --> 00:02:09.280] 较低的合球会有更长的起球形成,容易造成上肢的摆动,破坏身体平衡。
[00:02:09.280 --> 00:02:14.200] 而此要点正是她矫正摇鸣罚球的关键,由于摇鸣的身高以及力量特点。
[00:02:14.200 --> 00:02:22.700] 投篮只需要小幅度的蓄力,王菲指导将摇鸣的起球点调整到了面部,进一步缩短了起球形成,提高了摇鸣罚球的稳定性。
[00:02:22.700 --> 00:02:26.540] 王菲指导原地的投篮训练,使用的是一二步的投篮脚步。
[00:02:26.540 --> 00:02:37.040] 这主要也是培养小球员提前降重心的习惯,像我们之前解析过的前国家队球员顾拳的投篮,他习惯接球后才开始降重心,投篮速度较慢。
[00:02:37.040 --> 00:02:40.380] 球放在胸前,手的位置不变。
[00:02:40.380 --> 00:02:44.760] 右手选手左脚在前,左手选手相反。
[00:02:44.760 --> 00:02:51.640] 双脚要打开,周俯含胸,眼睛看着篮圈的位置,后面的脚向前一步。
[00:02:51.640 --> 00:02:52.700] 第三部分是接球。
[00:02:52.700 --> 00:03:00.600] 接球跳投的训练,其中的要点是接球前就养成,保持投篮手型的接球习惯,同样也保持提前降重心的习惯准备接球。
[00:03:00.600 --> 00:03:07.880] 当你掌握了正确的投篮上下肢动作后,就是时候练习接球跳投了。
[00:03:07.880 --> 00:03:15.880] 你必须以投篮手型作为接球姿势做好准备,以提高接球后投篮的速度和稳定性。
[00:03:15.880 --> 00:03:20.220] 接球同时,左脚转向篮圈方向,右脚跟上。
[00:03:20.220 --> 00:03:22.640] 最后快速起跳投篮。
[00:03:22.640 --> 00:03:27.460] 跳投时,人往上跳,上升过程中同时出手。
[00:03:27.460 --> 00:03:32.620] 需要注意的是,不要感觉已经跳到最高点时再出手投篮。
[00:03:32.620 --> 00:03:34.520] 最后是投篮假动作的训练。
[00:03:34.520 --> 00:03:37.880] 动作过程中,要保持投篮的重心。
[00:03:37.880 --> 00:03:43.960] 手部和眼睛的假动作是重点,抬到眉毛高度即可。
[00:03:43.960 --> 00:03:47.720] 你要注意的是重心不要上下一动。
[00:03:47.720 --> 00:03:51.800] 投篮假动作要有突然性和真实感。
[00:03:52.640 --> 00:04:21.820] otherother
[00:04:21.820 --> 00:04:18.520] otherother
