# Transcript: douyin_7009115844902964519

- URL: https://www.douyin.com/video/7009115844902964519
- Title: 2.6万 解析库里投篮的发力机制，揭秘“抖腕”真相！ #库里 #篮球干货 #投篮教学
- Published at: 2021-09-18 11:49:13+0800
- Generated at: 2026-06-12T18:13:02.931600+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.900] 在上期的视频中,有的人在评论中提到库里的出手技术,其实就是抖腕。
[00:00:05.220 --> 00:00:13.800] 那么到底什么是抖腕?在一些投篮教学中,会把快速且具有爆发性的压腕称为抖腕,把抖腕作为一种投篮出手技术是不准确的。
[00:00:14.040 --> 00:00:19.240] 例如库里投篮出手后,手掌与手指会柔和地抖动,但手腕相对是稳定的。
[00:00:19.560 --> 00:00:22.780] 手掌与手指的抖动是投篮出手后的一种视觉效果。
[00:00:23.200 --> 00:00:27.920] 抖腕一词让很多人产生了误会,有的人会去刻意模仿库里出手时的抖腕。
[00:00:27.920 --> 00:00:33.320] 投篮出手时,手腕的前后抖动,这会导致球在手上滑动,出手很不稳定。
[00:00:33.680 --> 00:00:36.440] 库里出手后的手部抖动,是如何形成的呢?
[00:00:36.800 --> 00:00:46.080] 库里的投篮就像甩鞭子一样,力量从脚掌向上逐渐传递叠加,最后通过顶肘甩臂,快速、爆发性的压腕将球投出。
[00:00:46.400 --> 00:00:51.880] 出手时由于瞬间的爆发力通过放松状态下的手掌、手指,造成了手部的柔和抖动。
[00:00:52.060 --> 00:00:56.200] 库里投篮发力的方式,可以简单总结为宽爆发加甩臂压腕。
[00:00:56.200 --> 00:01:00.780] 如果你学习的是库里一段式投篮的发力,那么应该注意以下两点。
[00:01:01.020 --> 00:01:03.780] 第一,库里投篮的下肢发力以宽爆发为主。
[00:01:15.440 --> 00:01:19.540] 它的陈球屈膝幅度较小,可以在高重心状态下轻松出手。
[00:01:19.740 --> 00:01:25.820] 很多人在投篮时存在宽爆发不足,总是通过过度屈膝、加压大腿部四头肌来发力。
[00:01:26.200 --> 00:01:28.660] 这会造成脚慢手快,发力不流畅。
[00:01:28.920 --> 00:01:37.440] 第二点,库里的投篮过程中上肢是自然放松的,大臂、小臂、手、柔性连接,整个发力过程快速流畅,没有停顿。
[00:01:37.700 --> 00:01:43.780] 有些人由于下肢力量的不足或发力脱节,只能通过上肢力量代偿,会出现手臂过度用力。
[00:01:44.000 --> 00:01:47.280] 手臂僵硬的情况,达不到快速甩臂的放松状态。
