# Transcript: douyin_7448242468799155496

- URL: https://www.douyin.com/video/7448242468799155496
- Title: 6350 为何国家队后卫廖三宁的投篮弹道总是偏左？ 投篮一直是国家队后卫廖三宁的技术短板，今年他也赴美找投篮教练进行了特训，但并未解决根本问题，在廖三宁的投篮中，他的头部会随着视线做向右的偏转， 头部决定了我们的身体重心，发力时头部的转动影响了整体的平衡。而右手球员投篮时头部向左转动是一种对抗发力的形式，会造成投篮手发力的卡顿与扭曲。 在最近找我做矫正训练的10位球员中有9位球员都存在与廖三宁类似的问题，而这9位学员全部都是右手投篮，左眼主视的异侧类型。#waveball #投篮教学 #发力矫正
- Published at: 2024-12-14 20:24:48+0800
- Generated at: 2026-06-12T17:36:34.012529+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:11.020] 投篮一直是国家队后卫廖三宁的技术短板,今年他也赴美找投篮教练进行了特训。
[00:00:11.340 --> 00:00:16.900] 但并未解决根本问题,在廖三宁的投篮中,他的头部会随着视线做向右的偏转。
[00:00:17.200 --> 00:00:21.660] 投篮决定了我们的身体重心,发力使头部的转动影响了整体的平衡。
[00:00:21.800 --> 00:00:28.660] 而右手球员投篮使头部向左转动,是一种对抗发力的形式,会造成投篮手发力的卡顿与扭曲。
[00:00:28.660 --> 00:00:34.620] 在最近找我做矫正训练的十位学员中,有九位学员都存在与廖三宁类似的问题。
[00:00:34.860 --> 00:00:46.540] 而这九位学员全部都是右手投篮、左眼主视的一侧类型,他们在投篮中过于依赖视觉系统,具体表现为主视眼过于强势,在他们的投篮中他们会把左眼放在视觉中心。
[00:00:46.840 --> 00:00:56.940] 而投篮手右在一侧,这会导致在起球的过程中右肩上抬的卡顿,在发力的末段,他们会大幅扭转肩肘完成上肢伸展,造成投篮手的明显摇摆。
[00:00:56.940 --> 00:01:02.220] 手指手腕无法完成精准的控制,他们的反馈是压腕拨指的发力感不实。
[00:01:02.600 --> 00:01:09.700] 我们主要从三个方面来解决,第一方面,他们共同的问题是头部与下肢不同向,导致了发力的扭曲。
[00:01:10.120 --> 00:01:15.120] 他们需要用双眼聚焦篮筐中心,顾理也曾在他的投篮课程中提到相关内容。
[00:01:23.360 --> 00:01:26.920] 这种主视眼过于强势的类型,可以选择加大自然。
[00:01:26.940 --> 00:01:27.660] 这种视眼过于强势的类型,可以选择加大自然。
[00:01:28.700 --> 00:01:39.120] 同时保持头部与下肢躯干相同的朝向,做到从站位到发力过程,双脚,双肩,双眼的连线几乎是平行,建立在额状面整体的相对平衡。
[00:01:39.480 --> 00:01:51.540] 第二方面,调整身体的重心,他们在蓄力时,从下肢到上肢,右侧已过度压缩,已经是一个不平衡的状态,他们需要反向去矫正,重心压向左侧,更多感知左髋。
[00:01:51.680 --> 00:01:56.360] 左肩的下沉,让右侧相对放松,找回骨盆与双肩的相对平衡。
[00:01:56.360 --> 00:01:58.660] 也就是建立在水平面的相对平衡。
[00:02:04.820 --> 00:02:11.680] 第三方面,他们都有一个共同点,在蓄力阶段投篮手的肩肘过度收缩,在发力时出现紧张卡顿。
[00:02:12.060 --> 00:02:19.860] 这里需要他们相对放松的持球,投篮手侧打开肩肘,让投篮手侧更加放松,这能更流畅地完成起球到出手的轨迹。
[00:02:26.360 --> 00:02:31.830] 并且并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并
