# Transcript: douyin_7432518675426463013

- URL: https://www.douyin.com/video/7432518675426463013
- Title: 4426 你可能不适合右手投篮，2小时快速修改投篮惯用手做到流畅跳投！ #投篮教学 #发力矫正 #waveball
- Published at: 2024-11-02 11:28:27+0800
- Generated at: 2026-06-12T17:36:57.304928+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.240 --> 00:00:03.600] 你可能和恶鼠一样,根本不适合用右手投篮。
[00:00:04.040 --> 00:00:11.620] 恶鼠改用左手投篮是一个不错的改善方向,但由于短期内左手难以拥有足够的极致安利,它并没有坚持下来。
[00:00:11.920 --> 00:00:15.320] 本期视频是一个与恶鼠类似的投篮调整案例。
[00:00:15.600 --> 00:00:21.680] 这是一位惯用左手投篮20余年的篮球训练师,在我们的共同努力下用了约2个小时,
[00:00:21.960 --> 00:00:27.680] 把他从左手投篮调整到了相对流畅的右手投篮,训练后他也发出了这样的感慨。
[00:00:30.000 --> 00:00:38.160] 9月在北京的IBTE训练师训练营中,他找到了我帮助他解决投篮发力的问题。
[00:00:38.680 --> 00:00:43.720] 他的投篮存在脚快手慢发力脱节的问题,肩部存在过度的代偿发力。
[00:00:43.780 --> 00:00:50.580] 在常年大量的训练下也能有不错的命中率,但在动态的衔接时站的运用都会有明显的受限。
[00:00:51.140 --> 00:00:53.400] 他整体发力的卡点还是在肩关节。
[00:00:53.960 --> 00:00:58.840] 在做了主视眼的测试后明确了他是右眼为主视眼,但用左手投篮。
[00:00:58.840 --> 00:01:06.520] 这种逆测的类型常会出现的问题是视线的瞄准方向与投篮手发力的方向存在较大的偏差。
[00:01:07.020 --> 00:01:17.460] 祈求出手阶段伴随着肩关节的过度内旋造成肩锈居行的紧张,发力使得出现肩关节的外展受限,影响发力的流畅与方向的精准控制。
[00:01:17.660 --> 00:01:26.960] 我们采用的第一种调整方式是相对保守的,用主视眼来协同他的投篮手,要求他更多的侧身站位,从脚下到躯干都保持侧向。
[00:01:27.260 --> 00:01:28.820] 但由于他的主视眼过于远近,他不可能在这种情况下能够发动。
[00:01:28.840 --> 00:01:36.260] 如果他的手臂强势,躯干仍然会随着视线转动,胸阔与骨盆不对位,难以整体联动发力,效果并不理想。
[00:01:36.560 --> 00:01:42.960] 第二种调整方式相对激进,是用投篮手来协同他的主视眼,也就是改变他的惯用投篮手。
[00:01:43.340 --> 00:01:45.920] 他的右眼为主视眼,就改用右手投篮。
[00:01:46.240 --> 00:01:50.400] 他的投篮手与主视眼在同座后能流畅地做到肩关节的外展。
[00:01:50.820 --> 00:01:54.780] 从下肢到躯干,再到上肢,能够顺畅地联动发力。
[00:01:55.140 --> 00:01:58.820] 通过脚步和球的训练后,右手也能轻松地做到动态的。
[00:01:58.840 --> 00:01:59.640] 结合球投篮。
[00:02:00.040 --> 00:02:04.540] 在训练后才得知,这位训练师在日常生活中其实是一位右撇子。
[00:02:05.100 --> 00:02:08.420] 但小时候,他的篮球启蒙教练要求他用左手投篮。
[00:02:08.860 --> 00:02:12.340] 二十多年来一直使用着相对低效的发力结构在训练。
[00:02:12.620 --> 00:02:15.680] 接乎一样问题的案例还有NBA中的本·西蒙斯。
[00:02:15.900 --> 00:02:20.360] 他是右眼为主视眼,生活中也是右撇子,却一直坚持用左手投篮。
[00:02:20.760 --> 00:02:22.620] 同样存在明显的发力扭曲。
[00:02:23.140 --> 00:02:26.900] 现役湖人队主教练雷迪克也曾建议他改用右手投篮。
[00:02:27.100 --> 00:02:28.820] 大量的训练是能让你变得更好。
[00:02:28.840 --> 00:02:33.780] 但如果你选择了更好的方向去努力,你的上限可能远不止此。
[00:02:34.000 --> 00:02:38.620] 本人指导下,更改投篮惯用手快速见效类似的案例并不少见。
[00:02:39.120 --> 00:02:43.420] 也有生活中是右撇子快速转化到流畅的左手投篮的案例。
[00:02:43.960 --> 00:02:45.820] 后期将继续为大家详解。
