# Transcript: douyin_7483369907036376370

- URL: https://www.douyin.com/video/7483369907036376370
- Title: 2033 丁超投篮浅析1.0 理清发力顺序，把控发力节奏，普通人也可以轻松跳投三分！ #投篮教学 #waveball
- Published at: 2025-03-19 12:17:12+0800
- Generated at: 2026-06-12T17:33:32.098292+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:01.500] 这是丁超的客栏。
[00:00:02.580 --> 00:00:04.180] 这是丁超的三分投栏。
[00:00:06.760 --> 00:00:12.660] 他的这两项技术动作都做到了我们上期视频讲到的上部发力时的对侧协调。
[00:00:13.540 --> 00:00:16.300] 他的客栏与投栏的发力也是高度相似的。
[00:00:17.020 --> 00:00:19.380] 在他客栏时,整体的发力节奏是,
[00:00:19.620 --> 00:00:23.360] 向中心的同时上肢做收球,也就是向后的摆臂。
[00:00:23.480 --> 00:00:29.660] 右脚上部蹬地的同时,上肢跟随下肢向上的惯性起球,也就是向上摆臂。
[00:00:29.660 --> 00:00:33.640] 这里可以看成他做了一个超高上肢发力点的投篮。
[00:00:34.120 --> 00:00:38.520] 下肢完全蹬身起跳到最高点时,手指下压完成进球。
[00:00:38.780 --> 00:00:40.620] 再看他在三分线上的投篮。
[00:00:41.180 --> 00:00:45.540] 上下肢的发力节奏与发力顺序与刚才的拓篮几乎是一致的,
[00:00:45.940 --> 00:00:48.200] 都做到了上下肢对侧的协调。
[00:00:48.580 --> 00:00:52.140] 不同的是,由于是在三分线,他降低了上肢的发力点,
[00:00:52.300 --> 00:00:55.320] 需要收住手肘手腕的角度来向前发力。
[00:00:55.660 --> 00:00:58.120] 他这类上下肢协同发力的投篮,
[00:00:58.120 --> 00:01:01.060] 下肢核心发力占比在60%以上。
[00:01:01.320 --> 00:01:05.960] 利用下肢核心为基础来投篮,能让你的发力更加轻松流畅,
[00:01:06.280 --> 00:01:07.800] 同时也更具实战意义。
[00:01:08.080 --> 00:01:12.360] 普通人去完成扣篮难度较大,但厘清发力节奏与发力顺序,
[00:01:12.760 --> 00:01:15.180] 可参照以上丁超投篮的技术动作,
[00:01:15.520 --> 00:01:17.960] 普通人也能做到轻松的三分跳投。
