# Transcript: douyin_7126887860044647684

- URL: https://www.douyin.com/video/7126887860044647684
- Title: 3.0万 充满争议？ CUBA总决赛陈国豪五犯离场，独家视角全程回顾 #cuba总决赛 #陈国豪 #waveball
- Published at: 2022-08-01 20:44:47+0800
- Generated at: 2026-06-12T18:04:49.441570+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.900 --> 00:00:07.280] 在昨日CUB内的总决赛上,广东工业大学的陈国豪在第四届的开端就无犯离场。
[00:00:07.700 --> 00:00:13.420] 在网络上引发了诸多争议,本视频将以场边视角全程回顾这五次对陈国豪的吹罚。
[00:00:13.800 --> 00:00:19.520] 首先是第一次犯规,比赛第一节约8分钟时,清华队18号球员持球进攻篮下。
[00:00:19.920 --> 00:00:23.380] 在第一次的身体接触中进攻球员有进攻犯规的嫌疑。
[00:00:23.720 --> 00:00:29.120] 在第二次的身体接触中,防守方的23号打手犯规,前两回合裁判都未吹罚。
[00:00:29.120 --> 00:00:34.280] 最终底线裁判吹罚的是第三次接触,防守球员23号拉人犯规。
[00:00:34.700 --> 00:00:39.880] 第二次犯规发生在比赛第一节约4分钟时,清华大学5号球员持球上篮。
[00:00:40.240 --> 00:00:45.320] 防守球员23号先完成了封盖,但在后续动作中触及了进攻队员的身体。
[00:00:45.740 --> 00:00:51.680] 边线裁判率先享受,吹罚了防守球员23号的阻挡犯规,此球清晰无争议。
[00:00:52.080 --> 00:00:57.820] 第三次犯规发生在比赛第二节约8分钟时,清华大学18号球员接球跳步上篮。
[00:00:57.820 --> 00:01:04.180] 防守球员23号上前封堵,打手,底线裁判吹罚犯规,此球也清晰无争议。
[00:01:04.540 --> 00:01:12.320] 第四次犯规发生在比赛第二节约3分钟时,清华大学25号球员左侧突破,随后分球到底线的进攻球员。
[00:01:12.720 --> 00:01:19.020] 5号进攻球员接球垫步上篮,防守球员23号顺下补防,左手与进攻球员有接触。
[00:01:19.360 --> 00:01:23.060] 被底线裁判吹罚推人犯规,此球的判罚尺度有争议。
[00:01:23.220 --> 00:01:26.400] 第五次犯规发生在比赛第四节约8分钟时,
[00:01:26.400 --> 00:01:35.580] 清华大学25号远投不中,重想到前场篮板,随后使用上下步向前,与23号防守球员发生身体接触,造犯规成功。
[00:01:35.900 --> 00:01:37.960] 底线裁判响哨吹罚防守犯规。
[00:01:38.420 --> 00:01:50.120] 此处犯规,首先23号防守球员确实横移封堵,但在发生碰撞前几乎已建立了合法的防守位置,进攻球员主动前跳寻找接触,防守球员并无后续的附带动作。
[00:01:50.120 --> 00:02:03.540] 其次,吹罚响哨的底线裁判的视野并不好,被两名防守队员遮挡了大部分视野。而对此球几乎拥有完整视野的边线裁判,却为吹罚犯规,依照全场整体教训的吹罚尺度。
[00:02:03.740 --> 00:02:09.740] 此球吹罚防守球员犯规也存在争议。
[00:02:09.940 --> 00:02:15.940] 此球吹罚防守球员犯规也存在争议。
[00:02:15.940 --> 00:02:19.340] 并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并�
