# Transcript: douyin_7370034447661534473

- URL: https://www.douyin.com/video/7370034447661534473
- Title: 3817 解读雷阿伦如何塑造青少年投篮，含本人实操案例！ #投篮教学 #雷阿伦 #waveball #投篮矫正
- Published at: 2024-05-18 02:17:44+0800
- Generated at: 2026-06-12T17:39:25.321458+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.540] 因为他们不懂得投篮,他们认为他们需要投篮在空中。
[00:00:30.000 --> 00:01:00.000] 我希望你像我这样拍摄,不仅是这样的,但我真的想要拍一个像你这样的跳动,放下点,但还要问你,你教我,我知道你和你的孩子有,但你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你
[00:01:00.000 --> 00:01:30.000] 教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教我,你教
[00:01:30.000 --> 00:02:00.000] 我教 guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards guards
[00:02:00.000 --> 00:02:02.000] 你用指引手指向前
[00:02:02.000 --> 00:02:03.000] 就像我说的
[00:02:03.000 --> 00:02:04.000] 不要这样
[00:02:04.000 --> 00:02:06.000] 因为他们从这里开始
[00:02:06.000 --> 00:02:07.000] 就会从这里开始
[00:02:07.000 --> 00:02:08.000] 然后他们就会从这里开始
[00:02:08.000 --> 00:02:09.000] 然后他们就会从这里开始
[00:02:09.000 --> 00:02:10.000] 然后他们就会从这里开始
[00:02:15.000 --> 00:02:17.000] 所以我告诉每个孩子
[00:02:17.000 --> 00:02:18.000] 他们打球的时候
[00:02:18.000 --> 00:02:19.000] 第一件事就是
