# Transcript: douyin_7066628530460806411

- URL: https://www.douyin.com/video/7066628530460806411
- Title: 5.3万 揭秘库里投篮的转腕发力，让投篮变得轻松写意！ #投篮教学 #库里 #waveball
- Published at: 2022-02-20 11:27:49+0800
- Generated at: 2026-06-12T18:09:38.701365+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.720] 我们在前期讲到了库里的投篮并不是推投,而是甩投。
[00:00:04.140 --> 00:00:08.480] 很多球友在练习库里式投篮时,却很难找到上肢甩动的感觉。
[00:00:08.920 --> 00:00:13.520] 本期视频将进一步解析库里投篮上肢发力的关键技术转弯发力。
[00:00:13.900 --> 00:00:16.820] 库里投篮的射程为何那么远,还那么轻松?
[00:00:17.280 --> 00:00:20.880] 在投之类项目中,运动员追求的都是扔到更远的距离。
[00:00:21.240 --> 00:00:25.400] 他们普遍会采用旋转发力的方式来获得最大的出手速度。
[00:00:25.400 --> 00:00:28.620] 而在库里的投篮中,他也使用到了旋转发力。
[00:00:28.620 --> 00:00:31.200] 库里投篮的上肢力量来自两方面。
[00:00:31.600 --> 00:00:41.300] 第一方面,我们前期讲到库里投篮时,上肢的发力是上肢肌肉的充分放松、肩关节、肘关节、腕关节的柔性连接并依次逐节甩动。
[00:00:41.680 --> 00:00:44.460] 这都是肌肉围绕各关节纵向的转动发力。
[00:00:44.820 --> 00:00:49.760] 而另一方面则是横向的旋转发力,库里投篮时采用的是侧腕持球与举球。
[00:00:49.880 --> 00:00:55.680] 在接近上肢发力点时,由侧腕转为正腕,从侧腕持球举球到接近抬球点位置。
[00:00:55.960 --> 00:00:57.440] 这个过程是小臂的外旋。
[00:00:57.440 --> 00:01:00.680] 此时力量传导到了肘部,之后以肘为中心。
[00:01:01.120 --> 00:01:06.360] 通过小臂内旋,同时手腕内旋,手掌手指脱球,完成最后的旋转发力。
[00:01:06.820 --> 00:01:15.020] 库里利用转腕技术,实现了波球前的小臂与手腕约180度旋转,以此获得了更大的发力空间和波球加速度。
[00:01:15.360 --> 00:01:20.400] 库里的侧腕持球与举球能让投篮手充分放松,符合人体的解剖学结构。
[00:01:20.760 --> 00:01:23.320] 它的转腕发力利于上肢力量的充分发挥。
[00:01:23.580 --> 00:01:27.040] 库里投篮的上肢发力,是上肢纵向转动的力量。
[00:01:27.040 --> 00:01:29.340] 与上肢横向旋转力量的叠加。
[00:01:29.740 --> 00:01:32.640] 库里出手时手腕的角速度高达3000度每秒。
[00:01:33.040 --> 00:01:35.480] 这也是库里能够轻松远投的根源之一。
[00:01:35.920 --> 00:01:45.060] 库里的转腕发力适用于一段式和1.5段式的投篮中,该技术相对复杂,可变因素多,需要长期练习才能保证发力的稳定性。
