# Transcript: douyin_7404372935915408680

- URL: https://www.douyin.com/video/7404372935915408680
- Title: 2575 小伙自称已掌握超绝投篮！ 在上完投篮矫正课后，小伙自信心爆棚，称已掌握超绝投篮！他的课后总结能力很棒，把思考带入训练，事半功倍。#waveball #发力矫正 #投篮教学
- Published at: 2024-08-18 15:08:36+0800
- Generated at: 2026-06-12T17:37:45.804600+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.820] 视频中的小伙在上完投篮矫正课后,自信心爆棚,称自己已掌握了超绝投篮。
[00:00:30.000 --> 00:01:00.000] 广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东的广东
[00:01:00.000 --> 00:01:00.880] 尽量窄一点
[00:01:00.880 --> 00:01:03.880] 对尽量窄一点往前往内收
[00:01:03.880 --> 00:01:07.400] 收灯弹起来弹性弹性对可以
[00:01:07.400 --> 00:01:12.240] 你看你的左脚
[00:01:12.240 --> 00:01:13.780] 你其实这么远的距离
[00:01:13.780 --> 00:01:16.300] 多是需要你的稳定性和弹性
[00:01:16.300 --> 00:01:17.840] 右脚弹
[00:01:17.840 --> 00:01:19.500] 对这下弹起来向上
[00:01:19.500 --> 00:01:21.980] 你右脚向前向内踩
[00:01:21.980 --> 00:01:23.400] 是把你向上推的
[00:01:23.400 --> 00:01:26.120] 左脚踩住对右脚往上撑
[00:01:26.120 --> 00:01:27.560] 右脚是向前
[00:01:27.560 --> 00:01:29.140] 看把自己刹着向上走
[00:01:29.140 --> 00:01:31.860] 对向上走这下是这意思
[00:01:31.860 --> 00:01:34.200] 你住对踩起来走
[00:01:34.200 --> 00:01:36.160] 好一点点好一点点对
[00:01:36.160 --> 00:01:38.440] 来左腿停住勾住勾住
[00:01:38.440 --> 00:01:40.560] 左腿拔对好一些
