# Transcript: douyin_7349396087804841279

- URL: https://www.douyin.com/video/7349396087804841279
- Title: 3661 重置版|揭秘张伟丽与库里相同的发力模式，本人亲测适用普通人！ #库里 #张伟丽 #投篮教学
- Published at: 2024-03-23 11:30:21+0800
- Generated at: 2026-06-12T17:40:41.159310+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.800] 在投篮时用前脚掌启动发力是优秀射手的共同特征,但很多普通人具效仿时,连基础的身体平衡都难以保持。
[00:00:08.120 --> 00:00:15.660] 在投篮时,如何接近项铺里一样下肢的快速爆发与核心的稳定,本视频将分享一套高效便捷的训练方法。
[00:00:15.720 --> 00:00:20.620] 本人经过近一年多的练习测试后,下肢启动及核心稳定也得到了明显提升。
[00:00:21.040 --> 00:00:27.640] 此训练方法来自于UFC前世界冠军张伟利的体能教练谢冲,谢冲是一位华裔金模特训专家。
[00:00:27.640 --> 00:00:34.500] 从2019年开始,谢冲针对张伟利进行金模特训,帮助张伟利两度夺得UFC世界冠军。
[00:00:34.860 --> 00:00:37.020] 而伯记与投篮的发力十分相似。
[00:00:37.360 --> 00:00:41.380] 谢冲的此训练中的发力模式与库里投篮的下肢发力也高度一致。
[00:00:41.760 --> 00:00:48.540] 首先是预备动作,前脚掌踩地,脚趾抓地,脚跟抬起,脚腕需要锁定,脚下要保持张力。
[00:00:48.860 --> 00:00:54.640] 不要踩死,脚下先发力随后向上链接到臀部发力,需要特别注重身体对发力的感知。
[00:00:54.780 --> 00:00:56.980] 初学者可能只能链接到小腿发力。
[00:00:56.980 --> 00:01:01.780] 经过一段训练后才可链接到臀部发力,顶级运动员可链接到腹部。
[00:01:02.100 --> 00:01:08.860] 训练动作一,前脚掌踩地的横向双脚跳,感受从足底到臀部到腹部的整体发力,跳至力竭。
[00:01:09.200 --> 00:01:11.600] 随后及时用金模球对足底进行放松。
[00:01:11.880 --> 00:01:17.200] 训练动作二,负重的弓步站立,同样的是双脚的前脚掌踩地,相同的发力模式。
[00:01:17.540 --> 00:01:24.760] 更多的核心发力维持平衡,张伟利手持的是约重20磅的要求,至力竭后及时用金模球对足底进行放松。
[00:01:26.980 --> 00:01:49.140] 训练动作三,单脚的横向跳,前脚掌踩地,相同的发力模式,需双脚交际练习。
[00:01:56.980 --> 00:02:01.960] 训练动作四,单脚的纵向跳,前脚掌踩地,相同的发力模式。
[00:02:07.860 --> 00:02:16.320] 前两个训练动作更适合身体素质一般的初学者,后两个训练动作属于进阶动作更适合有运动基础,身体素质较好的人。
[00:02:16.740 --> 00:02:23.960] 此套训练方式使用的都是金模主导的发力模式,相比肌肉主导的发力有更快的爆发力,更加省力节省体能。
[00:02:24.060 --> 00:02:25.960] 它能提高神经目击的能力。
[00:02:25.960 --> 00:02:30.400] 从脚下到臀大肌再到腹部肌肉群,建立良好的神经链接。
[00:02:30.820 --> 00:02:36.560] 酷力投篮的下肢快速的爆发,同样使用的是金模主导的发力模式,它微曲细微曲宽。
[00:02:36.920 --> 00:02:48.500] 前脚掌踩地,脚踝发力链接至臀部至腹部,维持核心稳定的同时,利用金模及肌腱的弹性以及千张反射带动身体向上,最终力量通过相对放松的上肢将球投出。
[00:02:48.720 --> 00:02:55.820] 泻冲的金模训练是汲取太极拳中全身之力,集于一点的瞬间爆发的精髓,并结合运动解剖学。
[00:02:55.960 --> 00:03:00.460] 运动生物力学的相关理念,更加科学地指导运动员高效训练。
