# Transcript: douyin_7177236446166682913

- URL: https://www.douyin.com/video/7177236446166682913
- Title: 1.9万 做到这2点，1段式也能贴脸强投！追梦格林还是库里？深度解析程鑫凯投篮 #投篮教学 #库里 #程鑫凯
- Published at: 2022-12-15 13:03:01+0800
- Generated at: 2026-06-12T17:58:53.736965+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.680] 在双子星系列赛中,程兴凯的投篮表现足够出色,他投篮速率快,整体发力高效省力,同时拥有较稳定的命中率。
[00:00:09.060 --> 00:00:14.540] 但他的投篮姿态遭到部分网友的频繁吐槽,他真的与追梦格林拥有同款投篮包吗?
[00:00:14.920 --> 00:00:17.800] 本期视频将对程兴凯的投篮做出深度解析。
[00:00:18.220 --> 00:00:22.640] 程兴凯与追梦格林投篮最大的相似之处就是深膝,身宽不充分。
[00:00:23.040 --> 00:00:27.520] 出手后膝关节与髋关节未完全打开,身体重心小幅度的前冲。
[00:00:27.520 --> 00:00:32.740] 他们在投篮降重心时,躯干的前倾幅度较大,身体重心随之前移。
[00:00:33.180 --> 00:00:37.640] 出现投篮重心前倾的问题,这与他们的体态问题有着重要联系。
[00:00:38.000 --> 00:00:42.340] 他们在正常战力下,都会有颈部都过于前伸,圆肩驼背的姿态。
[00:00:42.780 --> 00:00:49.380] 这主要是由于上背部及颈部后侧的肌肉薄弱,胸部及颈部前侧肌肉僵硬,导致肌力失衡所形成的。
[00:00:49.740 --> 00:00:56.260] 这也是很多普通人存在的体态问题,主要因为日常生活中勾搂的坐姿,以及低头玩手机的习惯。
[00:00:56.420 --> 00:00:57.500] 由于头部的前伸,
[00:00:57.520 --> 00:01:05.060] 身体重心前移,在投篮起跳阶段躯干仍然处于前倾的状态,宽关节,膝关节都无法充分打开。
[00:01:05.480 --> 00:01:11.080] 视觉上投篮姿态都不够舒展,但程兴凯的整体发力与追梦格林又有着明显不同。
[00:01:11.580 --> 00:01:16.200] 追梦格林惯用的是1.5段式投篮,他在投篮蓄力是充分的屈膝屈宽,
[00:01:16.600 --> 00:01:22.120] 在向上起跳时下肢的伸展较慢,为充分深吸深宽,为充分利用臀腿的力量。
[00:01:22.120 --> 00:01:28.640] 背部腰部较多的带长发力,近年来追梦格林也频繁出现腰椎肩盘突出,以及背部伤病。
[00:01:28.880 --> 00:01:35.520] 追梦格林投篮速度较慢,他的平均出手时间约为0.8-0.9秒,以及重心前倾的特点。
[00:01:35.760 --> 00:01:46.440] 他投篮的抗干扰能力一般,随着年龄的增长,伤病的累积以及打法的转型,近年来,追梦格林投篮能力明显退化,常在比赛中遭遇被放投的尴尬境地。
[00:01:46.680 --> 00:01:51.940] 而程兴凯惯用的是1段式投篮,他的投篮蓄力时,屈膝屈宽的幅度都很小。
[00:01:52.140 --> 00:01:57.420] 脚下是前脚掌发力的习惯,做到了触地击弹,即使未充分深吸深宽。
[00:01:57.740 --> 00:02:02.960] 他利用筋膜的弹性以及肌肉千张反射的力量,通过相对放松的上肢将球投出。
[00:02:03.300 --> 00:02:06.080] 这样的发力方式,能轻松地做到远距离投篮。
[00:02:06.580 --> 00:02:09.520] 程兴凯投篮的特点稳定省力,动作速率较快。
[00:02:09.940 --> 00:02:14.260] 他平均出手时间在0.4-0.5秒,凭借快速的出手速度。
[00:02:14.580 --> 00:02:19.120] 在双子星大战的系列赛前6场中,程兴凯频繁顶着防守者墙头。
[00:02:19.120 --> 00:02:24.740] 而在第7场时,面对更高级别的防守时,程兴凯的投篮命中率有所下滑。
[00:02:25.120 --> 00:02:31.380] 三分命中率31.6%,投篮命中率50%,罚球命中率87.5%。
[00:02:31.600 --> 00:02:38.240] 如果未来程兴凯要冲击更高的平台,在投篮方面,程兴凯需要去改善他投篮重心前冲的问题。
[00:02:38.600 --> 00:02:42.700] 这不但影响投篮的稳定性,同时大幅降低了他的出手角度。
[00:02:42.980 --> 00:02:45.220] 他平均的出手角度约在45度左右。
[00:02:45.420 --> 00:02:48.560] 在较低出手角度下,他投篮的空间会被压缩,
[00:02:48.560 --> 00:02:50.420] 更容易受到防守的干扰。
[00:02:50.720 --> 00:02:52.760] 这也是他与库里投篮最大的区别。
[00:02:53.060 --> 00:02:59.120] 根据ESPN运动科学的研究,库里平均的出手角度约在50度到55度,
[00:02:59.400 --> 00:03:02.300] 安别球员平均的出手角度在45度。
[00:03:02.600 --> 00:03:08.140] 55度的出手角度相比45度的出手角度,投篮命中率可提高19%。
[00:03:08.580 --> 00:03:11.660] 这不但提高了投篮的弧度,增加了进球的概率。
[00:03:12.020 --> 00:03:16.360] 同时库里在投篮时,身体重心线与地面的夹角约为95度,
[00:03:16.440 --> 00:03:17.740] 躯干是略厚痒的。
[00:03:17.740 --> 00:03:19.700] 这会获得更大的投篮空间。
[00:03:19.940 --> 00:03:24.660] 在很多人的观念里一段是投篮,无法强投,在压迫防守下难以出手。
[00:03:24.900 --> 00:03:28.140] 库里的出手时间约在0.3-0.4秒之间。
[00:03:28.400 --> 00:03:32.080] 然而库里凭借着极致的投篮速度与投篮的出手角度,
[00:03:32.340 --> 00:03:34.240] 他投篮的抗干扰性依然较强。
[00:03:34.500 --> 00:03:37.200] 他在比赛中仍能做到频繁的贴脸强投。
