# Transcript: douyin_7340232402591157541

- URL: https://www.douyin.com/video/7340232402591157541
- Title: 1725 改善重心前倾，优化跳投技术“酒仙桥德罗赞”张子昊投篮优化 ③ #投篮教学 #发力矫正 #waveball
- Published at: 2024-02-27 18:50:34+0800
- Generated at: 2026-06-12T17:41:24.659219+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.400 --> 00:00:05.540] 在出手时,你脚下的蹬地点与上肢的发力点基本在一条垂线上。
[00:00:06.240 --> 00:00:12.480] 球的重心不回正的话,你的重心在后,球的重心在前,两个重心难以协同向上发力。
[00:00:12.640 --> 00:00:18.040] 直立状态下,臀部向下向后坐,快速降重心沿着小腿向上蹬升。
[00:00:18.400 --> 00:00:25.080] 原地的降重心练习,躯宽带动屈膝,重心前倾有所改善,能够更多的向上发力。
[00:00:25.080 --> 00:00:31.220] 收球,躯宽稳定,蹬地向上。
[00:00:33.020 --> 00:00:35.260] 我们再来衔接动态的脚步衔接。
[00:00:36.020 --> 00:00:38.720] 你这一球,球的重心仍然离你的重心较远。
[00:00:39.660 --> 00:00:43.340] 我们可以通过侧向的收球,将脚前置,躯干后置。
[00:00:43.840 --> 00:00:47.700] 球与身体的重心就重叠了,在一个平面,你拔起来就很轻松了。
[00:00:48.320 --> 00:00:53.540] 在急停脚步中,需要脚跟刹车,同时躯宽稳定制动,臀位的明显下降。
[00:00:53.640 --> 00:00:55.060] 降重心的同时上。
[00:00:55.080 --> 00:00:56.760] 上肢需要做收球稳定。
[00:01:02.440 --> 00:01:05.660] 重心稳定之下,是向上蹬地摆臂气球。
[00:01:06.060 --> 00:01:10.460] 我们在一二步中,脚前置就已经形成了屈膝躯宽的降重心。
[00:01:10.800 --> 00:01:14.560] 如果再浮身躯宽,就会增加了一个回正重心的过程。
[00:01:20.820 --> 00:01:24.260] 重心协同下的发力就会更加轻松流畅了。
[00:01:25.080 --> 00:01:33.900] 我们的气球也尽量需要做到重心回正之下的向上走。
[00:01:33.900 --> 00:01:37.520] 你在中距离的侧向气球也是一样的原理。
[00:01:37.520 --> 00:01:39.620] 重心协同下的向上气球。
[00:01:39.620 --> 00:01:43.520] 左右两侧也都一样,而不是向外的抡球。
[00:01:43.520 --> 00:01:46.040] 反而这种侧向的气球会更顺畅。
[00:01:46.040 --> 00:01:53.540] 同时,它在中距离肩部更加放松,能够持续的向上抬肩,整体的姿态也就更加舒展了。
[00:01:55.080 --> 00:02:19.480] 重心的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广角的广
