# Transcript: douyin_7328648156739063091

- URL: https://www.douyin.com/video/7328648156739063091
- Title: 6905 “酒仙桥德罗赞”张子昊的投篮改造/ 诊断解惑 #投篮训练 #投篮矫正 #waveball
- Published at: 2024-01-27 13:37:47+0800
- Generated at: 2026-06-12T17:42:30.179127+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:10.540] 比如说我在华盛顿、牛角这些区域是比较我的领域,因为我能跳,我可以这样,我可以拉到这儿投,然后我抽脸比较高。
[00:00:11.080 --> 00:00:16.580] 但是像这种投篮吧,可能说到距离稍微远一点我就费点劲。
[00:00:17.580 --> 00:00:27.580] 对,但是就我一直投篮以来,就如果我能先跳到公众投我就感觉很舒服,但如果你让我在地面上投,我就一直就不是很舒服。
[00:00:27.580 --> 00:00:36.580] 对,所以我想问的是我是应该练练,就说像吴德电那种,就我干脆就跳一下,还是多练练那种,第二种。
[00:00:37.580 --> 00:00:43.580] 其实这种两种模式完全不冲突,你的一段是发力流畅之下,你的两段是能衔接的更流畅。
[00:00:44.580 --> 00:00:54.580] 因为我做过一期视频就是,其实库里跟科比的他这种发力是类似的相当于,他们都是把环压下去之后,这个蹬地,然后再摆臂,蹬地再摆臂。
[00:00:55.580 --> 00:00:57.580] 你的话可能更多手会用。
[00:00:58.580 --> 00:01:05.580] 对,我有时候投的时候,我也感觉我的肩膀上肢会比较僵,但是尤其三分反,两分的话就不会有。
[00:01:06.580 --> 00:01:12.580] 两分我会觉得,当我对击停的时候,我这个力转化的很大,然后我上肢就很松,然后顺着这个阶段出手。
[00:01:13.580 --> 00:01:20.580] 但是到这儿,我不知道为什么,我觉得我这个力就是有时候下盆会上不来的,因为多的是上肢在停。
[00:01:21.580 --> 00:01:22.580] 上肢是请腰借,在场的这个下盆。
[00:01:23.580 --> 00:01:26.580] 对,我经常会拿,我经常有一段时间投篮,甚至有点就是攻的那种。
[00:01:27.580 --> 00:01:28.580] 攻背。
[00:01:28.580 --> 00:01:29.580] 对。
[00:01:29.580 --> 00:01:35.580] 你和吴德建这样子学,他们两个都是相对低肘,你是高肘。高肘这种已经很少了。
[00:01:36.580 --> 00:01:42.580] 我说他低肘能衔接,他能举高,在中距离他能举起来,但不是向后拉的,他是往上推的。
[00:01:43.580 --> 00:01:51.580] 你是往后拉一点,这样走。你起球的话,更多是肩膀往外带,然后肘就一下就定到这里。
[00:01:52.580 --> 00:01:56.580] 如果你能把肘位像九哥跟你说的那种,低肘。
[00:01:56.580 --> 00:02:04.580] 低肘能衔接起来,你也一样能跳起来。但是你可能,有可能就是你的胸椎受限,你就会去挺腰,去带上这个空间。
[00:02:05.580 --> 00:02:11.580] 当然你急停的时候,其实这个脚看,往前走了,然后你的起球空间就有了,就不用去挺腰了。
[00:02:12.580 --> 00:02:16.580] 就顺着这儿,低肘。这个低肘位一样的可以去后仰。
[00:02:17.580 --> 00:02:20.580] 那这个低肘跟高肘有什么区别?
[00:02:21.580 --> 00:02:22.580] 区别很大,你这样发力。
