# Transcript: douyin_7311694235550371084

- URL: https://www.douyin.com/video/7311694235550371084
- Title: 1908 青少年投篮发力的通病！模板佩琪布克斯/11岁女孩的投篮改造 #投篮教学 #投篮矫正 #waveball
- Published at: 2023-12-12 21:07:55+0800
- Generated at: 2026-06-12T17:43:44.153612+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.680] 本期投篮改造的是一位11岁的小球员,目标是把他从左侧的投篮改造成为右侧,以佩奇不可思议模板的投篮。
[00:00:08.080 --> 00:00:11.920] 佩奇是曾经的全美第一高中生,也是一名非常优质的射手。
[00:00:12.360 --> 00:00:15.720] 这位小球员的投篮,也是一个非常具有代表性的案例。
[00:00:16.040 --> 00:00:20.400] 本期视频对于青少年建立高效的投篮模型方面,有较大的参考意义。
[00:00:20.800 --> 00:00:26.780] 他之前的投篮是双手较低发力点的向前推球,同时伴随着躯干与上肢的大幅度扭曲发力。
[00:00:26.780 --> 00:00:31.940] 我们再观察佩奇的投篮,整体是上肢发力点相对较高的偏南手投篮。
[00:00:32.280 --> 00:00:36.240] 下肢到躯干到上肢,都是比较稳定的向上伸展完成发力。
[00:00:36.620 --> 00:00:40.060] 首先是从他双手推球,转化到偏南手投篮的调整。
[00:00:40.280 --> 00:00:46.760] 他之前的投篮更多的是双手的向前推球,较低的上肢发力点,这也是很多人认知中的一段式投篮。
[00:00:47.160 --> 00:00:53.360] 这里要求他更多的上抬肩部与肘部,辅助手由外翻改为内收,更多的向上跟随稳定弹道。
[00:00:53.580 --> 00:00:56.760] 投篮手由之前的侧向拨球调整为向上的直线。
[00:00:56.780 --> 00:00:59.340] 投篮手由之前的侧向拨球,投篮手单手充分的向上伸展。
[00:00:59.620 --> 00:01:05.280] 整体形成了一个自下而上的发力模式,上肢的发力点与投篮弧度都得到了明显的提升。
[00:01:05.680 --> 00:01:09.660] 其次是起球轨迹的调整,也就是水平面与额状面的重心控制。
[00:01:10.020 --> 00:01:18.820] 之前他的起球轨迹是从偏身体右侧起球右肩出手,下肢躯干伸展的方向与起球的方向不一致,导致整体过度的旋转发力。
[00:01:18.820 --> 00:01:26.500] 这里要求他偏身体的中线起球,起球与蹬身同向,这确保了他平衡的起跳,对方向的控制更加稳定。
[00:01:26.820 --> 00:01:34.140] 第三方面是水转面重心的控制,之前他的蓄力与发力,重心都是略前倾的,导致了他更多的向前发力。
[00:01:34.400 --> 00:01:38.680] 这里要求他脚部前置,宽部后置,身膝与身宽都是向上。
[00:01:38.940 --> 00:01:45.500] 以宽关节为轴,发力使腿向前躯干略向后,重心更加稳定,下肢到上肢得到充分的向上伸展。
[00:01:45.580 --> 00:01:48.160] 这一点也是众多优秀射手的共同特征。
[00:01:48.600 --> 00:01:48.700] 最后,是传球的传球。
[00:01:48.700 --> 00:01:51.720] 最后还对他的投篮脚部与合球习惯进行了优化。
[00:01:52.020 --> 00:01:56.920] 主要强调的是身体重心与篮球重心的同步位移,此环节暂不做详细。
[00:01:56.960 --> 00:02:01.060] 整体调整后,他的投篮姿态更加美观,发力更加充分顺畅。
[00:02:01.480 --> 00:02:09.820] 还需要强调的是,发力模式与投篮技术的调整并非一劳永逸的是,需要长期的训练巩固,才能完成自我进化。
