# Transcript: douyin_7259603187802426679

- URL: https://www.douyin.com/video/7259603187802426679
- Title: 共创 1.2万 投篮精英化/人球合一，如何像库里一样持球投篮！ #投篮优化 #投篮矫正 #库里
- Published at: 2023-07-25 12:08:02+0800
- Generated at: 2026-06-12T17:45:44.547216+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.220] 开始追求的是这感觉,可以,这个盒子好,漂亮。
[00:00:06.800 --> 00:00:15.740] 往自己躯干内走,大腿上,相当于在你大腿上,你每次的感觉,一时你能感觉,那一瞬间感觉到有点低嘛,你看你那盒球。
[00:00:16.120 --> 00:00:19.900] 我们尽量保持这个夹角在90度或90度内,你这低了,看。
[00:00:21.160 --> 00:00:25.840] 你这一步就是盒球的点太远了,太远了,你看,你在这,你在撤。
[00:00:26.240 --> 00:00:29.880] 我盒球点就是,你看这一步,直接在这里来。
[00:00:30.000 --> 00:00:39.700] 找到你最佳的盒球点,直接把它送过来,把它用扶手拉过来,或者你重心就接近,稍微近了一些,哎,又丢了。
[00:00:40.280 --> 00:00:46.660] 所以说往你的重心找,往你的盒球点找,啊,你太靠前了,盒子太靠前了,对。
[00:00:48.460 --> 00:00:48.820] 可以。
[00:00:53.980 --> 00:00:59.980] 这个,其实这个有损失啊,你捞到,捞到这里去了,捞到,捞到你身体很浅了。
[00:01:00.000 --> 00:01:04.180] 可以,可以,这个就好,好了一些。
[00:01:04.680 --> 00:01:09.520] 现在有的球就是你不用那么早这样起来,不用那么早的去控制它,马上让它停。
[00:01:10.060 --> 00:01:22.180] 可以顺着它,对,顺着它你去接近啊,直接走啊,不要它,对,你顺着它弹起的轨迹,你去,你可以去接近它,重心自己主动去接近它。
[00:01:23.380 --> 00:01:25.560] 就是延迟盒球,去主动找重心。
[00:01:26.260 --> 00:01:26.460] 哎。
[00:01:27.140 --> 00:01:27.460] 可以。
[00:01:27.460 --> 00:01:27.520] 可以。
[00:01:27.860 --> 00:01:29.960] 尽量去,在它上升过程。
[00:01:30.000 --> 00:01:30.640] 好。
[00:01:30.640 --> 00:01:31.060] 好。
[00:01:31.060 --> 00:01:31.500] 好。
[00:01:31.500 --> 00:01:31.940] 好。
[00:01:31.940 --> 00:01:32.200] 好。
[00:01:32.200 --> 00:01:32.600] 好。
[00:01:32.600 --> 00:01:32.900] 好。
[00:01:32.900 --> 00:01:33.220] 好。
[00:01:33.220 --> 00:01:33.620] 好。
[00:01:33.620 --> 00:01:33.880] 好。
[00:01:33.880 --> 00:01:34.240] 好。
[00:01:34.240 --> 00:01:34.640] 好。
[00:01:34.640 --> 00:01:35.040] 好。
[00:01:35.040 --> 00:01:35.380] 好。
[00:01:35.380 --> 00:01:36.020] 好。
[00:01:36.020 --> 00:01:36.320] 好。
[00:01:36.320 --> 00:01:36.720] 好。
[00:01:36.720 --> 00:01:37.020] 好。
[00:01:37.020 --> 00:01:37.380] 好。
[00:01:37.380 --> 00:01:37.720] 好。
[00:01:37.720 --> 00:01:38.020] 好。
