# Transcript: douyin_7426252318347169062

- URL: https://www.douyin.com/video/7426252318347169062
- Title: 1320 对话NBA投篮训练师，快速建立流畅的下肢发力！ 探访IPT训练师认证营，投篮中如何建立流畅的下肢发力。#篮球教学 #发力矫正 #waveball #ipt
- Published at: 2024-10-16 14:11:47+0800
- Generated at: 2026-06-12T17:37:22.911468+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.240] 9月末我去北京探访了IPT训练师认证营,本次训练营吸引了200多位全国各地的训练师前来。
[00:00:07.680 --> 00:00:15.760] 本次训练营也首次开设了投篮专题板块,本频道将分几期内容从我的视角来解读本次训练营中的一些干货内容。
[00:00:16.080 --> 00:00:23.340] 本期视频分享的主题是投篮中如何做到流畅的下肢发力,将分享训练营中三种高效的训练方法。
[00:00:23.340 --> 00:00:30.240] 汤普森曾描述投篮发力就像倒流的瀑布,我们得让下肢流动起来,让关节柔性地链接。
[00:00:30.700 --> 00:00:38.320] 第一种训练是引吸投篮,很多人的下肢起跳中并没有充分利用到引吸机制,例如杰森塔图姆的投篮。
[00:00:38.700 --> 00:00:42.820] 引吸不充分导致起球远离身体重心,出现发力脱节。
[00:00:43.360 --> 00:00:51.420] 还有一种情况是引吸过度,发力时做成了膝关节的前跪,这也会导致下肢单身缓慢,出现整体发力的脱节。
[00:00:51.420 --> 00:00:55.300] 这两类问题我们都可以通过引吸投篮的训练来解决。
[00:00:55.740 --> 00:01:00.080] 两次原地的引吸摆臂后,第三次引吸摆臂起跳完成投篮。
[00:01:00.540 --> 00:01:11.880] 需要注意的是,引吸摆臂的过程中膝关节与手臂都是相对放松的,充分的引吸可以更好的回正重心,同时更高效的完成下肢怀膝宽三关节的蹬身。
[00:01:12.500 --> 00:01:19.340] 第二种训练是原地的蹬地摆臂投篮,在熟练掌握引吸发力的机制后,可以衔接原地的蹬摆投篮。
[00:01:19.420 --> 00:01:21.400] 这也是本次训练营的投篮。
[00:01:21.420 --> 00:01:26.000] 投篮讲师同时也是NBA投篮训练师布莱斯最喜欢的投篮训练方式。
[00:01:26.460 --> 00:01:31.400] 提前降重心三威胁持球姿态下,等待队友的口令后,原地完成干把投篮。
[00:01:31.620 --> 00:01:36.180] 重点是要掌握蹬地同时起球,也就是蹬地同时摆臂的发力节奏。
[00:01:36.440 --> 00:01:39.760] 这样就能做到上下肢协同发力,完成充分的起跳。
[00:01:39.980 --> 00:01:43.500] 第三种训练是在前面的技术上衔接的俯卧撑投篮。
[00:01:43.860 --> 00:01:45.980] 这对核心稳定性有一定的考验。
[00:01:45.980 --> 00:01:49.340] 俯卧撑姿态持球,等待队友的口令后,立即起身。
[00:01:49.340 --> 00:01:53.900] 脚需要回到宽的垂直下方,把向前的惯性转换为向上。
[00:01:53.900 --> 00:01:56.340] 快速完成向上的蹬地投篮。
[00:01:56.340 --> 00:02:01.620] 此训练能让你找到最自然的持球起跳节奏,更顺畅的完整跳投。
