# Transcript: douyin_7283418541091458364

- URL: https://www.douyin.com/video/7283418541091458364
- Title: 3397 为改善投篮，从台北远赴重庆！“把特雷杨改成了库里？”给台湾篮球教练的投篮矫正！ #投篮矫正 #库里
- Published at: 2023-09-27 16:23:46+0800
- Generated at: 2026-06-12T17:44:13.635070+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.440] 这是9月从台北远赴重庆来找我做发力矫正与投篮技术优化的一位台湾篮球教练。
[00:00:06.760 --> 00:00:14.160] 他的训练非常刻苦,每天几乎要保证投进300颗3分,但他一直对自己的发力流畅度与投篮姿态不满意。
[00:00:14.560 --> 00:00:19.400] 他是从海外平台了解追踪到的本频道,我对他的投篮进行了三节课的训练调整。
[00:00:19.760 --> 00:00:20.880] 这是他之前的投篮。
[00:00:22.440 --> 00:00:23.920] 这是调整后的投篮。
[00:00:23.920 --> 00:00:30.000] 他的发力问题是比较少见的脚快手慢的发力脱节。
[00:00:30.360 --> 00:00:33.500] 起跳后上肢在较低的位置明显停顿后二次发力。
[00:00:33.880 --> 00:00:37.440] 也是以膝关节主导的下肢蓄力,重心会有前冲的习惯。
[00:00:37.860 --> 00:00:43.640] 而他的手型也偏软以及力线不够正直,力量的传导与稳定性有较大的提升空间。
[00:00:44.060 --> 00:00:49.880] 登身缓慢,上肢发力点较低以及重心前冲,这都会降低他投篮抗防手的干扰的能力。
[00:00:50.060 --> 00:00:52.660] 本期视频是对他投篮调整的简要总结。
[00:00:52.660 --> 00:00:55.680] 梳理出了四个重点方面,供大家参考借鉴。
[00:00:56.080 --> 00:00:58.380] 第一方面是关于手型及力线的调整。
[00:00:58.580 --> 00:01:01.880] 第一点,之前他的起球道出手有较大的横向位移。
[00:01:02.220 --> 00:01:06.140] 他自述是少年时期推波的习惯,这里要求他更多侧向的持球。
[00:01:06.480 --> 00:01:12.580] 在持球阶段就缩小腕部与肘部横向的距离,让他们纵向对向篮筐,接近直线起球。
[00:01:12.980 --> 00:01:15.600] 第二点是上肢的刚性与发力的完整性。
[00:01:16.020 --> 00:01:20.020] 之前他的手型偏软,力量传导与方向控制都难以稳定。
[00:01:20.060 --> 00:01:22.640] 要求他每次投篮从脚趾到手指将起球。
[00:01:22.660 --> 00:01:27.640] 同时辅助手也主动向投篮方向,跟随稳定投篮弹道。
[00:01:27.960 --> 00:01:32.380] 在建立刚性的前提下,上肢的弹性与爆发力才能得到充分释放。
[00:01:32.760 --> 00:01:38.340] 调整后他投篮的弧度更高,弹道也更加稳定,他的上肢模型已经比较接近库里了。
[00:01:39.500 --> 00:01:43.540] 第二方面是矫正他的蓄力模式,居西主导调整到区宽主导。
[00:01:43.660 --> 00:01:48.620] 同时加强脚下的蓄力支撑与主动发力,这能更多的调动核心肌群的参与。
[00:01:48.720 --> 00:01:52.140] 缩短脚下的触地时间,更多的利用弹性来投篮。
[00:01:52.140 --> 00:01:56.820] 同时身体重心更易掌控,发力轻松快速,动作更具经济性。
[00:01:57.140 --> 00:02:03.240] 第三方面是同步他上下肢发力的节奏,弱化他大幅降重心的习惯,面对来球更多的做收球。
[00:02:03.620 --> 00:02:09.540] 减少沉球,明确降重心的同时是上下肢同时收紧的状态,蹬地的同时开始起球。
[00:02:09.900 --> 00:02:15.320] 上下肢蓄力发力的形成更加匹配,这能使上下肢协同发力,力量的传导更加高效。
[00:02:15.500 --> 00:02:21.920] 第四方面是强化他的投篮脚部以及行进间的合球能力,主要通过脚部前置,延迟合球。
[00:02:22.140 --> 00:02:26.280] 强调身体重心的控制,以及篮球动能与自身弹性的结合。
[00:02:26.680 --> 00:02:30.260] 进一步加强发力的流畅性,最终追求认球合一的效果。
[00:02:30.660 --> 00:02:35.620] 经过调整后他投篮的整体发力变得轻松快速,整体姿态也美观了很多。
[00:02:35.940 --> 00:02:42.520] 但他在投篮起球的环节上,做得还不够流畅,以及他的下肢刚性与弹性,还有较大的提升空间。
