# Transcript: douyin_7242529395204738341

- URL: https://www.douyin.com/video/7242529395204738341
- Title: 2395 释放膝关节！投篮发力矫正，如何快速消除手快脚慢，重心前倾。 #投篮矫正 #waveball
- Published at: 2023-06-09 11:53:00+0800
- Generated at: 2026-06-12T17:48:16.066452+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.840] 这是近期一位学员在约90分钟的投篮矫正训练后,他整体发力的变化。
[00:00:05.240 --> 00:00:10.040] 矫正之前,他的投篮手快脚慢,整体发力是脱节的弯腰降重心。
[00:00:10.400 --> 00:00:13.840] 屈膝主导蓄力以及上肢的过早向前,导致重心前倾。
[00:00:14.260 --> 00:00:20.640] 矫正之后,他的整体发力变得省力流畅,躯宽主导蓄力,小幅度屈膝,脚趾主动蹬身。
[00:00:21.000 --> 00:00:23.460] 身体的重心稳定,投篮弧度显著提高。
[00:00:23.860 --> 00:00:26.180] 下阶段将针对提升他的上肢发力点。
[00:00:26.360 --> 00:00:29.040] 本视频将分享本次训练的一些重点片段。
[00:00:30.000 --> 00:00:33.760] 你觉得你要解决的主要问题是哪个方面?
[00:00:34.040 --> 00:00:35.000] 是哪个方向?
[00:00:35.360 --> 00:00:36.360] 投篮不稳定。
[00:00:37.700 --> 00:00:38.500] 投篮不稳定。
[00:00:38.700 --> 00:00:41.000] 自己觉得是从主要是哪方面影响?
[00:00:42.240 --> 00:00:44.760] 有的时候我很难控制那个投篮前跳。
[00:00:45.000 --> 00:00:45.500] 前跳。
[00:00:49.500 --> 00:00:51.500] 身体是干相对竖直的。
[00:00:56.560 --> 00:00:59.500] 尽量不外八,稍微往前对对。
[00:00:59.700 --> 00:01:00.000] 是一个。
[00:01:00.200 --> 00:01:05.500] 三伸展就是你的宽膝怀充分伸展之后再再上肢发力。
[00:01:06.500 --> 00:01:09.000] 我们下去然后这这脚跟抬起来吗?
[00:01:09.000 --> 00:01:12.800] 一个蹬地蹬地之后他会有一个稍微膝干前引。
[00:01:12.800 --> 00:01:13.900] 其实他是不是蓄力?
[00:01:13.900 --> 00:01:16.600] 他是一个向上传导力量前引。
[00:01:16.600 --> 00:01:19.900] 然后我们的怀关节启动然后膝关节伸展前引。
[00:01:20.000 --> 00:01:24.500] 身宽马上把它完整伸伸直了之后衔接这个放下去。
[00:01:30.000 --> 00:01:35.500] 去干是略往后的你脚把它伸展起来。
[00:01:35.500 --> 00:01:39.500] 我们身宽是有略往后的因为你要上前上前上上发力。
[00:01:39.500 --> 00:01:42.800] 你这个略往后给他打开角度打开空间走。
[00:01:42.800 --> 00:01:50.200] 其实我认为是在帮助你身宽往后身宽。
[00:01:50.200 --> 00:01:51.700] 你没有身宽习惯。
[00:01:51.700 --> 00:01:57.700] 那你左脚这左侧左肩左侧肩基本是啊这个手肘回正然后走。
[00:01:57.700 --> 00:01:57.900] 好。
[00:01:57.900 --> 00:01:58.200] 好。
[00:01:58.200 --> 00:01:58.300] 好。
[00:01:58.300 --> 00:01:58.500] 好。
