# Transcript: douyin_7510238259260198144

- URL: https://www.douyin.com/video/7510238259260198144
- Title: 1.6万 NBA全明星球员的投篮修改详细指南，对普通人极具参考价值！ NBA全明星球员自述是如何修改投篮的，雷霆队的杰伦·威廉姆斯在上赛季投出了42.7%的三分命中率，视频是德文·威廉姆斯采访杰威，关于他投篮习惯的建立以及修改，这对于有调整投篮习惯需求的小伙伴极具参考价值。 本视频主要从投篮站位、持球习惯、辅助手习惯、起球轨迹、投篮瞄准、投篮弧度这六大方面来做解读。#waveball #投篮教学
- Published at: 2025-05-30 22:00:07+0800
- Generated at: 2026-06-12T16:38:21.602260+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.760] NBA全明星球员自述是如何修改投篮的,雷霆队的杰伦·威廉姆斯在上赛季投出了42.7%的三分命中率。
[00:00:09.260 --> 00:00:17.420] 视频是德文·威廉姆斯采访杰威,关于他投篮习惯的建立以及修改,这对于有调整投篮习惯需求的小伙伴极具参考价值。
[00:00:18.020 --> 00:00:26.760] 本视频主要从投篮站位、持球习惯、辅助手习惯、起球轨迹、投篮瞄准、投篮弧度这六大方面来做解读。
[00:00:26.760 --> 00:00:28.400] 第一方面是投篮站位。
[00:00:28.400 --> 00:00:37.680] 曾经杰威罚球时总是偏出,他的前队友雷肖恩·史密斯建议他不要双脚指向篮筐,这样他的身体会阻碍投篮路径。
[00:00:38.080 --> 00:00:50.020] 杰威调整为用右脚、右肩对框,左脚可以自由地做微调来保持平衡,这一改变使他的罚球发力流畅,方向稳定,这是很多人会出现的共性问题。
[00:00:50.420 --> 00:00:51.960] 第二方面是持球习惯。
[00:00:52.200 --> 00:00:58.380] 青少年时期的杰威,持球时习惯将手掌放在球的前方,用卷球的方式来起球。
[00:00:58.400 --> 00:01:04.280] 这样他的投篮需要更多的时间来做调整,投篮速度较慢,投篮的变量增加。
[00:01:04.280 --> 00:01:16.060] 后来他改掉了这个坏习惯,手掌置于篮球侧后方,手腕小角度厚深,保持手腕的张力,起球形成变短,这也能建立更稳定的脱球平台。
[00:01:16.060 --> 00:01:20.020] 此处的调整也为他高效的接球投篮打下了基础。
[00:01:20.020 --> 00:01:22.020] 第三方面是起球轨迹。
[00:01:22.020 --> 00:01:26.100] 德文力举了杜兰特习惯从左侧拉弧线起球,而克莱·汤普森习惯从身体中间直线。
[00:01:26.100 --> 00:01:31.600] 杰威自述他习惯直线起球。
[00:01:31.600 --> 00:01:35.340] 他还补充了在青少年时期,他习惯在脸前出手。
[00:01:35.340 --> 00:01:39.920] 随着身高力量的增长,他把上肢发力点调整到了额头上。
[00:01:39.920 --> 00:01:46.320] 此处值得警示的是,家长不要刻意要求孩子从小就模仿所谓的标准投篮姿势。
[00:01:46.320 --> 00:01:48.620] 这会打破自然流畅的动力链。
[00:01:48.620 --> 00:01:52.020] 青少年投篮都会经历由推到投的成长过程。
[00:01:52.020 --> 00:01:54.020] 第四方面是辅助手的习惯。
[00:01:54.020 --> 00:01:56.020] 德文这里提到很多人有说,
