# Transcript: douyin_6979113220862725412

- URL: https://www.douyin.com/video/6979113220862725412
- Title: 5.1万 全美第一难成状元！全面解析杰伦·格林 #杰伦格林 #2021nba选秀
- Published at: 2021-06-29 15:23:43+0800
- Generated at: 2026-06-12T18:15:11.253898+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.220] 他在15岁就代表美国队出战世青赛,16岁获得世青赛最有价值球员。
[00:00:05.640 --> 00:00:14.660] 17岁时他的排名来到全美第一,他就是杰伦·格林,高中时期他的发展模板是迈克尔·乔丹,在18岁前,他的篮球生涯足够辉煌。
[00:00:15.040 --> 00:00:18.720] 但在高中最后一年,杰伦·格林并没有获得突破性的成长。
[00:00:19.080 --> 00:00:22.920] 在U19世青赛上,他已被国家队队友康宁·汉姆盖过风。
[00:00:22.920 --> 00:00:32.920] 格林2002年出生,穿鞋身高198厘米,高中毕业后他选择了跳沪大学,直接加入了NBA发展联盟,在发展联盟的这个赛季。
[00:00:33.300 --> 00:00:42.840] 他场均出场31分钟,能贡献17.9分4.1篮板,2.8助攻,46%投篮命中率,83%罚球命中率的优秀成绩。
[00:00:43.160 --> 00:00:48.920] 在这一年格林修正了投篮姿势,投射稳定性有明显提升,他的进攻技能包足够丰富。
[00:00:49.020 --> 00:00:52.900] 从得分技术来说,中距离跳投是他最稳定的常规武器。
[00:00:52.920 --> 00:00:56.500] 像他这样兼具顶尖弹跳和速度的球员十分罕见。
[00:00:56.780 --> 00:00:59.840] 他能用超快的第一步,甩开外线防守杀入禁区。
[00:01:00.280 --> 00:01:07.180] 今年他又把后撤步三分和接球投篮,加入了进攻技能包,从进攻层面来看,不管全场还是半场。
[00:01:07.520 --> 00:01:13.080] 三分线到禁区,杰伦·格林都有非常高的威胁,目前他欠缺的是对防守的阅读能力。
[00:01:13.500 --> 00:01:18.440] 进攻端的传球事业更多的是需要天赋,这一点也是他与康宁·汉姆的最大差距。
[00:01:18.640 --> 00:01:21.860] 防守方面,杰伦·格林的对位单防是很出色的。
[00:01:21.860 --> 00:01:31.900] 他拥有快速的脚步及顶尖的弹跳,同位置球员很难单打他,但在挡拆中,由于格林身体不够强壮,他很难绕过挡拆或会被错误单打。
[00:01:32.260 --> 00:01:38.880] 这是目前他防守上比较大的缺陷,进入NBA后,增重与力量训练方面,是他必须要加强的。
[00:01:39.240 --> 00:01:44.400] 杰伦·格林是标点型的得分型球员,现阶段的他与公牛队的扎克拉文十分相似。
[00:01:44.620 --> 00:01:51.040] 作为得分手更多的是需要苦练,而杰伦·格林也是一名足够刻苦的球员,他的下限已足够高。
[00:01:51.040 --> 00:01:59.120] 进入NBA目前能够作为球队的第二或第三进攻点,对于需要得分型风味的球队,杰伦·格林绝对是第一选择。
