# Transcript: douyin_7160653082777505037

- URL: https://www.douyin.com/video/7160653082777505037
- Title: 6.4万 回应某博主质疑！Coach Fui“压弹” 用筋膜弹性投篮！ #筋膜训练 #waveball #投篮教学
- Published at: 2022-10-31 20:31:06+0800
- Generated at: 2026-06-12T18:00:20.142125+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.380] 最近又收到了一些质疑,甚至反对在投篮及脚步中运用筋膜理论的声音。
[00:00:05.700 --> 00:00:09.860] 但提出反对筋膜理论的人,却又非常推荐Coach会的压弹发力。
[00:00:10.180 --> 00:00:16.320] 首先声明本人是非常认同Coach会的压弹理论,个人认为他也是国内目前投篮教学的第一人。
[00:00:16.780 --> 00:00:20.980] 提出反对筋膜理论的人,可能对Coach会的压弹仅是浅尝遮指。
[00:00:21.380 --> 00:00:25.360] Coach会压弹理论的核心,正是利用筋膜的弹性来发力。
[00:00:30.000 --> 00:00:36.200] 我简单地说,我用筋膜来发力。
[00:00:36.780 --> 00:00:43.320] 我的理论是,只要筋膜的力量会传递。
[00:00:43.760 --> 00:00:51.500] 即是,如果你使用筋膜发力的话,脚腕筋膜所发出的力量就会传递。
[00:00:51.880 --> 00:00:58.320] 而上一次步法练习,我们也有说过一次,我们要控制的是我们的筋膜。
[00:00:58.320 --> 00:01:00.920] 不要想着控制肌肉。
[00:01:01.320 --> 00:01:08.320] 如果你控制肌肉的话,你就会变成肌肉的发力感觉比筋膜更加强。
[00:01:08.640 --> 00:01:15.160] 大家试想一下,你举手,你是会控制你的肩膀肌肉向上举?
[00:01:15.720 --> 00:01:19.080] 还是你很简单一举就举了手?
[00:01:19.560 --> 00:01:22.640] 是不是?神经控制你的,才是控制你的筋膜。
[00:01:23.200 --> 00:01:27.900] 明白吗?你可以控制你的肌肉举手,但是你要想一下,没有那么快。
[00:01:28.320 --> 00:01:30.320] 你的力量和意识都会比较快。
[00:01:31.320 --> 00:01:36.600] 记住,我们压弹是用脚腕捉摸的法力。
[00:01:37.200 --> 00:01:38.320] 是这里的法力。
[00:01:38.720 --> 00:01:41.920] 重点就是,你记住,我们就是核心压下去。
[00:01:42.160 --> 00:01:44.840] 核心压下去的时候,脚跟着你们。
[00:01:45.640 --> 00:01:49.800] 用你整个前掌,压脚腕发力弹。
[00:01:50.160 --> 00:01:54.720] 是脚腕发力,不是大腿发力。
[00:01:55.200 --> 00:01:56.120] 为什么这么说呢?
[00:01:56.520 --> 00:01:58.120] 因为当你压脚腕发力,
[00:01:58.320 --> 00:02:00.320] 你的身体会更直。
[00:02:00.640 --> 00:02:05.200] 核心也会锁死,会使你的腰锁紧。
[00:02:05.480 --> 00:02:07.920] 而你的力量就更容易传到球上。
[00:02:08.320 --> 00:02:09.320] 力量也更纯净。
[00:02:09.720 --> 00:02:15.320] 我们前期更新了筋膜专家谢冲的筋膜训练,这与Coach会所用的巴力模式也完全一致。
[00:02:15.720 --> 00:02:21.800] 谢冲的筋膜训练的核心是Hyper,通过训练打造强健的足弓,增强足踝的刚性。
[00:02:22.160 --> 00:02:25.200] 通过足部筋膜,链接全身协调发力的模式。
[00:02:25.560 --> 00:02:27.560] 足部是人体多条筋膜的组合。
[00:02:28.320 --> 00:02:34.120] 在足部练的起点,筋膜同样也遵循,用劲吠退的原则,也会响应训练刺激。
[00:02:34.520 --> 00:02:37.160] 并且需要适量训练刺激获得超负荷增长。
[00:02:37.560 --> 00:02:40.680] 经过长期训练的筋膜会更加强壮更加紧致。
[00:02:41.000 --> 00:02:44.160] 承受机械张力后储存适能释放适能的能力增强。
