# Transcript: douyin_7485587485167226151

- URL: https://www.douyin.com/video/7485587485167226151
- Title: 8279 低肘炮台！小个子也能当狙击手，丁超投篮深度解析 为何一米八小伙能在三分线外两米轻松干拔跳投？ 他的投篮既有库里一样上下肢协同的力学效率，又有麦迪投篮一般的美学张力， 大家一直催更国内值得学习的投篮模板，那么丁超的低肘跳投就是相当优质的投篮模型，一些人看到他的起跳高度可能会望而却步，但我们是可以降阶去学习的，视频重点解析的是他高效流畅的发力模式。#投篮教学 #waveball #丁超
- Published at: 2025-03-25 11:42:32+0800
- Generated at: 2026-06-12T17:32:57.043703+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.280] 为何一米八小伙能在三分线外两米轻松干把跳投?
[00:00:04.700 --> 00:00:10.600] 他的投篮既有酷力一样,上下肢协同的力学效率又有麦迪投篮一般的美学张力。
[00:00:10.920 --> 00:00:17.040] 大家一直催根,我内直的学习的投篮模板,那么丁超的第一轴跳投就是相当优质的投篮模型。
[00:00:17.380 --> 00:00:22.720] 一些人看到他的起跳高度可能会望而却步,但我们是可以降阶去学习的。
[00:00:23.020 --> 00:00:26.020] 视频重点解析的是他高效流畅的发力模式。
[00:00:26.020 --> 00:00:33.480] 第一,丁超能在超远距离轻松完成干把,除了他较强的身体素质之外,更重要的是他高效的发力模式。
[00:00:33.900 --> 00:00:44.680] 首先,第一方面是,他投篮整体蓄力发力的节奏,他降重性的同步做收球,也就是手臂的后摆,在蓄力的阶段,他的上下肢是同步折叠的状态。
[00:00:45.060 --> 00:00:49.720] 篮球收到了大腿与躯干之间,重心稳定,人与篮球高度合一。
[00:00:49.900 --> 00:00:55.920] 他的发力节奏是蹬地的同步起球,这个阶段上至并不是主动发力做伸展出手。
[00:00:56.020 --> 00:01:01.400] 而是与下肢,协同充分向上,上至肩肘腕顺势建立发力角度。
[00:01:01.840 --> 00:01:07.000] 从起球到上至发力点这段形成,与举重衍生动作膝上高翻高度相似。
[00:01:07.420 --> 00:01:16.920] 我们可以用此动作来做专项的转化,如果是上至主导发力,会导致篮球向前甩出,而非协同向上,这段起球轨迹的弧度就会变大。
[00:01:16.960 --> 00:01:25.920] 破坏动作的效率与稳定性,在起球或气杠阶段,我们可以把上至想象成相对有刚性的传送带,而不是动力的引擎。
[00:01:26.020 --> 00:01:28.160] 动力的引擎来自下至与核心。
[00:01:28.620 --> 00:01:34.620] 丁超起跳接近最高点时,上至开始主动发力,肘部伸展手腕顺势下压出手。
[00:01:35.000 --> 00:01:38.440] 普通人可退阶为离地的瞬间衔接上至的主动发力。
[00:01:38.840 --> 00:01:53.320] 第二方面是丁超的上至发力结构,丁超持球式正肘侧腕的形式,这能减少腕关节的欲在消耗,保证篮球自然地贴近身体,同时上至能够相对放松地向上起球,做到顺畅平衡的起跳。
[00:01:53.480 --> 00:01:55.220] 很多人上至过早的蓄力,
[00:01:55.480 --> 00:01:56.000] 手腕紧紧地向上,
[00:01:56.020 --> 00:02:26.000] 第二方面是丁超的下至发力,
[00:02:26.020 --> 00:02:27.760] 是宽膝踝联动的结构,
[00:02:28.100 --> 00:02:30.260] 它的降重心保持的是坐姿的曲宽,
[00:02:30.620 --> 00:02:32.440] 踝膝宽建立了整体的张力,
[00:02:32.720 --> 00:02:34.220] 下至保持在曲杆之前,
[00:02:34.580 --> 00:02:36.800] 脚踝蹬地就可轻松地向上加速。
[00:02:37.220 --> 00:02:39.440] 很多人由于上至主导发力的模式,
[00:02:39.700 --> 00:02:42.220] 在降重心阶段持球会离身体较远,
[00:02:42.580 --> 00:02:44.340] 此时曲杆就以前倾带长了,
[00:02:44.640 --> 00:02:46.260] 形成过度的弯腰或曲宽,
[00:02:46.600 --> 00:02:49.280] 会直接向前加速或为了回正重心。
[00:02:49.660 --> 00:02:50.680] 下至过度蓄力,
[00:02:51.040 --> 00:02:52.540] 下至蹬身速度变得更慢,
[00:02:52.540 --> 00:02:55.160] 力量无法通过连贯的筋膜链传导。
[00:02:56.020 --> 00:02:58.200] 最后,
[00:02:58.480 --> 00:03:02.720] 从生物力学、能量传递效率和实战表现三个方面来看,
[00:03:03.040 --> 00:03:05.420] 冰超这类上下至协同发力的投篮模式,
[00:03:05.740 --> 00:03:07.000] 都是相对高效的,
[00:03:07.260 --> 00:03:10.520] 优质射手的共性是建立高效的动力传导体系,
[00:03:10.800 --> 00:03:12.440] 而非单纯动作姿态的模仿。
