# Transcript: douyin_7507357236495125770

- URL: https://www.douyin.com/video/7507357236495125770
- Title: 6062 从“不会投篮的糙汉”到“NBA史上投篮最快进步”的关键先生 阿隆·戈登是NBA历史上首位，单赛季三分命中率与罚球命中率都提升了10%以上的球员，他曾经被诟病不会投篮，但他的职业生涯一直都在证明自己。他在投篮技术上的显著进步，这源于他多个休赛期的技术调整与训练积累，根据多篇美媒的报道与本频道的技术分析，他投篮水平的提升主要归功于两个大方向的针对性改进。#阿隆戈登 #waveball #投篮教学
- Published at: 2025-05-23 03:40:17+0800
- Generated at: 2026-06-12T16:38:51.776970+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.780] 阿龙戈登是NBA历史上首位单赛季三分命中率与罚球命中率都提升了10%以上的球员。
[00:00:07.200 --> 00:00:11.400] 他曾经被诟病不会投篮,但他的职业生涯一直都在证明自己。
[00:00:11.880 --> 00:00:16.980] 他在投篮技术上的显著进步,这源于他多个休赛期的技术调整与训练积累。
[00:00:17.420 --> 00:00:24.600] 根据多篇美媒的报道与本频道的技术分析,他投篮水平的提升主要归功于两个大方向的针对性改进。
[00:00:25.120 --> 00:00:26.960] 第一方面是投篮占据的调整。
[00:00:26.960 --> 00:00:32.600] 戈登早期的投篮占据较宽,导致下肢发力不连贯,蹬身速度较慢。
[00:00:32.940 --> 00:00:42.000] 在投篮教练戴夫勒福的指导下,他调整为更窄的双脚间距,几乎与宽关节同宽,这帮助他更快速将腿部力量传导至上肢。
[00:00:42.300 --> 00:00:50.300] 同时这也便于他更多地使用双脚的垫步来衔接投篮,这能更多地利用弹性发力,让整体的力量传导得更加顺畅。
[00:00:50.700 --> 00:00:53.400] 这也是克莱汤普森巅峰时期的成名绝技。
[00:00:53.400 --> 00:00:59.840] 戈登在绝金与雷霆的季后赛中,一场绝平比赛,一场绝杀比赛,均使用的此脚步。
[00:01:00.120 --> 00:01:07.580] 这里有一个重点需要强调,早期戈登的投篮手型常常内撇偏转,这与他较宽的占据有较大关联。
[00:01:08.100 --> 00:01:12.160] 在投篮发力中,需要旋转的参与,才能达到关节的对位。
[00:01:12.400 --> 00:01:23.380] 由于他过宽的站位,再加上他较大的肩宽,让他的整体的旋转半径过大,双脚,双肩难以同向协调发力,尤其造成了右肩部发力的坎坷。
[00:01:23.400 --> 00:01:26.000] 投篮手型就出现了明显的内撇。
[00:01:26.300 --> 00:01:41.120] 此视频展现了库里投篮时较小旋转半径下的流畅发力,在收窄投篮的占据后,使他的整体旋转发力更加流畅,尤其打通了躯干的旋转,让他的上肢肩肘腕更轻松的直线对位,投篮手型更加稳定。
[00:01:41.560 --> 00:01:43.500] 第二方面是投篮出手时机的优化。
[00:01:44.020 --> 00:01:51.180] 过去,戈登的投篮总是刻意在最高点才发力出手,出现末端过度发力代偿,手型结构也容易散乱。
[00:01:51.500 --> 00:01:53.380] 投篮选择常因犹豫而错失。
[00:01:53.400 --> 00:01:56.420] 戈登的投篮是良机,尤其在高压防守下表现非常不稳定。
[00:01:56.760 --> 00:02:09.160] 通过大量录像分析与实战模拟,他改进了对防守预判的敏锐度,并学会在接球后快速决策,更多地在起跳上升中投篮出手,发力的流畅性与手型的稳定性明显提升。
[00:02:09.460 --> 00:02:16.520] 此外,他在丹佛高原高海拔的训练,以及大量无氧条件下的高强度投篮,进一步提升了抗压能力。
[00:02:16.520 --> 00:02:19.400] 这些技术调整与戈登的刻苦训练相辅相成。
[00:02:19.400 --> 00:02:23.740] 休赛期,他每天会在家中的秘密基地投入数小时训练投篮。
[00:02:24.140 --> 00:02:31.200] 戈登的案例证明,科学的训练方法结合职业态度,能够突破天赋的瓶颈,重塑球员的技术定位。
[00:02:31.680 --> 00:02:36.560] 从扣降到全能封线,他的蜕变是NBA球员技术转型的典范。
