# Transcript: douyin_7165469667476147469

- URL: https://www.douyin.com/video/7165469667476147469
- Title: 6356 张伟丽：筋膜训练改变了我的发力方式，张伟丽3年3次夺得UFC世界冠军！ #张伟丽 #筋膜训练
- Published at: 2022-11-13 20:01:54+0800
- Generated at: 2026-06-12T17:59:38.570982+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.060] 就在今日,张伟利裸角降服卡拉,重新夺回UFC世界冠军。
[00:00:05.500 --> 00:00:09.420] 在颁奖仪式上,我们也再次见到了张伟利的体能训练师谢冲。
[00:00:09.780 --> 00:00:13.820] 从2019年至今,张伟利一直跟随谢冲进行筋膜训练,
[00:00:14.100 --> 00:00:16.920] 三年多的坚持使张伟利的发力方式发生改变,
[00:00:17.220 --> 00:00:19.540] 他整体的运动表现获得显著提升。
[00:00:20.000 --> 00:00:23.080] 谢冲的筋膜训练,是汲取传统武术的精髓,
[00:00:23.420 --> 00:00:27.700] 并结合西方筋膜理论,而总结出的更加科学化的筋膜训练方式。
[00:00:27.700 --> 00:00:31.240] 虽然传统的力量训练,也能锻炼到一部分筋膜,
[00:00:31.520 --> 00:00:33.240] 但这种程度是远远不够的。
[00:00:33.580 --> 00:00:36.640] 筋膜需要特有的刺激与特定的动作才能被锻炼到。
[00:00:37.020 --> 00:00:42.360] 筋膜训练的四大基本原则,拉伸练习,弹正练习,再生练习与感知练习。
[00:00:42.820 --> 00:00:46.000] 通过四个不同层面的训练,就可以更好的刺激筋膜。
[00:00:46.400 --> 00:00:49.160] 我们前期发布了关于张伟利筋膜训练的内容,
[00:00:49.500 --> 00:00:51.520] 目的是让更多的人认知并关注它。
[00:00:51.520 --> 00:00:56.240] 不要神化筋膜训练,筋膜训练并不是要取代你现有的训练方式,
[00:00:56.480 --> 00:00:58.100] 而是作为一种重要的补充。
[00:00:58.520 --> 00:01:02.680] 最后是前UFC世界冠军乔安娜对张伟利的评价。
[00:01:21.520 --> 00:01:39.380] 并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并
