# Transcript: douyin_7155818524966014245

- URL: https://www.douyin.com/video/7155818524966014245
- Title: 5331 玄学？骗局？网友质疑嘲讽“筋膜训练”，张伟丽评价“筋膜训练”及训练感受！#张伟丽 #筋膜训练 #投篮教学
- Published at: 2022-10-18 19:50:33+0800
- Generated at: 2026-06-12T18:01:13.485257+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.800] 在前两期发布了关于张伟丽进行的精魔训练的内容,收到了部分网友对于精魔训练的质疑与嘲讽。
[00:00:07.120 --> 00:00:12.860] 本视频是张伟丽本人对精魔训练的评价,以及她在经历长期精魔训练后身体的变化。
[00:00:30.000 --> 00:00:48.660] 张伟丽的精神是从脚上出来的,所以她的脚的强壮非常重要。
[00:00:48.660 --> 00:00:56.320] 我以前的脚没有现在那么有力量,移动也没有现在那么快。
[00:00:56.820 --> 00:00:59.980] 练了精魔训练以后,我感觉我现在的脚不太有力量。
[00:01:00.000 --> 00:01:02.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:02.000 --> 00:01:04.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:04.000 --> 00:01:06.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:06.000 --> 00:01:08.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:08.000 --> 00:01:10.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:10.000 --> 00:01:12.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:12.000 --> 00:01:14.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:14.000 --> 00:01:16.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:16.000 --> 00:01:18.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:18.000 --> 00:01:20.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:20.000 --> 00:01:22.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:22.000 --> 00:01:24.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:24.000 --> 00:01:26.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:26.000 --> 00:01:28.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:28.000 --> 00:01:30.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:30.000 --> 00:01:32.000] 我现在的脚不太有力量,所以我现在的脚不太有力量。
[00:01:32.000 --> 00:01:34.700] 然后他的这个身体特别整体
[00:01:34.700 --> 00:01:36.160] 然后有的人呢
[00:01:36.160 --> 00:01:37.480] 他的筋膜连接就不好
[00:01:37.480 --> 00:01:40.480] 他那个跳啊跑啊
[00:01:40.480 --> 00:01:42.640] 可能都灵活呀
[00:01:42.640 --> 00:01:43.440] 都不是特别好
[00:01:43.440 --> 00:01:45.240] 就包括我刚开始练的时候
[00:01:45.240 --> 00:01:48.580] 我的那个就是就单腿跳
