# Transcript: douyin_7006519669330955557

- URL: https://www.douyin.com/video/7006519669330955557
- Title: 33.9万 技术解析—投篮该如何压腕？手指压腕VS手掌压腕 #篮球干货 #投篮教学 #库里 #乔丹
- Published at: 2021-09-11 11:54:44+0800
- Generated at: 2026-06-12T18:13:16.616885+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.080] 在投篮技术中压腕对投篮射程以及投篮的精确度有着重要影响,很多人投篮会忽略压腕,或者不知道该如何压腕。
[00:00:08.460 --> 00:00:11.540] 本期视频解析投篮技术中关于压腕的细节。
[00:00:11.940 --> 00:00:13.580] 首先,什么是投篮压腕?
[00:00:14.000 --> 00:00:17.520] 投篮压腕指投篮出手时,投篮手手腕的前躯与拨指。
[00:00:17.960 --> 00:00:19.080] 那么压腕有什么作用?
[00:00:19.500 --> 00:00:24.460] 投篮压腕能使投篮更加稳定,投篮发力更加轻松,让投篮姿势更加优美。
[00:00:24.460 --> 00:00:29.700] 很多人学习的是传统教学中提倡的90度压腕,也就是手指主导的压腕。
[00:00:30.040 --> 00:00:33.560] 其细节为,投篮手五指张开,主要用手指控制球。
[00:00:33.940 --> 00:00:36.660] 掌心会流出部分空隙,用手指托球上举。
[00:00:37.060 --> 00:00:41.660] 手腕后曲约90度,靠手指主导压腕,出手后手指指向篮筐。
[00:00:42.140 --> 00:00:46.240] 在NBA中这种压腕的代表人物有乔丹、科比、雷阿伦等。
[00:00:46.600 --> 00:00:48.820] 这种压腕方式更适合手掌较大的人。
[00:00:49.060 --> 00:00:53.500] 如果手小的人采用这种方式,在投篮举球过程中容易出现脱手,
[00:00:53.740 --> 00:00:54.440] 常会出现害怕的情况。
[00:00:54.460 --> 00:01:00.260] 还未开始压腕,球就已经脱手的情况,投篮力量不能充分传导,球的旋转已较弱。
[00:01:00.680 --> 00:01:06.760] 其次手指主导压腕,手腕的活动度有限,会发出更多向前的力,导致投篮弧度较低。
[00:01:07.200 --> 00:01:13.120] 随着现代投篮技术的发展,更多的球员采用小于90度的压腕,也就是手掌主导的压腕。
[00:01:13.540 --> 00:01:19.120] 其细节为,投篮手五指自然打开,手掌与篮球贴合,不会刻意为掌心流出空隙。
[00:01:19.300 --> 00:01:23.920] 手掌呈放松状态,用手掌托球上举,手腕后曲约60度。
[00:01:24.460 --> 00:01:32.000] 手掌主导手腕前曲,手腕带动手指下压完成波指,负责最后出手纠偏的手指会正对篮筐,指向地面。
[00:01:32.420 --> 00:01:36.760] 手掌主导的压腕可以使投篮获得更多向上的力,投篮弧线更高。
[00:01:37.120 --> 00:01:41.260] 波指下压可以使篮球获得充足后旋,篮球能更稳定地飞行。
[00:01:41.600 --> 00:01:44.720] 强后旋与高弧线都能增加篮球进入篮筐的概率。
[00:01:44.860 --> 00:01:49.180] 这种压腕方式对身高、力量、手掌大小的要求都相对较低。
[00:01:49.180 --> 00:01:53.980] 在NBA中,库里、欧文、利拉德等都是采用的这种压腕方式。
[00:01:54.400 --> 00:02:00.740] 值得一提的是,利拉德在进行投篮时,举球过程中他会将投篮手、掌心与篮球贴合,
[00:02:01.000 --> 00:02:09.640] 五指的指尖与指腹几乎不接触球,用手掌的中间部位托球上举,充分传导下肢的力量至篮球,通过手掌主导压腕出手。
[00:02:09.940 --> 00:02:11.980] 这也是他能轻松远投的秘诀之一。
[00:02:12.360 --> 00:02:16.540] 对于普通篮球爱好者而言,更推荐练习手掌主导压腕的方式。
