# Transcript: douyin_7187685493843299596

- URL: https://www.douyin.com/video/7187685493843299596
- Title: 1.1万 打球下肢太慢？下肢缺乏弹性与爆发力，走进“NBA弹簧人”莫兰特的弹振训练！ #莫兰特 #筋膜训练
- Published at: 2023-01-12 16:50:39+0800
- Generated at: 2026-06-12T17:57:05.267348+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.420] 投篮时明明屈膝屈髋都很深,但还是跳不起来,总感觉无力,这主要是由于你的下肢太慢,缺乏弹性与爆发力。
[00:00:08.820 --> 00:00:14.160] 在NBA中身材鲜瘦的贾莫兰特,他却拥有顶级的下肢弹性与爆发力。
[00:00:14.520 --> 00:00:23.740] 然而莫兰特在高中时期,还是动态天赋平平,在莫兰特的采访中他自述道,高中时期,我是一个身材矮小,速度缓慢的后卫。
[00:00:23.740 --> 00:00:27.220] 但在高四到大学期间,莫兰特获得了飞速的进步。
[00:00:27.560 --> 00:00:31.880] 尤其在个人的运动能力方面,这离不开莫兰特父亲对他的特训。
[00:00:32.240 --> 00:00:38.060] 莫兰特父亲主要对他进行技巧训练与增强式训练,非常重视对莫兰特弹跳力的训练。
[00:00:38.480 --> 00:00:42.220] 在每一组技巧训练间他都会给莫兰特加入跳轮胎的训练。
[00:00:42.560 --> 00:00:47.140] 莫兰特父亲这套跳轮胎的训练,也就是我们之前解读过的弹阵训练。
[00:00:47.280 --> 00:00:50.160] 弹阵训练又被称为快速伸缩式复合训练。
[00:00:50.160 --> 00:00:56.600] 弹阵训练对筋膜以及神经的刺激程度较高,长期的弹阵训练能促进筋膜的增强与再生。
[00:00:57.000 --> 00:01:01.280] 提升筋膜特别是肌腱的能量储存能力,同时提高神经目击能力。
[00:01:01.660 --> 00:01:04.940] 想要提高运动效率,就必须要减少能量的消耗。
[00:01:05.380 --> 00:01:10.900] 在运动过程中,筋膜参与程度越高,消耗的能量就越少,而肌肉耐力会更强。
[00:01:11.340 --> 00:01:14.140] 下面,我们走进莫兰特的这套跳轮胎训练。
[00:01:14.420 --> 00:01:16.980] 第一种方式,是双脚的交替跳轮胎。
[00:01:16.980 --> 00:01:23.920] 这是对脚踝以及小腿的弹性训练,比较适合初学者,强度偏低,可以增加弹性与跳跃感觉。
[00:01:24.280 --> 00:01:31.120] 莫兰特的训练评次为,三次跳跃为一小组,需要做30小组,整个训练下来会做到300-500次。
[00:01:31.500 --> 00:01:38.960] 第二种方式是,双脚的连续跳轮胎,比较考验关节、肌腱的刚性与耐受力,适合有长期训练习惯的人。
[00:01:39.440 --> 00:01:44.400] 此训练方式莫兰特每组做25次,整个训练下来会做到100-200次。
[00:01:44.720 --> 00:01:46.500] 第三种方式是进阶训练。
[00:01:46.500 --> 00:01:50.600] 双脚的跳轮胎加跳身,莫兰特同时还增加了要求的负重。
[00:01:50.940 --> 00:01:59.960] 这也就是慢速的千张收缩循环,结合快速的千张收缩循环,快速的千张收缩循环,能提高肌腱的刚性以及下肢的登身速率。
[00:02:02.760 --> 00:02:08.540] 而慢速的千张收缩循环,会有更长的触地时间,主要是提高绝对的起跳高度。
[00:02:08.940 --> 00:02:14.860] 这需要有一定力量基础的人才能进行训练,一般标准是深蹲达到体重的1.5倍以上。
[00:02:15.120 --> 00:02:16.480] 此训练方式莫兰特。
[00:02:16.500 --> 00:02:21.820] 莫兰特每组做25次,整个训练下来会做到100-200次,训练强度非常大。
[00:02:22.200 --> 00:02:26.800] 莫兰特的这套跳轮胎的训练,能有效地提升下肢的弹性与爆发力。
[00:02:27.120 --> 00:02:31.380] 如果想要学习效仿莫兰特的弹阵训练,可以把轮胎替换为跳箱。
[00:02:31.760 --> 00:02:36.060] 跳箱的高度控制在20-40厘米左右,莫兰特的训练量较大。
[00:02:36.400 --> 00:02:40.180] 初学者需要根据自身身体条件降低频次,循序渐进。
[00:02:40.180 --> 00:02:46.580] 同时,弹阵训练的频率一周最好不要超过两次,训练后及时对肌肉、筋膜进行放松。
[00:02:46.980 --> 00:02:53.000] 筋膜的恢复与再生周期比肌肉要慢很多,兼职训练12周以上就会有比较明显的效果。
