# Transcript: douyin_7140481267300142347

- URL: https://www.douyin.com/video/7140481267300142347
- Title: 8.8万 投篮曲髋还在弯腰、撅屁股？纳什亲授库里、杜兰特投篮曲髋发力黄金训练动作！ #库里 #投篮教学
- Published at: 2022-09-07 11:54:09+0800
- Generated at: 2026-06-12T18:03:14.528279+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.720] 这是训练投篮区宽发力的黄金动作,这也是库里·杜兰特赛前热身的必备环节。
[00:00:06.120 --> 00:00:13.800] 2015年史蒂夫纳什成为了勇士队的球员发展顾问后,他把身躯宽单脚投篮训练教授给了库里与杜兰特。
[00:00:14.180 --> 00:00:23.940] 在上期的视频中,很多球友反馈找不到投篮区宽的发力感,还有部分球友仍在使用错误的区宽模式,把投篮时的区宽做成弯腰、撅屁股。
[00:00:24.080 --> 00:00:27.920] 这不但发力效率低,同时长期累积还存在伤病隐患。
[00:00:27.920 --> 00:00:33.280] 第一种是把区宽降重心做成了弯腰、主动弯腰、躯干前倾来降重心。
[00:00:33.680 --> 00:00:36.840] 这样的坏习惯会诱发腰椎肩盘突出、腰肌老损。
[00:00:37.220 --> 00:00:41.260] 第二种,挺胸挺腰反攻下背、主动撅屁股来降低重心。
[00:00:41.740 --> 00:00:48.000] 这样的模式区宽幅度受限,会造成骨盆的前倾、腰椎过度弯曲、无法维持脊柱的中立位。
[00:00:48.220 --> 00:00:56.980] 在投篮时正确的区宽模式应该是臀部主动发力、向下坐、带动小幅度的屈膝、带动躯干小幅度前倾以及下沉。
[00:00:56.980 --> 00:00:59.960] 同时腰背要挺直,维持脊柱的中立位。
[00:01:05.380 --> 00:01:10.860] 而身躯宽单脚投篮正式训练投篮躯宽发力的黄金动作,同样适用于初学者。
[00:01:11.320 --> 00:01:16.540] 它不但能充分激活臀部肌肉群,同时能让你快速找到躯宽式臀部的发力感。
[00:01:18.000 --> 00:01:20.240] 最后进入纳什本人的教学时间。
[00:01:26.980 --> 00:01:30.200] 你会看到身体是平静的,背部是平静的,肩部是高的。
[00:01:30.200 --> 00:01:32.800] 你仍然在同样的位置,但你只用一只腿。
[00:01:32.800 --> 00:01:34.800] 你看到你的腰在跳动吗?
[00:01:34.800 --> 00:01:43.680] 这意味着这个人的腰部需要更加的发力,更加的硬化,甚至更加的注意力,并且将这些信号传到脑海中。
[00:01:43.680 --> 00:01:48.220] 所以当腰部在跳动时,这并不是完全的转动或强化,而是稳定的。
[00:01:48.220 --> 00:01:53.300] 所以当这些消息消失后,这就显示你已经提升了这些东西,并且它是强化和稳定的。
[00:01:53.300 --> 00:01:54.600] 这只是一个区域。
[00:01:54.600 --> 00:01:55.600] 好,再来一次。
[00:01:56.980 --> 00:01:58.520] 很好,身体在好位置,肩部在高。
[00:01:58.520 --> 00:02:02.320] 从那里,你可以踏进地面,然后打开它。
[00:02:04.020 --> 00:02:05.020] 很好。
[00:02:05.020 --> 00:02:06.020] 现在那是进入了。
[00:02:06.020 --> 00:02:07.020] 让我们来看看。
[00:02:07.020 --> 00:02:08.020] 是的,在那里。
[00:02:08.020 --> 00:02:09.020] 现在把腿踏进地面。
[00:02:11.020 --> 00:02:12.020] 很好,我们来看看。
[00:02:12.020 --> 00:02:14.020] 你稍微感觉到你的腰部吗?
[00:02:14.020 --> 00:02:15.020] 是的。
[00:02:15.020 --> 00:02:23.020] 所以你的腰部,我希望你感觉到的是,这个肌肉将腰部推进地面,以创造能量和稳定性。
[00:02:23.020 --> 00:02:26.020] 然后你能够更加轻松地跳动。
[00:02:26.980 --> 00:02:27.980] 好。
[00:02:27.980 --> 00:02:30.980] 好,现在踏进地面。
[00:02:30.980 --> 00:02:31.980] 踏进地面。
[00:02:31.980 --> 00:02:34.980] 让我们把腰部强化。
[00:02:34.980 --> 00:02:35.980] 好。
[00:02:35.980 --> 00:02:37.980] 好,现在你看到它们有点游动。
[00:02:37.980 --> 00:02:38.980] 没关系,你已经醒醒了。
[00:02:38.980 --> 00:02:40.980] 现在踏上去。
[00:02:40.980 --> 00:02:43.980] 所以你看到它们转动了一点。
[00:02:43.980 --> 00:02:44.980] 一点。
[00:02:44.980 --> 00:02:45.980] 更好。
[00:02:45.980 --> 00:02:47.980] 现在踏上去。
[00:02:47.980 --> 00:02:48.980] 好。
[00:02:48.980 --> 00:02:54.980] 你只需要确保你,你拿到这个位置,这个平均的肌肉,这个平均。
[00:02:54.980 --> 00:02:56.020] 你基本上就把它转过来。
[00:02:56.020 --> 00:03:01.020] 你不需要在这里,你不需要在这里,或在这里。
[00:03:01.020 --> 00:03:06.020] 你只需要在这里,在这里,它会很平均,但你会放松在这里。
[00:03:06.020 --> 00:03:07.020] 好。
[00:03:07.020 --> 00:03:09.020] 好,很棒。
[00:03:09.020 --> 00:03:10.020] 踏上去。
[00:03:10.020 --> 00:03:11.020] 好。
[00:03:11.020 --> 00:03:12.020] 好。
[00:03:12.020 --> 00:03:13.020] 好。
