# Transcript: douyin_7266310790297259327

- URL: https://www.douyin.com/video/7266310790297259327
- Title: 1.6万 高效投篮模板/赵维伦投篮深度解析，一段式/两段式随意切换！ #篮球教学 #投篮矫正 #赵维伦
- Published at: 2023-08-12 13:56:58+0800
- Generated at: 2026-06-12T17:45:15.759137+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:10.120] 他是中国篮球后卫线的新希望,17岁的他已在一甲职业赛场斩鹿头角,身高183厘米的他,却能在多位NBA球员的榜首下强行投篮。
[00:00:10.420 --> 00:00:16.380] 他的投射技术非常值得大家学习与参考,本期视频就为大家带来赵维伦投篮的深度解析。
[00:00:16.780 --> 00:00:23.100] 赵维伦是国内球员中少有的,能做到在比赛中把一段式与两段式跳投、稳定切换的球员。
[00:00:23.100 --> 00:00:35.360] 他在远距离惯用的是一段式投篮,上下肢协同发力,整体的发力的节奏是,区块蓄力主导的降重心,同时上肢合球贴近身体,上下肢同时收紧,蹬地的同时摆臂起球。
[00:00:35.700 --> 00:00:40.940] 下肢、躯干完整伸展后肘部顺势上台,小臂向前伸展压腕出手。
[00:00:41.280 --> 00:00:47.780] 而在中近距离赵维伦,更习惯使用急停后的两段式跳投,在急停脚步中需要更大幅度的降重心。
[00:00:47.900 --> 00:00:53.080] 也就是区块更深,摆臂也会更大幅度更快速,起跳高度显著提升。
[00:00:53.260 --> 00:00:59.120] 起球到额头后,就会有明显的停顿苗栏阶段,小臂会更加主动地向前伸展出手。
[00:00:59.400 --> 00:01:02.700] 但整体的发力节奏与一段式投篮基本是一致的。
[00:01:03.080 --> 00:01:08.520] 至于本频道一直倡导的流畅的一段式发力,是两段式跳投的基础是高度吻合的。
[00:01:08.860 --> 00:01:13.920] 下面我们将展开解析,赵维伦投篮的几个关键环节,首先是关于蓄力。
[00:01:14.280 --> 00:01:20.340] 赵维伦的下肢蓄力,是区块主导的降重心,同时带有明显的内旋,加上他抬起脚跟。
[00:01:20.500 --> 00:01:22.000] 脚趾抓地蓄力的习惯。
[00:01:22.000 --> 00:01:26.360] 这能使肌筋磨练被牵拉得更紧,蹬地发力时能爆发出更高的功率。
[00:01:26.660 --> 00:01:31.100] 而下肢整体的内旋与脚趾抓地的习惯,是很多人所缺乏的。
[00:01:31.380 --> 00:01:37.220] 第二点是关于脚步,赵维伦投篮常会用到一二步急停,跳步与撤步来衔接投篮。
[00:01:37.620 --> 00:01:43.660] 他的一二步的急停使用制动脚的脚跟刹车后,沿着脚跟区块下坐,快速滚动到前脚掌。
[00:01:43.940 --> 00:01:47.720] 同时起跳脚快速前摆,仅用前脚掌快速蹬地向上起跳。
[00:01:47.720 --> 00:01:52.580] 而在他的跳步与撤步中,双脚都是直接用前脚掌触地与蹬地。
[00:01:52.840 --> 00:01:59.320] 这需要较强的下肢刚性与弹性,来维持起跳的稳定,尤其足弓的支撑与脚趾的抓地能力。
[00:01:59.640 --> 00:02:07.720] 第三点是关于合球,赵维伦的合球都是贴近身体的,他会通过脚步主动接近篮球,或者上肢的主动收球接近身体。
[00:02:08.080 --> 00:02:12.180] 也就是让篮球的重心接近身体重心,身体的平衡更加稳定。
[00:02:12.480 --> 00:02:14.780] 同时力量的传导也会更加高效流畅。
[00:02:15.000 --> 00:02:17.280] 合球这一点是很多人投篮的重灾区。
[00:02:17.720 --> 00:02:20.900] 那么远离身体重心的合球会导致重心前倾。
[00:02:21.040 --> 00:02:25.660] 力量传导低效,关于合球的优化训练本频道也推出过专题内容。
[00:02:26.020 --> 00:02:33.720] 最后是关于投篮手型,赵维伦的投篮手手肘有小幅度的外扳,但他采用的是侧腕持球,略向左起球的方式。
[00:02:34.020 --> 00:02:39.080] 这能确保篮球的重心一直掌控在手掌内侧,起球到上至发力点时。
[00:02:39.420 --> 00:02:44.500] 肩肘弯在一条直线上穿过篮球的重心,压腕波球整体力线仍然是相对正直的。
[00:02:44.760 --> 00:02:47.060] 每次出手都能向右侧稳定手型。
[00:02:47.060 --> 00:02:52.040] 很多人是投篮手手肘外翻的同时,是相对正腕的持球与起球。
[00:02:52.340 --> 00:03:04.960] 就会导致篮球重心偏向手掌的外侧,最终用小拇指、无名指一侧波球,无法做到小臂充分旋前,反而是小臂旋后,发力出手时小臂手腕大幅度向那边,手型难以稳定。
