# Transcript: douyin_7038196310775844133

- URL: https://www.douyin.com/video/7038196310775844133
- Title: 12.1万 从传统投篮到现代投篮的改变！保罗·乔治投篮深度解析 #投篮教学 #保罗乔治 #waveball
- Published at: 2021-12-05 20:36:17+0800
- Generated at: 2026-06-12T18:10:33.789712+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.540] 保罗乔治的投篮并不完美,但他的投篮因其极致的丝滑感,却又充满了魅力。
[00:00:05.940 --> 00:00:14.220] 他的投篮也是传统投篮过度为现代投篮的典型案例,对于想修改投篮发力的球友,保罗乔治的投篮极具参考意义。
[00:00:14.600 --> 00:00:17.200] 本期视频将深度解析保罗乔治的投篮。
[00:00:17.740 --> 00:00:24.040] 出入联盟的保罗乔治,与其偶像科比的投篮十分相似,都是高出首点的两段式制控投篮。
[00:00:24.240 --> 00:00:29.440] 其特点为,降重心与举球同时进行,举球至额前都有明显停顿。
[00:00:29.440 --> 00:00:35.000] 下肢发力伸展的同时手臂发力伸展完成投篮,投篮力量主要来自于肌肉。
[00:00:35.360 --> 00:00:43.880] 而在乔治经历大伤后,他开始调整自己的投篮,简化投篮动作,加快出手速度,最终形成了如今更加丝滑的投篮。
[00:00:44.380 --> 00:00:52.600] 现今乔治的投篮以1.5段式为主,停顿更少,流畅度更高,充分利用下肢的力量在通过放松的上肢将球投出。
[00:00:52.920 --> 00:00:56.680] 首先我们从乔治投篮的下肢发力来看,乔治投篮时,
[00:00:56.680 --> 00:01:09.320] 接球快速降重心,小幅度的屈膝屈宽,把关节的率先发力带动身宽身息,也就是前脚掌的快速蹬地起跳,这能充分利用筋膜的弹性,以及千张反射产生的力量。
[00:01:09.320 --> 00:01:12.280] 缩短了蓄力时间,提高了投篮的速度。
[00:01:12.280 --> 00:01:17.680] 传统投篮的起跳是以肌肉主导,而现代投篮的起跳则是以筋膜弹性主导。
[00:01:17.680 --> 00:01:25.840] 其次是乔治投篮的上肢部分,乔治拥有非常柔和的手感,在投篮时,他的上肢充分放松,但松而不垮。
[00:01:25.840 --> 00:01:27.840] 是处于富有弹性的状态。
[00:01:27.840 --> 00:01:35.140] 乔治投篮的快速出手技术,投篮时投篮手空手心持球,五指自然微张,手腕带动手指扑球。
[00:01:35.140 --> 00:01:40.140] 充分压腕的情况下出手后,中指与无名指手指是直向地面的。
[00:01:40.140 --> 00:01:44.240] 乔治出手后手臂并未完全伸直。
[00:01:44.240 --> 00:01:48.540] 这也利用了上肢筋膜的弹性力量,同时也加快了出手速度。
[00:01:48.540 --> 00:01:55.640] 最后是投篮站姿,保罗乔治使用的是窄距站位的侧身投篮,乔治的投篮站位双脚略窄于肩。
[00:01:55.640 --> 00:02:03.240] 左脚正对篮筐,右脚略超出左脚向内旋,形成轻微的内八站位,这能提供更稳定的双脚支撑。
[00:02:03.240 --> 00:02:12.540] 同时身体轻微的左倾,可以平衡身体在跳投时的重心,这是由于右手肩上投篮时身体重心会偏右。
[00:02:12.540 --> 00:02:17.540] 保罗乔治的投篮并不完美,他投篮时手臂与身体的夹角较大。
[00:02:17.540 --> 00:02:25.540] 投篮手手肘外翻,导致投篮力量分散,方向控制难度加大,这是他投篮不稳定的分源之一。
[00:02:25.540 --> 00:02:31.540] 左脚正对篮筐,左脚正在投篮,左脚正在投篮,左脚正在投篮。
