# Transcript: douyin_7484477433110940980

- URL: https://www.douyin.com/video/7484477433110940980
- Title: 2253 浅谈国内相对落后的投篮技术及教学！ 打破传统认知，揭露现代投射的核心！ 国内90%以上的投篮教学，仍然坚持上肢主导的模式，还是先起球再蹬地的类型，这与世界顶级投手的技术发展，已存在了明显脱节，而像这种世界顶级投手，他们是下肢驱动优先的原则，躯干参与旋转发力投篮，是一个全身动力链的末端释放，这种认知的断层，导致从国内的职业球员到国家队球员再到普通大众都普遍存在相对低效的的发力习惯。#投篮教学 #waveball #中国篮球
- Published at: 2025-03-22 11:54:58+0800
- Generated at: 2026-06-12T17:33:15.784665+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.260 --> 00:00:10.920] 大家好,在近期的视频中有网友留言,就是我们之前举例的塞尔维亚球员在比赛中这种先举球再蹬地的模式,他们认为这种先举球是为了更快速的出手。
[00:00:14.660 --> 00:00:19.340] 但从结果来看,这种先举球再蹬地的模式,投篮速度整体是偏慢的。
[00:00:19.820 --> 00:00:26.740] 这是由于看似他举球变快了,但在他的上肢发力点有明显的停顿,他会等待下肢的蹬身再去出手。
[00:00:26.740 --> 00:00:33.280] 在他们的上肢发力点明显停顿之后,再去加速释放,这一段的速度反而变慢了。
[00:00:33.600 --> 00:00:40.240] 这一段是一个被封盖的重灾区,这就是因为速度变慢,防守很容易预判这段行程。
[00:00:40.660 --> 00:00:50.400] 另外,这种先举球的模式会导致你的重心进一步前倾,你的下肢就需要更多的蓄力来去回正重心,它就会导致你的下肢蹬身进一步变慢。
[00:00:50.740 --> 00:00:56.340] 还有一种情况就更糟糕了,在普通人中频繁发生,他们先举球之后重心会略微前倾,
[00:00:56.340 --> 00:01:00.440] 他没有回正重心的过程,沿着前倾的重心直接出手。
[00:01:01.320 --> 00:01:08.620] 所以这种先举球再蹬身的模式,无论从发力效率还是抗防守干扰的能力来说都是相对低效的。
[00:01:09.180 --> 00:01:16.180] 我们再反观上次列举的证明案例,无论是杜兰特,布克,库里,这里以库里最为典型吧,
[00:01:16.640 --> 00:01:22.620] 他的发力整体发力模式是一个上下肢协同发力,也就是蹬地的同步去举球。
[00:01:22.800 --> 00:01:26.320] 在他的上肢发力点的时候,他的下肢已经完成了蹬身。
[00:01:26.340 --> 00:01:32.280] 他的上肢可以利用到下肢躯干向上建立的速度角度顺势去投篮。
[00:01:32.420 --> 00:01:36.140] 所以像库里这种投篮模式,他整体的发力速度是更快的。
[00:01:36.360 --> 00:01:46.740] 根据ESPN运动科学实验室2019年的数据,就是这种上下肢协同发力直接去顺势出手的模式比我们刚才所说的这种先举球再蹬身的模式,
[00:01:46.880 --> 00:01:50.500] 他整体的出手速度要快0.2到0.3秒左右。
[00:01:50.960 --> 00:01:55.940] 这里做一个对比,CBA中的顶级射手袁帅,他的投篮速度在国内已经是很快了。
[00:01:56.340 --> 00:01:59.660] 他的比赛中平均出手速度约0.7秒左右。
[00:02:00.180 --> 00:02:03.220] 而像库里的平均出手速度在0.4秒左右。
