# Transcript: douyin_7575385579668524315

- URL: https://www.douyin.com/video/7575385579668524315
- Title: 4891 林葳投篮问题深度分析，普通人也常会陷入同样的困境！ 林葳在NCAA已打了4场比赛，无论中距离还是三分，目前还没有一次命中！本期视频将对林威的投篮问题做深度分析，同时提供解决思路，林葳的投篮困境，其实很多普通人都会遇到。#waveball #投篮教学 #发力矫正 #林葳
- Published at: 2025-11-22 11:25:00+0800
- Generated at: 2026-06-12T16:36:05.468670+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:09.360] 不少朋友在后台问我,林威到了NCAA后,投篮怎么突然失准了?他在NCAA已打了4场比赛,无论中距离还是三分,目前还没有一次命中。
[00:00:09.920 --> 00:00:18.040] 本期视频将对林威的投篮问题做深度分析,同时提供解决思路,林威的投篮困境其实很多普通人都会遇到。
[00:00:18.040 --> 00:00:24.080] 在更快节奏、更强贴防的NCAA赛场,林威的投篮主要暴露出了三方面的问题。
[00:00:24.580 --> 00:00:31.940] 蓄力准备时间长,下肢参与低,上肢带长多,结果就是出手慢,方向不准,稳定性下降。
[00:00:32.400 --> 00:00:36.240] 第一方面,林威习惯的制空跳投,整体发力速度较慢。
[00:00:36.760 --> 00:00:42.980] 在NCAA快节奏、高强度的防守中,常因脚部调整之后导致防守贴脸的情况。
[00:00:43.360 --> 00:00:46.640] 结果就是应激状态下更多靠上肢硬轮。
[00:00:46.640 --> 00:00:50.960] 下肢甚至频繁出现明显的外八结构以及右脚之后的情况。
[00:00:51.740 --> 00:00:55.420] 上肢被迫以更大力矩和更高频率带长来创造投篮速度。
[00:00:55.960 --> 00:01:01.800] 上肢带长会降低投篮一致性与稳定性,尤其在遇到贴防时,并增加了体能消耗。
[00:01:02.240 --> 00:01:04.860] 林威的整体投篮速度大约在0.9秒左右。
[00:01:05.220 --> 00:01:10.580] 根据ESPN的数据统计,NBA球员的平均出手速度大约在0.6秒左右,
[00:01:10.820 --> 00:01:14.140] 而像库里的出手速度可以达到0.4秒左右。
[00:01:14.540 --> 00:01:16.620] 第二方面,林威的投篮是平均的,
[00:01:16.640 --> 00:01:20.760] 是偏传统的右手肩上投篮模式,比较依赖右侧承重。
[00:01:21.220 --> 00:01:27.280] 他的重心习惯性偏右,限制了下肢躯干的自然旋转,整体的发力效率降低。
[00:01:27.840 --> 00:01:32.340] 尤其在球场右侧这类需要向左转宽,用单侧对框的球。
[00:01:32.880 --> 00:01:37.400] 由于他的重心习惯在右侧锁定,下肢核心力量无法高效传导,
[00:01:37.800 --> 00:01:42.560] 这就会进一步上肢带长,肩部扭矩过载,手腕抖动增加,
[00:01:42.680 --> 00:01:46.020] 投篮的稳定性下降,反观国际顶级射手,
[00:01:46.020 --> 00:01:48.880] 无论是和林威制空跳投类似的帕蒂米尔斯,
[00:01:49.200 --> 00:01:51.180] 还是斯蒂芬库里的一段式跳投,
[00:01:51.480 --> 00:01:56.340] 他们在起跳中都会充分利用肩宽分离与关节扭矩来延长发力链条,
