# Transcript: douyin_7226952978236771644

- URL: https://www.douyin.com/video/7226952978236771644
- Title: 1.0万 NBA训练师教你如何高效投篮！建立高效的发力模型，解决手快脚慢 #投篮教学 #库里 #waveball
- Published at: 2023-04-28 12:28:33+0800
- Generated at: 2026-06-12T17:50:06.323680+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.020] 近日,NBA训练师麦克阿特金森作客,台湾篮球教学频道U4篮球,分享了一些关于投篮技巧的训练。
[00:00:08.420 --> 00:00:18.900] 其中的一些训练对于建立高效的投篮发力模型,矫正投篮中手快脚慢发力脱节问题极具参考价值,而大部分内容也与本频道之前的教学内容是一致的。
[00:00:19.120 --> 00:00:27.520] 首先是训练如何快速接球投篮,提前屈膝区宽降重心,手肘内收,手掌准备好投篮手型,接球后直接蹬地起球。
[00:00:30.000 --> 00:00:49.140] 关键细节是收球到胸口,很多人会用上肢主动沉球,沉球点较低,减缓了投篮速度,同时也容易导致重心前倾。
[00:01:00.000 --> 00:01:10.900] 同样,迈克用此动作来模拟防守,监测他不要过低沉球,同时提高他的出手角度。
[00:01:25.800 --> 00:01:29.480] 第二种训练是坐姿投篮,培养区宽蓄力的运动姿态。
[00:01:29.800 --> 00:01:29.980] 但也不一定是最好的。
[00:01:29.980 --> 00:01:37.740] 这与大家常见的从椅子上站起投篮是有区别的,跳箱的高度不要太低,予以小幅度区宽后臀部的下端能高。
[00:01:37.900 --> 00:01:46.680] 迈克要求脚下脚趾主动发力,启动下肢的蹬身,也就是建立区宽蓄力主导的同时,需要脚趾发力蹬地启动下肢的伸展。
[00:01:47.000 --> 00:01:50.300] 这部分的内容我们在往期视频中也做出过深度解读。
[00:01:53.860 --> 00:01:59.540] 而视频中的这位学员,正是我们经常列举的两段式颠头,既没有出手速度,
[00:01:59.540 --> 00:02:02.980] 也没有出手高度,是一种比较低效的投篮模式。
[00:02:03.280 --> 00:02:10.280] 我们可以看到他从跳箱站起后并没有直接蹬地,过渡屈膝进行二次蓄力,上至过早的起球后明显停顿。
[00:02:16.400 --> 00:02:21.740] 而另一位学员的整体发力则会流畅很多,他的投篮更接近1.5段式的跳投。
[00:02:22.060 --> 00:02:28.900] 但他的下肢仍然偏慢,脚下的蹬身不够积极,弹性利用不够,下肢的发力模型还可以继续优化。
[00:02:28.900 --> 00:02:34.040] 所以要彻底矫正手快脚慢,就需要建立区宽蓄力主导的发力模型。
[00:02:34.040 --> 00:02:41.740] 同时脚下需要快速积极的蹬身,更多的利用弹性加速起跳,明确上下肢的发力节奏,及蹬地同时起球。
[00:02:41.740 --> 00:02:47.640] 如果上至过早发力的习惯难以克制,你一定要把降重心收球的环节加入你的投篮中。
