# Transcript: douyin_7063051650348485920

- URL: https://www.douyin.com/video/7063051650348485920
- Title: 1.3万 库里也会“手快脚慢”？揭露投篮手快脚慢的真相 #库里 #投篮教学 #waveball
- Published at: 2022-02-10 20:07:41+0800
- Generated at: 2026-06-12T18:09:49.150107+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.780] 在我收到的上千个投篮视频中,大约有80%的案例,都存在发力脱节的问题。
[00:00:06.260 --> 00:00:15.240] 在传统观念中,投篮时在抬球点仍然处于屈膝的状态,很多人会把它作为判断手快脚慢,发力脱节的依据,显然这是不准确的。
[00:00:18.060 --> 00:00:24.100] 在视频中库里,汤普森都是先完成深吸后再进行顶肘,是自下而上有序叠加的发力。
[00:00:24.100 --> 00:00:31.620] 当下肢完成伸展到起跳发力至最高点这个阶段,上肢在前接发力,都是可以借助到下肢力量来投篮的。
[00:00:31.880 --> 00:00:33.940] 那么什么才是真正的手快脚慢?
[00:00:34.360 --> 00:00:38.800] 在投篮起重心的阶段,下肢还未完全伸展,上肢就提前发力。
[00:00:39.220 --> 00:00:45.260] 下肢力量与上肢力量脱节,并未叠加作用到篮球上,最终导致投篮无力,射程不足。
[00:00:45.720 --> 00:00:50.840] 投篮手快脚慢,发力脱节的问题,出现在一段式以及1.5段式的投篮中。
[00:00:51.020 --> 00:00:54.080] 而在两段式投篮中,由于是起跳到最高点,
[00:00:54.260 --> 00:00:57.800] 在进行上肢发力,所以不存在手快脚慢的问题。
[00:00:58.280 --> 00:01:04.240] 常见的手快脚慢有两种情况,第一种,降重心同时起球,下肢与上肢同时伸展。
[00:01:04.680 --> 00:01:09.340] 深吸与顶肘同步,下肢力量还未完成传导,上肢就以发力出手。
[00:01:09.740 --> 00:01:15.060] 第二种,虽然做到了陈球与降重心同步,但在起球阶段,上肢主动发力。
[00:01:15.500 --> 00:01:20.260] 过早的举球,下肢伸展速度较慢,同样也导致了上下肢发力的脱节。
[00:01:20.460 --> 00:01:24.080] 一段式以及1.5段式都是借助下肢的力量来投篮。
[00:01:24.260 --> 00:01:30.780] 正确的发力节奏是接球,快速降重心,利用身体向上的弹性,顺势举球至抬球点。
[00:01:31.220 --> 00:01:38.600] 最后再顺势拨球出手,快速降重心可以触发身体后侧链肌肉的千张反射,让身体产生一个向上的力量。
[00:01:38.960 --> 00:01:42.840] 上肢的举球是被这股力量顺势带动的,不需要刻意用力上去。
[00:01:43.260 --> 00:01:49.020] 最后出手的过程也是自然放松了,所有力量传导到手腕后,只需要让球顺势流淌。
[00:01:50.280 --> 00:01:54.080] 整个发力过程是先深吸再顶肘,是有序叠加的发力。
[00:01:54.300 --> 00:01:59.740] 一段是投篮在抬球点几乎没有停顿,1.5段是在抬球点有停顿瞄篮的环节。
[00:02:00.060 --> 00:02:05.320] 一段是投篮射程更远更胜利,1.5段是投篮的抗干扰能力更强更加稳定。
