# Transcript: douyin_7489500979885395210

- URL: https://www.douyin.com/video/7489500979885395210
- Title: 4255 投篮进化论！你的投篮是否还停留在灵长类动物阶段？ 3岁的库里投篮与猴子的投篮动作相似，灵长类动物的投掷发力具有，发力脱节、上肢主导、效率低下的特点，人类投掷能力的本质突破，在于将灵长类的简单上肢推掷，升级为全身弹性系统协调的精准投射，灵长类动物的过顶投掷特征具体表现为四个方面，而这四个方面也是很多人在投篮中出现问题的根源。#投篮教学 #waveball #库里
- Published at: 2025-04-05 00:48:53+0800
- Generated at: 2026-06-12T17:32:06.479557+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.480] 这是一只经过驯化的猴子的原地投篮,这是库里三岁时的投篮,它们的动作模式非常相似。
[00:00:06.820 --> 00:00:14.660] 这是猴子已经能做到稳定的命中,但灵长类动物的投掷发力具有发力脱节、上至主导、效率低下的特点。
[00:00:14.900 --> 00:00:22.540] 这与部分人类在投篮时具有相似特征,本质上是因为经系统训练的人,未能充分激活人类特有的生物力学潜能。
[00:00:22.940 --> 00:00:28.400] 上下之协同发力是人类特有的投掷生物力学优势,人类投掷能力的本质突破。
[00:00:28.400 --> 00:00:37.200] 在于将灵长类的简单上至推制升级为全身弹性系统协调的精准投射,灵长类动物的过顶投掷特征具体表现为四个方面。
[00:00:37.580 --> 00:00:41.300] 而这四个方面也是很多人在投篮中出现问题的根源。
[00:00:41.660 --> 00:00:51.280] 第一方面,上至主导的局部发力,灵长类动物投掷主要依赖肩部和肘部伸展,下至仅提供支撑、能量传递效率低于30%。
[00:00:51.760 --> 00:00:56.380] 这种肩肘主导的发力模式,恰似多数初学者手扔是投篮的翻版。
[00:00:56.640 --> 00:00:58.380] 第二方面是,整体发力。
[00:00:58.400 --> 00:01:05.400] 灵长类的脱节,灵长类动物的胸椎旋转幅度较小,导致了躯干旋转幅度受限,无法有效传导下肢力量。
[00:01:05.720 --> 00:01:11.880] 很多人在投篮中同样存在缺乏躯干旋转的发力,导致动力链的断裂,形成了发力脱节。
[00:01:12.240 --> 00:01:16.160] 第三方面是灵长类动物过顶投掷时,发力效率的低下。
[00:01:16.600 --> 00:01:21.840] 它们的神经系统未进化出精确的持续性激活模式,无法分离肌肉收缩顺序。
[00:01:21.840 --> 00:01:29.840] 肌肉会同步收缩导致能量内耗,如肩部屈膝与肩部身肌同时激活,形成了刹车与油门同时踩,力量抵消。
[00:01:29.840 --> 00:01:38.840] 很多人存在同样的问题,本质上是反组式的神经肌肉控制失调,导致了肩部上抬的卡顿,呈现出推球投篮的姿态。
[00:01:38.840 --> 00:01:45.840] 第四方面是从进化发育的视角,人类儿童6到8岁就可逐步掌握胯部投掷动作,这涉及小脑。
[00:01:45.840 --> 00:01:51.840] 肌体神经环络的重塑,而灵长类动物终生无法实现连贯过顶投掷。
[00:01:51.840 --> 00:01:57.840] 大多数人从小缺乏科学系统的训练,就未能充分激活人类特有的生物力学潜能。
[00:01:57.840 --> 00:02:01.840] 人类是陆地上唯一能实现高速精确投掷的物种。
[00:02:01.840 --> 00:02:06.840] 人类投掷动作的进化优势,是建立在宽,兼分离的螺旋动力链基础上。
[00:02:06.840 --> 00:02:12.840] 上下肢协同的发力可使动作效率提升30%以上,这也正是顶级射手如库里。
[00:02:12.840 --> 00:02:18.840] 汤普森等人保持高效输出的生物力学基础。
