# Transcript: douyin_7257753964618304822

- URL: https://www.douyin.com/video/7257753964618304822
- Title: 1079 如何利用脚趾投篮！从理论到实操帮助状元快速进化 #投篮教学 #投篮矫正 #waveball
- Published at: 2023-07-20 12:32:07+0800
- Generated at: 2026-06-12T17:46:01.731023+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:12.120] 看他的脚下,这是值得大家学习的脚下看,就是一个脚趾,我们要强调就是他内旋我们更会更多的去追求我们的大脚趾。
[00:00:12.120 --> 00:00:14.600] 这上面来看吧,这上面看得到吗?
[00:00:15.960 --> 00:00:27.120] 上支内旋的话就是我们他内旋一个踩地就是偏向大脚趾,不是前脚掌,我们更多的描述大脚趾这一侧去内旋去踩。
[00:00:27.120 --> 00:00:33.000] 像视频中他这位就是刚触地,稍微触地马上大脚趾弹起来。
[00:00:33.000 --> 00:00:37.440] 如果你前脚掌黏下去,黏下去他是很难起的来,上不来的。
[00:00:37.440 --> 00:00:39.840] 就用大脚趾这个力量起来。
[00:00:39.840 --> 00:00:50.360] 那天我们上那个瑜伽课嘛,瑜伽课的话看那个大家很多脱了鞋子,很多都是大脚趾已经可能丧失了这个弹的能力。
[00:00:50.360 --> 00:00:54.640] 他大脚趾很多都是母外翻都已经并到一起了,张都张不开了。
[00:00:54.640 --> 00:00:56.560] 没有这个张开的能力。
[00:00:56.560 --> 00:00:57.840] 没有这个蹬地的能力。
[00:00:57.840 --> 00:01:00.800] 他都已经像宗朝那些裹脚了。
[00:01:00.800 --> 00:01:08.040] 现在他的脚已经,他已经脚被这种尖头的鞋已经束缚了很多年,他已经长到一起了。
[00:01:08.040 --> 00:01:11.080] 没有这个伸展能力了,没有这个蹬地能力了。
[00:01:11.080 --> 00:01:15.840] 就这样,他就会就让人拍到地上,就用这个拍,只能是这个,这个蹬。
[00:01:15.840 --> 00:01:20.720] 他这个脚趾都没法快速的触地之后弹起来了,缺乏这一段。
[00:01:20.720 --> 00:01:26.240] 我们看一下他的脚下,看他的偏向,其实偏向大脚趾啊。
[00:01:26.240 --> 00:01:29.320] 触地之后弹起来,触地之后弹起来。
[00:01:29.320 --> 00:01:35.080] 如果你的膝关节刚性或者踝关节刚性越好,这个触地及弹的这个速率就会越快。
[00:01:35.080 --> 00:01:38.720] 你的弹性就会越好,像库里一样就特别弹。
[00:01:38.720 --> 00:01:40.600] 就轻触一下就弹得很高。
[00:01:40.600 --> 00:01:45.440] 这一下,啊,你如果脚趾没这个能力了,就贴到地上起不来。
[00:01:45.440 --> 00:01:51.840] 所以说他的发力就看了相对会快速轻松,有弹性一些。
[00:01:51.840 --> 00:01:55.040] 大脚趾内旋踩地走。
[00:01:55.040 --> 00:01:56.040] 内旋。
[00:01:56.240 --> 00:01:57.240] 踩地走。
[00:01:57.240 --> 00:01:58.240] 触地及弹。
[00:01:58.240 --> 00:01:59.240] 这就是触地及弹。
[00:01:59.240 --> 00:02:02.480] 大家去追求这,这一下速率。
[00:02:02.480 --> 00:02:06.360] 你的,尤其你的那个,刚才那一下。
[00:02:06.360 --> 00:02:10.320] 就不用,看都不用去大幅去宽。
[00:02:10.320 --> 00:02:13.360] 就是脚趾的抓地直接向上弹。
[00:02:26.240 --> 00:02:29.240] 马上。
[00:02:29.240 --> 00:02:32.240] 你说他这个踩有劲的。
[00:02:32.240 --> 00:02:35.240] 没有劲,来,再来。
[00:02:35.240 --> 00:02:42.240] 我说他的力线是比较好的,解决发力问题就,就很快能改,改过来。
[00:02:42.240 --> 00:02:46.240] 留一步。
[00:02:46.240 --> 00:02:47.240] 哇塞。
[00:02:47.240 --> 00:02:49.240] 再来。
[00:02:49.240 --> 00:02:51.240] 太诡异了。
[00:02:51.240 --> 00:02:53.240] 再来。
[00:02:53.240 --> 00:02:54.240] 再来。
[00:02:54.240 --> 00:02:55.240] 再来。再来。
[00:02:56.240 --> 00:03:01.240] 再来。再来。
[00:03:01.240 --> 00:03:08.240] 好球,再来。再来。再来。再来。再来。
[00:03:08.240 --> 00:03:15.240] 稍微,你稍微再留,预留,预留充足一点。脚你有点怕那个三分线哦。
[00:03:15.240 --> 00:03:21.240] 漂亮。
[00:03:21.240 --> 00:03:24.240] 扭扭扭扭扭。
[00:03:26.240 --> 00:03:29.240] 好球。
[00:03:29.240 --> 00:03:31.240] 好球。
[00:03:31.240 --> 00:03:32.240] 好球。
[00:03:32.240 --> 00:03:33.240] 好球。
[00:03:33.240 --> 00:03:34.240] 好球。
[00:03:34.240 --> 00:03:35.240] 好球。
[00:03:35.240 --> 00:03:36.240] 好球。
[00:03:36.240 --> 00:03:37.240] 好球。
[00:03:37.240 --> 00:03:38.240] 好球。
[00:03:38.240 --> 00:03:39.240] 好球。
[00:03:39.240 --> 00:03:40.240] 好球。
[00:03:40.240 --> 00:03:41.240] 好球。
[00:03:41.240 --> 00:03:42.240] 好球。
[00:03:42.240 --> 00:03:43.240] 好球。
[00:03:43.240 --> 00:03:44.240] 好球。
[00:03:44.240 --> 00:03:45.240] 好球。
[00:03:45.240 --> 00:03:46.240] 好球。
[00:03:46.240 --> 00:03:47.240] 好球。
[00:03:47.240 --> 00:03:48.240] 好球。
[00:03:48.240 --> 00:03:49.240] 好球。
[00:03:49.240 --> 00:03:50.240] 好球。
[00:03:50.240 --> 00:03:51.240] 好球。
[00:03:51.240 --> 00:03:52.240] 好球。
[00:03:52.240 --> 00:03:53.240] 好球。
[00:03:53.240 --> 00:03:54.240] 好球。
