# Transcript: douyin_7013312431833238797

- URL: https://www.douyin.com/video/7013312431833238797
- Title: 3.5万 辅助手在投篮中该发挥什么作用？怎样正确的使用投篮辅助手？全面解析投篮辅助手 #辅助手 #投篮教学
- Published at: 2021-09-29 19:14:07+0800
- Generated at: 2026-06-12T18:12:43.656946+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:09.620] 辅助手在投篮中该发挥什么作用?怎样正确地使用投篮辅助手?很多人在投篮时让投篮手做了太多的工作,却忽视了辅助手的作用。
[00:00:09.960 --> 00:00:16.280] 本期视频解析辅助手在投篮中的四大功能,以下解析都是建立在相对标准的投篮模型下。
[00:00:16.560 --> 00:00:23.520] 首先是辅助手的举球功能,很多人在举球时,常会用投篮手发力抓球上举,辅助手扶球。
[00:00:23.520 --> 00:00:27.500] 这会导致投篮手的手指手腕的紧张,投篮出手僵硬。
[00:00:27.880 --> 00:00:35.200] 我们在投篮时应该尽量用辅助手托球上举,投篮手扶球,保持放松,让投篮手主要负责发力投篮。
[00:00:35.640 --> 00:00:38.980] 第二点是投篮纠偏功能,一些人的投篮总是偏左。
[00:00:39.420 --> 00:00:45.280] 这是由于人体的生理特征,右手型球员投篮时,手臂自然上举,手腕会向左偏移。
[00:00:45.720 --> 00:00:51.880] 投篮时如果将辅助手引导至投篮释放点,能帮助投篮手的纠偏,确保投篮手直线发力。
[00:00:51.880 --> 00:00:54.700] 这样你的投篮几乎就不会再向左偏移。
[00:00:55.080 --> 00:00:59.520] 第三点是瞄准辅助功能,我们可以把辅助手作为一个物理瞄准器。
[00:00:59.920 --> 00:01:08.940] 在抬球点时将辅助手对准篮筐的左侧,在释放点时将投篮手手腕对准篮筐中心,形成双轴瞄准,这会让你的投篮更加稳定。
[00:01:09.300 --> 00:01:13.300] 最后一点是,辅助手的上举高度能直接影响投篮的弧度。
[00:01:13.700 --> 00:01:17.820] 如果你的投篮弧度较低,你可以尝试提高辅助手举球的高度。
[00:01:18.040 --> 00:01:21.420] 像汤普森,哈登的辅助手引导高度都较高。
[00:01:21.420 --> 00:01:26.480] 同时辅助手向上的举球有利于下肢力量的传导,让投篮变得省力。
[00:01:26.800 --> 00:01:30.780] 辅助手在投篮中主要起到稳定篮球,协调发力的作用。
[00:01:31.060 --> 00:01:35.660] 在投篮出手时,只要不造成篮球侧旋的辅助手技术都是合理的。
[00:01:36.000 --> 00:01:49.520] 在现今主流的篮球教学中,比较推崇的是辅助手上举释放的类型,以汤普森,哈登,布克为代表,也可以像科比一样,采用辅助手向前跟随的方式,这可以使篮球飞行得更加稳定。
[00:01:49.600 --> 00:01:51.300] 但投篮弧度相对较低。
[00:01:51.420 --> 00:01:54.180] 此技术对左右手的协调能力要求较高。
[00:01:54.480 --> 00:01:59.640] 还有争议较大的一类,是以欧文·库里为代表的辅助手拇指参与播球的类型。
[00:02:00.060 --> 00:02:01.220] 我们将在下期详细。
