# Transcript: douyin_7188747741340765501

- URL: https://www.douyin.com/video/7188747741340765501
- Title: 9648 库里竟偷学麦迪投篮？干货满满，深度解析麦迪投篮为何如此之美！ #麦迪 #库里 #投篮 #投篮教学
- Published at: 2023-01-15 13:32:43+0800
- Generated at: 2026-06-12T17:56:48.990491+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:21.420] 早年库里的跳投与晚年麦迪的投篮竟然高度相似。麦迪的投篮就像是一件艺术品,飘逸流畅、优雅自然。尤其他的干拔跳投,是NBA中最具观赏性的进攻技术之一。麦迪美如画的跳投,得益于他顶级的身体天赋外,也有许多值得大家学习的发力技巧。本视频将深度解析麦迪的投篮。
[00:00:21.420 --> 00:00:50.160] 首先从整体发力节奏来看,麦迪在比赛中以持球投篮为主,一二步的投篮脚步居多。他的陈九与快速降重心同步,仍然是区宽主导带动小幅度屈膝的蓄力,制动脚确立身体重心。起跳脚触地后快速衔接蹬地同时起球,在起跳的最高点衔接上至发力出手。有较高的腾空高度,是两段式跳投的模式,在生涯的后期腾空高度有所下降。而在训练时他习惯用1.5段式跳投的模式。
[00:00:50.160 --> 00:01:14.400] 第一方面,麦迪投篮的下肢发力。第一点,麦迪在快速降重心后,下肢的蹬身非常积极同时弹速较快。这需要强大的下肢弹性与爆发力,他的起跳脚,前脚掌触地后快速衔接蹬地向上,带动起球以及深吸深宽,他在空中也是依靠强大的核心力量维持重心的稳定,是全身高度协同发力的起跳模式,重点是下肢爆发一定要快。
[00:01:14.680 --> 00:01:20.120] 第二点,麦迪的脚下习惯相对较窄的占据,这能加快下肢伸展,使发力。
[00:01:20.160 --> 00:01:44.680] 第三点,麦迪的脚下习惯相对较窄的占据,使发力。
[00:01:44.680 --> 00:01:48.940] 他的起球轨迹就像一把弯刀,带动躯干略后仰。
[00:01:49.220 --> 00:01:50.140] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强大的强力。
[00:01:50.160 --> 00:01:50.180] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强大的强力。
[00:01:50.180 --> 00:01:50.200] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强大的强力。
[00:01:50.200 --> 00:01:50.220] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强力。
[00:01:50.220 --> 00:01:50.240] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强力。
[00:01:50.240 --> 00:01:50.340] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强力。
[00:01:50.340 --> 00:01:50.400] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强力。
[00:01:50.400 --> 00:01:50.420] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强力。
[00:01:50.420 --> 00:01:50.480] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强力。
[00:01:50.480 --> 00:01:50.500] 他较长的摆臂形态,他更能让人感觉到他在上下方的脚下有强力。
