# Transcript: douyin_7251790210093157689

- URL: https://www.douyin.com/video/7251790210093157689
- Title: 5908 手把手投篮矫正，一节课从三分靠蒙到训练命中率90%! #投篮矫正 #投篮训练 #waveball
- Published at: 2023-07-04 10:49:42+0800
- Generated at: 2026-06-12T17:46:31.067150+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.180] 这是端午节期间一位成都的兄弟邀请我去给他做的投篮矫正训练。
[00:00:07.820 --> 00:00:12.080] 他之前的投篮整体发力与方向控制都是非常不稳定的。
[00:00:12.920 --> 00:00:15.460] 在三分距离的命中基本靠运气。
[00:00:15.740 --> 00:00:21.720] 在一节课后我们进行了训练检测,实际三分球他命中了9记,整体的稳定性飙升。
[00:00:22.100 --> 00:00:25.400] 课后他本人也感叹,这一辈子也没投进过这么多球。
[00:00:25.940 --> 00:00:29.800] 而在第二节课后他的整体投篮模式基本完成了升级。
[00:00:30.060 --> 00:00:32.700] 课后的检测他已经可以做到信手拈来。
[00:00:33.660 --> 00:00:37.240] 在中距离的20球中他已经能稳定的命中18球。
[00:00:37.820 --> 00:00:44.080] 本期视频将分享本次矫正训练中的一些精要对于有相似问题的球友及具指导意义。
[00:00:55.440 --> 00:00:57.660] 你感觉自己的手心有什么问题吗?
[00:00:58.160 --> 00:00:58.920] 有很大的问题。
[00:01:00.000 --> 00:01:02.000] 你需要出去,对吗?
[00:01:02.000 --> 00:01:02.500] 对。
[00:01:02.500 --> 00:01:03.000] 对。
[00:01:03.000 --> 00:01:09.400] 你的手腕和手腕的三个都是一个曲线。
[00:01:09.400 --> 00:01:11.780] 这个曲线弯曲过来,再弯曲过去。
[00:01:11.780 --> 00:01:18.820] 我们尽量把我们的这条线,肩肘腕一条线,出去,它就是直的。
[00:01:18.820 --> 00:01:22.780] 你这样弯曲,所以会左右摆动。
[00:01:22.780 --> 00:01:24.780] 你觉得你没有任何问题吗?
[00:01:24.780 --> 00:01:27.780] 其实我投球出去都没有问题。
[00:01:27.780 --> 00:01:28.280] 啊。
[00:01:28.280 --> 00:01:29.980] 球的感觉没有问题。
[00:01:30.000 --> 00:01:34.000] 我还有一个最大的问题,就是我拨纸打外的问题。
[00:01:34.000 --> 00:01:40.000] 因为我按我之前那个测试的图来,这个球啊,我觉得一下就出去了。
[00:01:40.000 --> 00:01:41.000] 你没来得及。
[00:01:41.000 --> 00:01:44.000] 是啊,你那个上支越发力,你越来不及拨纸。
[00:01:44.000 --> 00:01:46.000] 它是一个有序的传导,你看。
[00:01:46.000 --> 00:01:48.000] 我们拨纸要充分是什么?
[00:01:48.000 --> 00:01:50.000] 是我们通过这个传导。
[00:01:50.000 --> 00:01:52.000] 你看我,我都不用去压它。
[00:01:54.000 --> 00:01:58.000] 它手肘打开,它自然会向上一个传导,有序的。
[00:01:58.000 --> 00:02:00.000] 你去天上去破坏它了。
[00:02:00.000 --> 00:02:02.000] 你故意去压它。
[00:02:02.000 --> 00:02:04.000] 故意压它,而你身体在前倾,看。
