# Transcript: douyin_7233997123514060065

- URL: https://www.douyin.com/video/7233997123514060065
- Title: 共创 1.9万 库里投篮转腕深度拆解，孟博龙矫正案例分享 #投篮教学 #库里 #waveball
- Published at: 2023-05-17 12:03:26+0800
- Generated at: 2026-06-12T17:48:57.370522+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:09.940] 你和孟无龙有个相同的习惯,就是手腕的后屈不够,稍微会往前屈,上上拖球的稳定性不够,像这样。
[00:00:09.940 --> 00:00:11.460] 就是会拿扶手扶球。
[00:00:11.460 --> 00:00:16.820] 对,这个手,他向后拖,拖的不够他就会扶手,帮着一起往上拖。
[00:00:17.420 --> 00:00:26.120] 孟无龙的问题就是他,你看他这样,他也是侧腕,跟库里一样,侧腕,过去他是往下压,往下压到这个点的时候,
[00:00:26.120 --> 00:00:33.480] 他这个球的重心就拖到手掌的外侧,就拖到这个外侧,外侧这样拖球。
[00:00:33.480 --> 00:00:35.720] 他手腕可以往内扣。
[00:00:35.720 --> 00:00:45.760] 这是一个时装面,时装面上我们必须把我们的手,我们的小臂,悬前,悬前之后,小臂垂直于地面,
[00:00:45.760 --> 00:00:51.520] 然后我们的食指中指基本上是垂直地面,这样出口才能跟我们的篮筐,跟一条直线出去。
[00:00:51.520 --> 00:00:55.120] 所以说你用小拇指,拇指拖球之后,
[00:00:55.120 --> 00:00:55.620] 一个,
[00:00:56.120 --> 00:01:00.520] 往内,内扣,小臂前前就是回来了,就是一个后卷。
[00:01:00.520 --> 00:01:01.920] 他的辅助手在上面吗?
[00:01:01.920 --> 00:01:10.920] 上面会压到,压到就压破这个手,所以他这个,这个手就没法用,很稳定的用食指这个拖球,一直做到手掌外侧。
[00:01:10.920 --> 00:01:18.720] 他这个球还是外翻的,这里还是外翻的,这样旋不过来,这样旋过来才是正,他是外翻的,所以这样,就是歪的。
[00:01:18.720 --> 00:01:20.320] 平反直线这个歪。
[00:01:20.320 --> 00:01:25.320] 用大拇指,用这个食指中指发力的话,往外旋就是前旋。
[00:01:26.120 --> 00:01:28.920] 然后就能稳定的往下扣。
[00:01:28.920 --> 00:01:33.120] 他需要逃到,他那天也有,在场上一直跃摸。
[00:01:33.120 --> 00:01:38.920] 就这样,起来之后这个辅助手要,要把他的这个,压破释放掉。
[00:01:38.920 --> 00:01:43.120] 跟随球这样,不要去往上压,侧面。
[00:01:43.120 --> 00:01:46.120] 他这个侧腕嘛,先是侧着的。
[00:01:46.120 --> 00:01:48.320] 我们自然起,起来。
[00:01:48.320 --> 00:01:50.520] 起来的时候跟随这个小臂前旋。
[00:01:50.520 --> 00:01:53.320] 旋过来,往下扣,对上去。
[00:01:53.320 --> 00:01:55.920] 你通常有时候就是这个,手腕比较前曲。
[00:01:56.120 --> 00:01:58.320] 这样的这样的这样的。
[00:01:58.320 --> 00:01:59.320] 这样的这样的这样的。
[00:01:59.320 --> 00:02:00.920] 这样的这样的这样的这样的。
[00:02:00.920 --> 00:02:02.920] 你这个要托举上来稳定
[00:02:02.920 --> 00:02:03.920] 线向上
[00:02:03.920 --> 00:02:04.920] 这个稳定性才有
[00:02:04.920 --> 00:02:05.920] 线向上
[00:02:05.920 --> 00:02:06.920] 如果是这样的话
[00:02:06.920 --> 00:02:08.920] 只能是扶住手起球
[00:02:08.920 --> 00:02:09.920] 只能扶住手起球
[00:02:09.920 --> 00:02:10.920] 然后发力
[00:02:10.920 --> 00:02:11.920] 就更多的向前
[00:02:11.920 --> 00:02:13.920] 往上上的力量弹到五个
[00:02:13.920 --> 00:02:14.920] 平手向上力量弹到五个
[00:02:14.920 --> 00:02:16.920] 以手为轴
[00:02:17.920 --> 00:02:19.920] 这样球离的身体距离也近
[00:02:20.920 --> 00:02:21.920] 对吧
[00:02:21.920 --> 00:02:22.920] 拿近了就可以拿这个
[00:02:22.920 --> 00:02:23.920] 端态
[00:02:23.920 --> 00:02:24.920] 端态起球
