# Transcript: douyin_7582532179743493435

- URL: https://www.douyin.com/video/7582532179743493435
- Title: 置顶 4.1万 从59分到97分！如何快速让前国家球员提升投篮效率。 今年7月在北京，本频道联合Shot lab 投篮实验室，对前国家队球员 @孟铎Danny3 进行的投篮测试与实时优化。孟铎作为球员时期也是以投射见长，他的参与也让整个测试更具参考价值。优化后，他的投篮从出手弧度、出手速度到发力效率都实现了可量化的提升。#waveball #shotlab #投篮
- Published at: 2025-12-11 17:37:27+0800
- Generated at: 2026-06-12T15:50:07.798844+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.340] 从59分飙升到97分,如何快速让前国家队球员提升投篮效率。
[00:00:05.700 --> 00:00:12.060] 受传统投篮教学的影响,国内大部分球员投篮都仍然存在手快脚慢、发力脱节的情况。
[00:00:12.420 --> 00:00:16.280] 这种结构性缺陷导致了他们的投篮存在一些普遍问题。
[00:00:16.620 --> 00:00:21.420] 这原地投的时候你上之更偏向更快的出手,下之还是原来的蓄力角度。
[00:00:21.580 --> 00:00:22.880] 就所谓的手快脚慢。
[00:00:23.140 --> 00:00:29.040] 出手速度偏慢,出手角度较低,动态稳定欠佳,抗防守干扰能力不足等问题。
[00:00:29.040 --> 00:00:35.460] 尤其在国际赛场会进一步被放大,暴露出压迫防守下难以出手或空位不敢出手的情况。
[00:00:38.260 --> 00:00:41.920] 他们的投篮能力与世界优秀球员存在着较大的差距。
[00:00:43.240 --> 00:00:51.160] 这是今年7月在北京本频道联合Shotlab投篮实验室,对前国家队球员孟夺进行的投篮测试与实施优化。
[00:00:51.720 --> 00:00:56.900] 孟夺在球员时期也是以投射见长,他的参与也让整个测试更具参考价值。
[00:00:56.900 --> 00:01:03.040] 优化后,他的投篮从出手弧度、出手速度到发力效率都实现了可量化的提升。
[00:01:03.300 --> 00:01:08.940] 我们借助投篮实验室的智能检测设备,对球员投篮的15个要素进行了全面分析。
[00:01:09.180 --> 00:01:13.540] 每次投篮都会得到一个综合评分,供训练师与球员参考。
[00:01:13.800 --> 00:01:19.180] 而在美国,这类投篮检测系统帮助职业球员的训练提升已有十多年的历史。
[00:01:19.420 --> 00:01:25.060] 首先是第一轮测试,孟夺的投篮暴露出了手快脚慢、发力脱节的问题。
[00:01:25.320 --> 00:01:26.860] 这也造成了出手速度偏低。
[00:01:27.160 --> 00:01:33.300] 平均出手速度在0.9秒左右,出手角度较低,手型晃动不稳定等劣势。
[00:01:33.560 --> 00:01:39.180] 这轮投篮测试的最低评分是59分,这几乎就是当前很多球员的真实写照。
[00:01:39.440 --> 00:01:43.280] 在第二轮测试中,他加强了下肢的登身意识,问题有所缓解。
[00:01:43.540 --> 00:01:49.420] 但下肢登身的完整度仍然不高,上肢起球的时机过早,存在轻微的发力脱节问题。
[00:01:49.680 --> 00:01:52.500] 这轮投篮测试的最低评分是64分。
[00:01:52.760 --> 00:01:56.860] 在第三轮测试中,我们建议他使用实战全力跳投的方式。
