# Transcript: douyin_7155331043304705317

- URL: https://www.douyin.com/video/7155331043304705317
- Title: 4.7万 快速提高运动表现的筋膜训练，一节课后张伟丽出拳力量提高了30%！ #张伟丽 #投篮教学 #库里 #筋膜训练
- Published at: 2022-10-17 12:18:52+0800
- Generated at: 2026-06-12T18:01:22.216913+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:09.000] 我们在不增加肌肉量的情况下,如何快速提高整体的力量?张伟丽在经历一节课的筋膜训练后,出拳力量提升了30%。
[00:00:30.000 --> 00:00:33.860] 你看那个照片,那个蝉子跟那个筋膜是一模一样的。
[00:00:33.860 --> 00:00:40.640] 然后人的身体里边,就是在那个,你看吃过猪肉,猪肉里边有那个白色的,那都是筋膜。
[00:00:40.820 --> 00:00:44.580] 所以它那个筋膜可以从脚下连接到全身,就是这种训练。
[00:00:44.980 --> 00:00:50.280] 来到武馆,经过充分热身后,张伟丽开始了测试一分钟的五次后手拳。
[00:00:57.860 --> 00:00:59.980] 测试结果为,最高出拳力量是30%。
[00:01:00.000 --> 00:01:03.560] 平均出拳力量为440磅,平均出拳力量为374磅。
[00:01:03.980 --> 00:01:07.480] 随后开始筋膜训练课程,训练详情可见上期视频。
[00:01:30.000 --> 00:01:58.760] 在筋膜训练结束后,张伟丽开始了训练效果测试,两分钟的11次后手拳。
[00:01:58.760 --> 00:01:59.800] 测试结果为,
[00:02:00.000 --> 00:02:04.560] 最高出拳力量为563磅,平均出拳力量为486磅。
[00:02:04.940 --> 00:02:08.140] 相比筋膜训练前,出拳力量提升了30%。
[00:02:08.140 --> 00:02:12.860] 你的脚虽然仍然有带动你的臀部,你臀部直接过去。
[00:02:14.420 --> 00:02:16.520] 而不是你的胳膊,你胳膊没一点触动力。
[00:02:16.760 --> 00:02:21.920] 其实你最重要的一感觉是你的脚,因为你要活动非常好,就是你的脚。
[00:02:22.520 --> 00:02:26.260] 你的脚,你的那个张力一定要保持,这是什么意思呢?
[00:02:26.260 --> 00:02:28.980] 就是说,你移动的时候,你的张力都必须有。
[00:02:30.000 --> 00:02:32.620] 你脚的前面,前面,后面都得有。
[00:02:32.620 --> 00:02:33.580] 打的时候也得有。
[00:02:33.580 --> 00:02:39.080] 而且打的时候还要用更多的脚心能力传到手中来击打。
[00:02:39.080 --> 00:02:42.980] 我觉得我现在比以前速度快一些了。
[00:02:42.980 --> 00:02:47.580] 就是我打那个派演的时候,我觉得比以前启动还快。
[00:02:47.580 --> 00:02:52.020] 还有实战的时候,我动那个斯卡尼的时候,我感觉那个启动很快。
[00:02:52.020 --> 00:02:55.520] 他打到我,我都能往里顶,我能快。
[00:02:55.520 --> 00:02:58.420] 以前打完了都走了。
[00:02:58.420 --> 00:02:59.140] 打完了。
[00:02:59.140 --> 00:02:59.640] 打完了。
[00:02:59.640 --> 00:03:00.340] 打完了。
[00:03:00.340 --> 00:03:00.840] 打完了。
[00:03:00.840 --> 00:03:01.340] 打完了。
