# Transcript: douyin_7274068441382849849

- URL: https://www.douyin.com/video/7274068441382849849
- Title: 3.2万 投篮技术优化/螳螂拳、撅腚式颠投快速进化为舒展大跳投! #投篮矫正 #waveball #投篮训练
- Published at: 2023-09-02 11:40:37+0800
- Generated at: 2026-06-12T17:44:59.025140+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.640] 这是8月份在深圳遇到的一位球馆老鼠,小伙子的训练非常刻苦。
[00:00:04.940 --> 00:00:07.380] 但在投篮方面,他一直有不少困扰。
[00:00:07.720 --> 00:00:12.780] 我对他的投篮进行了约一节课的调整,这是他之前的投篮,这是调整后的投篮。
[00:00:13.220 --> 00:00:20.440] 他投篮的主要问题是,上下之发力都很不充分,重心前倾,出手角度与高度都较低,抗防守的干扰性较弱。
[00:00:20.820 --> 00:00:25.080] 而目前国家队主力后卫赵瑞与赵继伟,也存在部分相同问题。
[00:00:25.380 --> 00:00:29.660] 赵瑞的出手角度与高度都较低,在压迫防守下难以出手。
[00:00:30.000 --> 00:00:38.100] 赵继伟的主要问题是下至膝关节主导的蓄力,登身速度慢,重心前倾,在较高水平的防守下,稳定性就急剧下滑。
[00:00:38.540 --> 00:00:42.580] 本期视频是对他投篮调整的简要总结,梳理出了五个重点方面。
[00:00:42.900 --> 00:00:46.400] 对于有类似问题的球友,具有较大的参考借鉴意义。
[00:00:46.720 --> 00:00:52.840] 第一方面是关于力线的调整,他之前的起球偏左幅度较大,整个起球的轨迹左右横移偏多。
[00:00:52.840 --> 00:00:59.760] 有些甩居的习惯,要求他调整到偏身体中部起球,让整体力线更加正直,方向控制更加稳定。
[00:01:00.060 --> 00:01:09.860] 第二方面是要求他充分起跳,他之前的投篮伸膝与身宽都不充分,出手后膝关节弯曲,追着屁股,他自述这方面是模仿的诚心看。
[00:01:10.240 --> 00:01:16.980] 在积极伸膝身宽的同时,还要求他充分地去延展脊柱,从腰椎到胸椎到颈椎的充分延展发力。
[00:01:17.040 --> 00:01:20.740] 由于脊柱灵活性的限制,他在这一点完成度还不够高。
[00:01:22.840 --> 00:01:26.880] 伸展手臂,出手后肘部高于眼部,提高了出手角度与高度。
[00:01:27.200 --> 00:01:30.160] 形成稳定的手型,每次投篮都尽量保持一致。
[00:01:30.580 --> 00:01:33.600] 他之前习惯缩手投篮,比较依赖灵场的手感。
[00:01:34.000 --> 00:01:40.500] 第四方面是调整他的急停技术,他之前习惯拳脚掌急停,更多的屈膝制动,重心更多的前冲。
[00:01:40.840 --> 00:01:47.620] 要求他使用脚跟急停,脚趾蹬地,更多的躯宽制动,重心变得更加稳定,蹬身速度显著提高。
[00:01:47.820 --> 00:01:52.820] 第五方面是调整他的起球方式,他之前的起球是篮球远离身体。
[00:01:53.180 --> 00:01:59.620] 上肢带动下肢伸展的发力方式,要求他把球收进身体重心,更多的上下肢同步伸展起球。
[00:01:59.940 --> 00:02:02.640] 这样重心更加稳定,发力也更加高效。
[00:02:03.060 --> 00:02:07.980] 经过调整后他完全解锁了跳投的技能,投篮抗防守的干扰性显著增强。
[00:02:08.320 --> 00:02:13.000] 整体姿态也美观了很多,但他在降重心收球的环节,做得还不够到位。
[00:02:13.140 --> 00:02:17.540] 身体重心的控制与上下肢协同发力上,还有较大的提升空间。
