# Transcript: douyin_7004663931947994400

- URL: https://www.douyin.com/video/7004663931947994400
- Title: 7.9万 如何像哈登一样轻松投篮！技术解析 | 哈登投篮的4个深层细节 #詹姆斯哈登 #投篮教学 #篮球干货
- Published at: 2021-09-06 11:53:31+0800
- Generated at: 2026-06-12T18:13:27.588071+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.840] 哈登作为NBA线以第一得分后卫,无论是他的突破还是投篮都堪称一流。
[00:00:07.180 --> 00:00:09.480] 本期视频解析哈登投篮的四个细节。
[00:00:09.880 --> 00:00:18.060] 细节一,投篮发力,哈登在准备投篮时总是保持双脚脚跟离地,这可以使他的双脚充分蓄力,在任何脚步下快速投篮。
[00:00:18.520 --> 00:00:23.220] 其次,在他准备投篮时脚踝、膝关节、髋关节三个关节协同发力。
[00:00:23.500 --> 00:00:29.740] 下肢就像一个被压缩的弹簧,这能获得更多的下肢力量,而哈登的投篮起跳高度都较低。
[00:00:30.100 --> 00:00:35.480] 他将身体产生的力量,充分传导到了篮球上,这是哈登投篮流畅且有力的关键。
[00:00:35.840 --> 00:00:45.060] 用前脚掌发力投篮,可以有效改善手快脚慢造成的发力脱节,如果长期养成前脚掌发力的习惯,你的脚踝力量也会随之变强。
[00:00:45.380 --> 00:00:51.100] 细节二,投篮手持球习惯,哈登准备投篮时,习惯将投篮手放在球的顶部。
[00:00:51.400 --> 00:00:55.260] 这可以使投篮手手腕更加放松,投篮时投篮手手肘更正。
[00:00:55.620 --> 00:00:59.060] 同理,库里起球时习惯将投篮手放在球的侧上方。
[00:00:59.060 --> 00:01:05.200] 如果起球时将投篮手放在球的下方,常会出现手腕紧张,手肘过度外翻等问题。
[00:01:05.640 --> 00:01:15.240] 细节三,低沉球点,哈登在中远距离投篮都有沉球的习惯,而且他的沉球点相对较低,大约在腰部与大腿之间,这可以使他充分蓄力。
[00:01:15.620 --> 00:01:20.280] 很多人认为低沉球点会使投篮变慢,哈登却能在各种复杂的情况下投篮。
[00:01:20.700 --> 00:01:27.380] 这是由于他的沉球与起球都非常快速,这不但加速了他投篮的整体速度,而且可以使投篮更有节奏。
[00:01:27.560 --> 00:01:29.040] 养成沉球习惯能为你提升。
[00:01:29.060 --> 00:01:31.720] 这也能为你带来更多力量,可以养稳定的投篮节奏。
[00:01:32.060 --> 00:01:35.900] 细节四,投篮压制,哈登在出手后有篮花指的现象。
[00:01:36.280 --> 00:01:45.180] 这是由于他的投篮波指使用的是中指主导发力,出球后中指及无名指指向地面,其他手指轻微上扬,这可以使球获得充足的后旋。
[00:01:45.480 --> 00:01:52.340] 其次哈登合球投篮时,投篮手放在球的上方,中指大约处于球的中线位置,用中指对着篮筐。
[00:01:52.480 --> 00:01:56.360] 他用中指主导波指发力,可以做投篮最后的瞄准球篇。
[00:01:56.680 --> 00:01:58.960] 很多人在投篮时存在指压腕不压制。
[00:01:59.060 --> 00:02:03.600] 手腕松垮的问题,我们将在下期视频详解关于投篮中的压腕细节。
