# Transcript: douyin_7163227201372949797

- URL: https://www.douyin.com/video/7163227201372949797
- Title: 7491 被忽视的筋膜，从李小龙与库里的发力全面认识筋膜！ #投篮教学 #库里 #李小龙 #筋膜训练
- Published at: 2022-11-07 18:59:59+0800
- Generated at: 2026-06-12T17:59:58.525454+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.820] 经过前几期的科普,很多人还是未能充分认识金魔。
[00:00:04.240 --> 00:00:08.860] 本期视频将通过李小龙以及库里的发力,带大家更全面地认识金魔。
[00:00:09.280 --> 00:00:12.640] 首先,人类强大的爆发力就是来自金魔的储能能力。
[00:00:13.060 --> 00:00:17.220] 李小龙的寸拳及库里的超远投篮,都证明了他们强劲的爆发力。
[00:00:17.600 --> 00:00:23.140] 李小龙在出拳之前,小幅度下沉重心,微距宽微屈膝,右脚前脚掌支撑。
[00:00:23.140 --> 00:00:26.760] 左脚前脚掌蹬地,这是蓄力储存能量的过程。
[00:00:27.080 --> 00:00:33.560] 脚下蹬地,转动宽步,身体快速弹起,瞬间出拳,将全身力量集中一点释放而出。
[00:00:34.000 --> 00:00:40.680] 相似的发力模式,库里在远投时,接球快速降低重心,微距宽微屈膝,双脚前脚掌蹬地。
[00:00:41.060 --> 00:00:47.820] 相似的储能过程,双脚蹬地,小幅度的转宽,身体快速弹起,上肢像鞭子一样将球甩出。
[00:00:48.200 --> 00:00:51.580] 为何小幅度的拉伸肌肉,会产生强大的爆发力呢?
[00:00:51.580 --> 00:00:54.680] 爆发力的来源是千张反射与筋膜弹性。
[00:00:55.060 --> 00:01:01.740] 第一点,筋膜具有弹性,能够产生弹性势能,能够储存及传导能量,特别是肌腱的主要特征。
[00:01:02.120 --> 00:01:07.940] 肌腱负责控制和传导肌肉运动所产生的力量,而肌腱是基础膜在肌肉两端汇齐而成。
[00:01:08.320 --> 00:01:11.160] 肌腱属于深筋膜,主要成分是胶原纤维。
[00:01:11.600 --> 00:01:18.060] 第二点,千张反射,通过快速拉伸肌肉,使肌腱及其他筋膜被拉紧,让肌腱储备势能。
[00:01:18.060 --> 00:01:23.640] 由于筋膜的弹性特征,在伸展阶段,释放出了远远大于肌肉拉伸时的力量。
[00:01:23.960 --> 00:01:29.020] 我们的筋膜就像弹弓上的皮筋,不仅具备弹性,还能够承受很强的拉力。
[00:01:29.320 --> 00:01:35.700] 我们用很小的力于拉伸皮筋,皮筋能够储存能量,在释放阶段爆发出远大于拉力的能量。
[00:01:36.120 --> 00:01:39.380] 其次,筋膜的储能能力是可以通过训练提高的。
[00:01:39.740 --> 00:01:44.680] 李小龙的训练非常接近于现代的训练方式,交叉训练,复合型动作为主。
[00:01:44.680 --> 00:01:50.460] 在李小龙的体势能训练计划里,他常会进行弹振、蹦跳、伸展方面的练习。
[00:01:50.840 --> 00:01:56.700] 这些训练都能增强筋膜的弹性回缩,尤其弹振训练,能够提升筋膜的能量储存能力。
[00:01:57.040 --> 00:02:01.920] 弹振训练应用了弹性势能的作用原理,通过筋膜产生的反作用力来完成动作。
[00:02:02.200 --> 00:02:06.260] 我们前期介绍的张伟利的筋膜训练,大部分内容均为弹振训练。
[00:02:06.660 --> 00:02:10.160] 李小龙的训练中,还包含许多关于本体感觉的练习。
[00:02:10.160 --> 00:02:14.620] 筋膜是人体最大的感觉器官,筋膜中含有大量特殊感受器。
[00:02:14.960 --> 00:02:20.060] 它们不仅能够将信息传递给肌肉,还能将信息从肌肉导出并传递给大脑。
[00:02:20.400 --> 00:02:25.220] 而且能够觉察动作、空间位置、压力、触碰及拉伸等方面的变化。
[00:02:25.660 --> 00:02:33.880] 曾获全美、最佳柔道教练的华丽杰,这样评价李小龙布鲁斯出拳如闪电般迅速,同时又没有失去势大力沉的特点。
[00:02:34.280 --> 00:02:38.220] 他的动作具有美洲豹的优雅从容、机动灵活和威力无比。
[00:02:38.220 --> 00:02:42.340] 李小龙的全身上下,像是裹着一层致密的橡胶紧身衣。
[00:02:42.640 --> 00:02:46.700] 他那惊人的爆发力和灵活性,正是得益于他健康发达的筋膜。
[00:02:47.060 --> 00:02:51.680] 李小龙认为武学的真谛就是要像水一样,有水的形态又有水的刚韧。
[00:02:51.980 --> 00:02:55.020] 而从解剖学的视角来看,筋膜正是这个介质。
[00:03:08.220 --> 00:03:12.480] 当你把水放进了杯子中,水就会出现了。
[00:03:12.480 --> 00:03:16.000] 水可以流出,或者可以冲破。
[00:03:16.000 --> 00:03:18.760] 但是,水就是水,我的朋友。
[00:03:18.760 --> 00:03:21.800] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
