# Transcript: douyin_7248546684114881850

- URL: https://www.douyin.com/video/7248546684114881850
- Title: 共创 2025 投篮技术浅析CUBAL总决赛，广东工业大学工VS清华大学 #投篮教学#waveball #投篮矫正
- Published at: 2023-06-25 17:03:10+0800
- Generated at: 2026-06-12T17:47:20.824966+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:29.980] 中文篮球投篮教学、投篮动作分析、发力矫正和训练建议视频。
[00:00:30.000 --> 00:00:59.980] 中文篮球投篮教学、投篮动作分析、发力矫正和训练建议视频。
[00:01:00.000 --> 00:01:00.540] 还可以。
[00:01:01.460 --> 00:01:16.520] 今天我们主要讨论一下中国大学生联赛的总决赛,广工和清华,尤其是我们印象最深刻的最后一季,曾玉成投的那个非常流畅的不成球的一段式的三分球。
[00:01:16.520 --> 00:01:26.020] 我们上周末也是和安宁一起到了成都现场,近距离去观看了广工对清华的这场总决赛。
[00:01:26.580 --> 00:01:29.840] 我们主要从投射的层面来回顾一下。
[00:01:30.000 --> 00:01:34.980] 清华的外线投射命中率不是非常理想的。
[00:01:34.980 --> 00:01:39.260] 在这场比赛中投出了22G三分,但只命中了两G。
[00:01:39.560 --> 00:01:42.420] 这两G三分都是一个人投出的,就是他们队的冯衍军。
[00:01:42.560 --> 00:01:51.280] 冯衍军其实跟清华的其他的球员的投射的这种发力模式是不同的,可以归属为比较流畅的一段式。
[00:01:51.780 --> 00:01:58.740] 清华主要的得分手方嘉诚的话,他是一个比较有代表性的两段式跳投。
[00:01:58.740 --> 00:01:59.740] 中距离是用。
[00:02:00.000 --> 00:02:02.000] 两段式跳投去中解。
[00:02:02.000 --> 00:02:07.220] 所以他们在清华的阵中,他们两个的投射相对来说比较优秀。
[00:02:07.220 --> 00:02:12.240] 其他球员的这种投篮技术的话是有很大的进步空间的。
[00:02:12.240 --> 00:02:15.800] 比如说我们列举其他两位吧,像邹洋和石窥。
[00:02:15.800 --> 00:02:19.880] 邹洋的话我们之前出过很详细的视频来解读过他。
[00:02:19.880 --> 00:02:24.760] 尤其他的上支这个力线是存在很明显的问题的。
[00:02:24.760 --> 00:02:29.560] 而在比赛中他也去尝试了很多这种持球投篮。
[00:02:30.000 --> 00:02:34.160] 但是他这个下支发力,或者接球投篮都不是很理想。
[00:02:34.160 --> 00:02:36.360] 就是他的整个发力也是。
[00:02:36.360 --> 00:02:40.240] 下支发力的话更多的会去重心压到膝关节。
[00:02:40.240 --> 00:02:43.480] 这种下支的蹬身是比较缓慢的。
[00:02:43.480 --> 00:02:47.440] 而石窥的话他起球早于升宽,下支蹬身不够充分。
[00:02:47.440 --> 00:02:52.720] 然后主要是他的这个上下支结合这种流畅度是比较需要去改善的。
[00:02:52.720 --> 00:02:55.920] 尤其他的这种起球离身体比较远。
[00:02:55.920 --> 00:02:58.540] 和我们下支往上的这个重心啊。
[00:02:58.540 --> 00:02:59.840] 这个空间离的是比较远。
[00:02:59.840 --> 00:03:04.200] 所以他是更多的会用上支,更于末端的控制去投篮。
