# Transcript: douyin_7035459918949780767

- URL: https://www.douyin.com/video/7035459918949780767
- Title: 9.9万 库里投篮的核心技术——甩鞭发力，学会它，普通人也能站投三分！ #库里 #投篮教学 #waveball
- Published at: 2021-11-28 11:37:41+0800
- Generated at: 2026-06-12T18:10:47.384993+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:02.520] 学会此技术,普通人也可以战投三分。
[00:00:03.980 --> 00:00:11.460] 在库里投篮时,屈膝区宽幅度小,起跳高度低,但他投出的球却能做到又高又远,同时篮球转速极快。
[00:00:11.840 --> 00:00:17.140] 这一切除了库里强劲的宽爆发能力外,还来自于他上支发力的核心技术甩边发力。
[00:00:18.200 --> 00:00:26.760] 甩边发力常见于棒球、乒乓球、拳击等运动中,而中国传统武术中的通位拳,把此发力技术几乎发挥到了极致。
[00:00:26.760 --> 00:00:33.000] 很多人认为库里的投篮的上支发力是推投,其实用甩投来描述库里的投篮更加准确。
[00:00:33.440 --> 00:00:37.460] 库里的投篮是借助下支的力量,再通过放松的上支将球甩出。
[00:00:37.820 --> 00:00:40.400] 那么甩边发力为何能产生如此大的力量呢?
[00:00:40.760 --> 00:00:45.240] 在运动时,人体的各个环节就像铁链的一个个锁扣,环环相扣。
[00:00:45.680 --> 00:00:48.800] 在研究人体运动时我们将这条环节链称为动力链。
[00:00:48.800 --> 00:00:58.860] 在投篮时,动力链从踝关节开始,途径膝关节、髋关节、肩关节、肘关节最后再到腕关节的顺序启动,整条动力链的肌肉依次发力。
[00:00:59.120 --> 00:01:01.920] 人体躯干就像一个质量很大的鞭子的根部。
[00:01:02.220 --> 00:01:13.200] 当躯干产生的动量,通过放松的上支逐节甩动传递到肢体的末端手部时,由于动量守恒原理,手部的质量远小于躯干的质量,因此手部环节会获得很大的速度。
[00:01:13.380 --> 00:01:18.320] 但如果中途动量传递出错,比如核心的松垮,比如上支的主动发力,
[00:01:18.320 --> 00:01:22.440] 导致动力链的脱节,动量就会大打折扣,甚至无法传递。
[00:01:23.520 --> 00:01:26.900] 那么如何才能做到像库里一样的甩边发力呢?
[00:01:27.220 --> 00:01:30.340] 首先是投篮时上支的充分放松,放松的持球。
[00:01:30.800 --> 00:01:34.200] 其中侧腕持球与起球是库里投篮手放松的关键。
[00:01:34.640 --> 00:01:41.000] 上支不要主动发力去沉球与起球,利用篮球下落的惯性沉球,利用身体上升的弹性起球。
[00:01:41.480 --> 00:01:47.340] 其次是竖直举球,流畅的竖直举球是库里甩边发力的关键,蹬地发力同时举球。
[00:01:47.340 --> 00:01:53.240] 举球需要贴近身体,不要前举大臂导致球远离身体,这会破坏身体的平衡。
[00:01:53.520 --> 00:01:59.020] 库里的举球轨迹曲线相对平缓,这有利于身体重心的控制,以及力量的传导。
[00:01:59.420 --> 00:02:05.060] 最后是快速压腕,库里的压腕并不是手腕孤立的发力,是顺势压腕,没有停顿。
[00:02:05.520 --> 00:02:10.160] 手掌与篮球自然贴合,保持放松,不要五指紧绷,刻意留出空隙。
[00:02:10.600 --> 00:02:15.440] 出手时五指都有一时的指向篮筐方向,这是甩边发力中方向控制的核心。
[00:02:15.700 --> 00:02:16.260] 总结
[00:02:16.260 --> 00:02:18.140] 投篮上肢甩边发力的要点
[00:02:18.140 --> 00:02:24.620] 保持上肢肌肉的充分放松,肩关节、肘关节、腕关节的柔性连接并依次逐节甩动。
