# Transcript: douyin_7087779541116112131

- URL: https://www.douyin.com/video/7087779541116112131
- Title: 9266 传球与篮球智商—“模板林书豪”华裔美式后卫沃尔特·林技术解析 #林书豪 #waveball
- Published at: 2022-04-18 11:24:32+0800
- Generated at: 2026-06-12T18:07:12.832547+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.720 --> 00:00:07.020] 在上期我们解析了沃尔特林投篮部分的内容,本期我们将继续解读他的传球与篮球智商。
[00:00:07.460 --> 00:00:13.280] 首先是传球方面,第一点,突破分球,沃尔特林有着优秀的突破及阅读防守的能力。
[00:00:13.620 --> 00:00:19.820] 他在突破中善于发现位置更好的队友,他习惯使用的是双手的低手传球,这非常隐蔽。
[00:00:24.500 --> 00:00:28.180] 同样他也会用到单手的低手传球,但这难度更大。
[00:00:30.000 --> 00:00:40.840] 有时跳起后的过顶传球会是一个不错的选择,但过度使用也容易造成失误。
[00:00:42.660 --> 00:00:49.420] 第二点,挡拆传球,他在挡拆后对于基地传球的时机把握得很准确,传球的角度也相当刁钻。
[00:00:49.900 --> 00:00:55.920] 这一球他将球从左侧拉到右侧的假动作,欺骗防守的同时能让球获得更好的反弹效果。
[00:00:56.120 --> 00:00:59.460] 当防守者离得很近时,就不能使用基地传球。
[00:00:59.720 --> 00:00:59.980] 他会使用传球的角度,但他也会使用传球的角度,以便能够传球。
[00:00:59.980 --> 00:01:01.240] 他会选择过顶的传球。
[00:01:15.720 --> 00:01:22.220] 当遭遇贴防时,他常会用到勾手传球,勾手传球给侧翼的射手,勾手传球给内线。
[00:01:25.860 --> 00:01:29.420] 当发现内线被夹击时,果断传球给侧翼的射手。
[00:01:29.980 --> 00:01:34.740] 他会使用传球的角度,以便能够使用基地传球给侧翼的射手。
[00:01:35.480 --> 00:01:36.960] 第三点,快攻长传。
[00:01:37.280 --> 00:01:42.860] 在沃尔特林的每场比赛几乎都能看到,快攻时,他总能发现跑在最前面的队友。
[00:01:43.280 --> 00:01:46.900] 这里的关键是拿到球后,第一时间抬头观察队友的位置。
[00:01:55.560 --> 00:01:59.680] 如果对方防守球员的注意力没有在持球人,把球传到防守场面。
[00:01:59.680 --> 00:02:00.480] 这就是防守者的身后。
[00:02:06.620 --> 00:02:11.280] 如果是较远的长传,最好使用单手传球,就像扔橄榄球一样。
[00:02:16.460 --> 00:02:19.100] 这是在快攻中局部二打一的传球选择。
[00:02:25.760 --> 00:02:29.660] 当对手开始有意识的封堵传球时,果断选择自己玩。
[00:02:29.680 --> 00:02:30.440] 这就是在快攻中局部二打一的传球选择。
[00:02:32.820 --> 00:02:34.440] 第四点,空切传球。
[00:02:34.620 --> 00:02:38.960] 沃尔特林能敏锐地发现空切的队友,这样的机会总是转瞬即逝。
[00:02:39.220 --> 00:02:41.220] 所以传球的速度要求非常快。
[00:02:57.620 --> 00:02:59.620] 他的不看人传球也是欺骗性失踪。
[00:02:59.680 --> 00:03:05.440] 这就是在空切传球时,果断选择自己玩。
