# Transcript: douyin_7525493225554038056

- URL: https://www.douyin.com/video/7525493225554038056
- Title: 3724 走出误区！投篮一定得空出手心，投篮射程与精准控制都能兼顾 为何仅用指尖投篮就能完整超远三分，无论是顶级射手凯特琳克拉克的一段式投篮，还是小手麦康奈尔的两段式投篮，他们的手掌大小与普通人相近，都是采用的空手心的持球方式。手掌贴球的持球方式能解决部分射程，但它会让你丢失手腕手指的精准控制。#waveball #投篮教学 #凯特琳克拉克
- Published at: 2025-07-11 00:37:11+0800
- Generated at: 2026-06-12T16:37:43.383553+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.960] 投篮时空出手心,小手也能完成金砖院头。
[00:00:30.000 --> 00:00:32.520] 手指、手腕仍然保持着蓄力结构。
[00:00:33.140 --> 00:00:36.760] 其实对于手小的这类人,我们一样可以做出空出手心后,
[00:00:36.920 --> 00:00:39.340] 做到稳定的脱球与发力结构。
[00:00:40.200 --> 00:00:44.560] 现在我们先用五个手指,这个面积是非常小的,就几个点接处。
[00:00:44.840 --> 00:00:49.400] 但几个点接处之下,我的手掌掌弓有蓄力,手指有蓄力,手腕有蓄力,
[00:00:49.520 --> 00:00:55.040] 手腕保持了所谓的后伸后倒,所以用这种小手也能投得很远。
[00:00:57.780 --> 00:00:59.980] 最近NBA总决赛中的麦康奈尔,
[00:01:00.000 --> 00:01:02.460] 他的手也是非常小的,比女记者的手还小。
[00:01:02.840 --> 00:01:05.540] 但他一样能通过这种稳定的脱球结构,
[00:01:05.620 --> 00:01:09.220] 做到这种高制空的两段式超高的出手点出手,
[00:01:09.320 --> 00:01:12.280] 保持我们的手腕后伸蓄力,保持我们的手指蓄力,
[00:01:12.640 --> 00:01:16.340] 保持我们的手掌这个掌弓稳定的一个脱球结构。
[00:01:16.720 --> 00:01:21.060] 讲到这里,可能有人会提出这样的手型结构难以衔接远距离的投篮。
[00:01:21.240 --> 00:01:25.960] 那我们就来看一下另外一位球员,比库里平均射程还远的凯特林·克拉克。
[00:01:26.340 --> 00:01:28.100] 凯特林·克拉克的手也是偏小的,
[00:01:28.100 --> 00:01:29.980] 但他的投篮的时候,他的手型,
[00:01:30.020 --> 00:01:32.180] 这个结构是保持的很稳定的,
[00:01:32.280 --> 00:01:35.300] 兼顾他射程的同时,能够做到手上的一些精准控制。
[00:01:35.440 --> 00:01:38.480] 最后我们的精准控制,手指手腕的作用是非常重要的。
[00:01:38.620 --> 00:01:41.820] 你在投篮时,手腕的左右摇板以及前后的松软,
[00:01:42.000 --> 00:01:46.500] 对你的投篮射程以及方向的精准控制都会造成极大的负面影响。
[00:01:47.380 --> 00:01:49.100] 我们甚至可以做到三个手指,
[00:01:49.460 --> 00:01:52.560] 也就是一个三点支撑,球就能稳定住了。
[00:01:52.880 --> 00:01:55.740] 刚才这球我只用了三个手指的指尖来控球,
[00:01:55.740 --> 00:01:58.980] 它也能保证我们远距离的投射和精准控制。
[00:01:59.160 --> 00:01:59.980] 所以这样的持续方式,
[00:02:00.000 --> 00:02:02.760] 球手心无论在一段式投篮还是两段式投篮中,
[00:02:02.860 --> 00:02:05.180] 它都是通用的,无关手掌的大小。
