# Transcript: douyin_7157674052033826062

- URL: https://www.douyin.com/video/7157674052033826062
- Title: 5.1万 根治投篮中的“脚慢”，90%的普通人不会正确使用前脚掌发力！ #库里 #雷阿伦 #筋膜训练
- Published at: 2022-10-23 19:50:56+0800
- Generated at: 2026-06-12T18:00:40.381657+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.120 --> 00:00:07.180] 手快脚慢,是投篮发力中最常见的问题,这会导致整体发力脱节,发力效率低,投篮速度慢。
[00:00:07.540 --> 00:00:13.460] 同时投篮姿态不美观,本期视频将从根源上,解决手快脚慢中最顽固的脚慢问题。
[00:00:13.860 --> 00:00:19.360] 脚慢是指投篮时下肢伸展发力过程较慢,整体发力脱节投篮难以借力到下肢。
[00:00:19.760 --> 00:00:25.200] 这是三种常见的手快脚慢发力脱节的案例,它们的共同点都是向下蓄力幅度过大。
[00:00:25.200 --> 00:00:30.560] 力量传导低效,在发力顺序上,它们把脚下的蹬地都放到了最后环节。
[00:00:30.960 --> 00:00:34.580] 其实脚慢的根源就在于脚下,我们就要从脚下来解决。
[00:00:35.040 --> 00:00:39.160] 在投篮发力时我们需要把脚下的蹬地放在下肢启动的第一位。
[00:00:41.340 --> 00:00:46.480] 但很多人又找不到脚下主动蹬地的发力感,在蹬地时他们常使用拳脚掌。
[00:00:46.800 --> 00:00:53.940] 而一些人在效仿职业球员用前脚掌主动发力时,身体又难以保持平衡,一方面是由于本身足缓。
[00:00:54.020 --> 00:00:55.180] 核心力量偏弱。
[00:00:55.200 --> 00:00:58.260] 另一方面是他没有做到正确的足部生物力学。
[00:00:58.600 --> 00:01:02.460] 我们投篮蓄力下蹲时,足位区与足趾区几乎要同时进行。
[00:01:02.780 --> 00:01:06.080] 也就是前脚掌向下踩的同时脚趾需要向下抠地。
[00:01:06.500 --> 00:01:11.260] 这能快速地调动臀部肌群与腹部肌群参与发力,保持身体重心的稳定。
[00:01:11.680 --> 00:01:17.560] 我们的足部是多条筋膜链的起点,脚下主动的发力能快速目击神经,协调小腿肌群。
[00:01:17.560 --> 00:01:23.780] 臀部肌群、腹部肌群整体发力,再加之筋膜本身的弹性是能与千张反射产生的力量。
[00:01:23.980 --> 00:01:27.380] 仅用小幅度的蓄力,就能爆发出强大的力量。
[00:01:27.640 --> 00:01:31.320] 投篮发力时脚下率先主动的蹬地带动身宽与身膝。
[00:01:31.580 --> 00:01:36.000] 只有做到脚下的快速而有力,才能从根源上解决脚慢的问题。
[00:01:36.240 --> 00:01:42.320] 无论是库里列一段是投篮,还是雷阿伦的两段是跳投,他们使用的也都是此下之发力模型。
[00:01:42.520 --> 00:01:47.240] 最后,关于脚下发力的训练,可参考前期张伟丽的筋膜训练内容。
[00:01:47.560 --> 00:01:49.560] 感谢观看
