# Transcript: douyin_7483739808062328073

- URL: https://www.douyin.com/video/7483739808062328073
- Title: 1688 如何快速解锁库里同款抛投！ 抛投是投篮的重要基础，本视频通过矫正训练解决常见的抛投问题，快速解锁库里同款抛投，含专项转化训练。#waveball #投篮教学 #库里 #抛投
- Published at: 2025-03-20 12:12:36+0800
- Generated at: 2026-06-12T17:33:26.137585+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:12.360] 首先第一个问题,常见的手快脚慢,先动手再蹬地会出现发力的脱节。
[00:00:12.780 --> 00:00:22.620] 我们需要做到蹬地的同时起球,做到对侧同步的协调向上,也就是上肢需要利用到下肢躯干蹬身建立的角度速度再发力。
[00:00:23.380 --> 00:00:26.040] 那个脚和手一起向上,不能首先动。
[00:00:26.040 --> 00:00:34.760] 此处下肢仍然不够积极,明显之后,下肢需要更早的发力时机,更积极的蹬身,为上肢提供向上的速度与出手角度。
[00:00:35.200 --> 00:00:42.500] 尽量做到就是你的脚往前迈多一点,第一步,稍微多一点,好,往上伸,对,这下,就这个感觉,漂亮。
[00:00:43.220 --> 00:00:47.120] 宽区就是让你步幅增大这下,主要是去宽抬腿的这个能力。
[00:00:47.520 --> 00:00:52.360] 问题二,上肢力线不正,缺乏旋转的发力,手腕描框,手腕发力主导。
[00:00:52.600 --> 00:00:54.660] 更多需要把你的肩肘往上抬。
[00:00:54.660 --> 00:00:56.940] 手指是一个跟随,跟着不用压腕。
[00:00:57.320 --> 00:01:05.540] 就老师你在这个一半的时候,看,就压了,往这边走,这样看你,你做一点侧伸,其实你的肘也震了,你的,你的手腕也对框了。
[00:01:06.460 --> 00:01:08.680] 大概虎口方向啊,虎口的方向对框。
[00:01:10.240 --> 00:01:17.820] 来,就感觉看,侧向的把它切上去,切上去,然后它就顺直了,切上去,它小臂悬前自然就震了。
[00:01:17.820 --> 00:01:24.640] 小臂是震的,手腕就会侧,你的手腕震,它就是反,这两个是自然状态是对框的。
[00:01:24.660 --> 00:01:24.820] 往上的。
[00:01:26.440 --> 00:01:31.680] 往上拖,给点力,给点力,对,走,可以,这个很好,这像交互,对侧交互的感觉。
[00:01:32.500 --> 00:01:34.040] 开,合,走,对。
[00:01:36.800 --> 00:01:41.760] 我两个手,两个脚是从开到合去延伸,去合这条线的。
[00:01:43.220 --> 00:01:46.120] 上,变窄,走,这压腕了。
[00:01:47.680 --> 00:01:50.580] 反复强化沿着脊柱旋转的发力,可以。
[00:01:51.520 --> 00:01:52.780] 这控制感就强了。
[00:01:53.580 --> 00:01:54.520] 左手给点力。
[00:01:54.660 --> 00:01:57.420] 向上顺,对,这个感觉,漂亮。
[00:01:57.420 --> 00:01:57.920] 这下。
[00:02:00.860 --> 00:02:01.500] 好,可以。
[00:02:01.500 --> 00:02:03.780] 最后附上三个专项的强化动作。
[00:02:03.780 --> 00:02:08.500] 二,三,四,往中间切,对,往中间,对,可以。
[00:02:08.500 --> 00:02:10.020] 有一些旋转,可以。
[00:02:10.700 --> 00:02:14.660] 那宽去就是让你步幅增大了一下,主要是去宽抬腿的这个能力。
[00:02:14.660 --> 00:02:19.320] 你左手起球一下是匹配你的右宽,右宽上提。
[00:02:21.940 --> 00:02:23.540] 对,你的手不用去主动推它。
[00:02:23.540 --> 00:02:24.540] 其实那个拉就,
[00:02:24.660 --> 00:02:25.660] 带动它向上了。
[00:02:25.660 --> 00:02:28.280] 对,胸椎的旋转它自动带上去了。
[00:02:28.280 --> 00:02:30.280] 那手就不用跟它较劲。
