# Transcript: douyin_7108190104266509604

- URL: https://www.douyin.com/video/7108190104266509604
- Title: 1.9万 投篮不稳定，姿态怪异？塔图姆投篮深度解析 #投篮教学 #塔图姆 #waveball
- Published at: 2022-06-12 11:27:57+0800
- Generated at: 2026-06-12T18:06:03.392871+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.300] 杰森塔图姆以成长为一名攻守兼备的明星球员,尤其在进攻端持续进化。
[00:00:05.640 --> 00:00:11.620] 但他的投篮表现依然不够稳定,较多地依赖临场的手感,他的投篮个人特点十分鲜明。
[00:00:12.020 --> 00:00:17.680] 塔图姆在中距离场使用的是两段式的跳投,而在远距离场使用的是1.5段式的跳投。
[00:00:18.000 --> 00:00:22.520] 仍然是借助下肢的力量顺势出手,为何很多人觉得塔图姆的投篮怪异?
[00:00:22.860 --> 00:00:25.240] 本期视频将深度解析塔图姆的投篮。
[00:00:25.240 --> 00:00:31.860] 首先是塔图姆投篮的下肢发力环节,塔图姆的下肢发力较少的区宽,以屈膝蓄力主导。
[00:00:32.220 --> 00:00:35.240] 通过前脚掌主动蹬地,来启动下肢的发力。
[00:00:35.660 --> 00:00:41.740] 在起球时他的膝关节前顶,膝盖大幅度超过脚尖,这常造成他投篮时身体重心前倾。
[00:00:42.200 --> 00:00:48.900] 他会通过举球后拉,躯干后仰,挺腰发力来平衡身体重心,这也是他投篮不稳定的重要原因。
[00:00:49.180 --> 00:00:54.360] 塔图姆前脚掌蹬地,下肢完成伸展后,上肢开始发力伸展完成投篮。
[00:00:54.360 --> 00:01:01.400] 其次是起球环节,塔图姆的起球形成较长,通常从腹部起球,沿着身体中部起球到头顶。
[00:01:01.720 --> 00:01:06.060] 他有举球后拉的习惯,在抬球点投篮手手肘明显高于肩部。
[00:01:06.440 --> 00:01:12.120] 最后是塔图姆投篮的上肢发力环节,塔图姆的持球,投篮手放在篮球的正上方。
[00:01:12.500 --> 00:01:16.460] 手指与掌根都是与篮球贴合的,辅助手置于篮球的侧面。
[00:01:16.800 --> 00:01:21.900] 在他起球时投篮手大臂内侧贴近身体,手肘大幅度内收,同时双肩内收。
[00:01:21.900 --> 00:01:27.060] 他的投篮手手肘在起球的过程中,几乎都是正直的处于篮球的正下方。
[00:01:27.380 --> 00:01:35.260] 这能使他投篮更稳定的直线发力,确保了投篮方向的正直,但如果去效仿此动作,大多数人感觉会是非常难受的。
[00:01:35.640 --> 00:01:40.040] 塔图姆投篮拥有较高的上肢发力点,起球到头顶后上肢开始发力。
[00:01:40.440 --> 00:01:50.880] 他投篮的上肢力量,主要来源于小臂向上向前的甩动,他投篮的释放点极高,出手角度较大,防守很难干扰到,同时这也能获得较高的投篮弧度。
[00:01:51.120 --> 00:01:51.880] 塔图姆投篮
[00:01:51.880 --> 00:01:56.880] 塔图姆投篮的辅助手,有波指发力的现象,这也更多的是作用于篮球弹道的纠偏。
[00:01:57.340 --> 00:02:02.860] 塔图姆的投篮优缺点明显,目前他的投篮体系还不够成熟,并不建议大家盲目效仿。
