# Transcript: douyin_7018393096928922893

- URL: https://www.douyin.com/video/7018393096928922893
- Title: 7.9万 深度解析|汤普森教科书式投篮！两大发力特点、五个投篮细节 #篮球干货 #投篮教学 #汤普森
- Published at: 2021-10-13 11:49:42+0800
- Generated at: 2026-06-12T18:12:20.472483+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.920] 作为NBA联盟的顶级的分手,克莱·汤普森拥有教科书般的投篮技术。
[00:00:05.240 --> 00:00:11.760] 他的投篮快稳准,既符合传统投篮的3个90度标准,又拥有现代投篮同上同下的发力节奏。
[00:00:12.100 --> 00:00:16.560] 本期视频将从两大发力特点,5个投篮细节来解析汤普森的投篮。
[00:00:17.000 --> 00:00:20.120] 首先,我们从汤普森投篮发力的两大特点说起。
[00:00:20.520 --> 00:00:23.620] 第一点,汤普森将自己的投篮形容为倒流的瀑布。
[00:00:23.840 --> 00:00:27.360] 流畅有力,汤普森采用的是同上同下的发力节奏,
[00:00:27.360 --> 00:00:30.340] 他在接球时利用了球下落的惯性顺势沉球。
[00:00:30.740 --> 00:00:35.720] 沉球同时怀、吸、关三个关节弯曲蓄力,前脚掌蹬地进入起球阶段,
[00:00:36.020 --> 00:00:37.940] 起球同时深吸深宽向上发力。
[00:00:38.340 --> 00:00:41.220] 他的起球也是利用身体向上的力量顺势起球。
[00:00:41.700 --> 00:00:46.080] 汤普森的沉球与起球都是顺势而为,这是他投篮如此丝滑的重要原因。
[00:00:46.540 --> 00:00:51.760] 很多人都是用手臂主动发力去沉球与举球,这容易造成上下之发力的不协调。
[00:00:52.120 --> 00:00:56.660] 第二点,相比大多数球员,汤普森投篮趋膝趋宽的幅度都很小,
[00:00:56.660 --> 00:00:58.680] 但他的起跳仍然快速且有力。
[00:00:58.980 --> 00:01:02.620] 除了汤普森拥有强大的核心力量外,很重要的一点是,
[00:01:02.860 --> 00:01:07.960] 汤普森把点脚垫步投篮运用到了极致,他在投篮前常会做点脚的垫步,
[00:01:08.140 --> 00:01:09.400] 之后快速弹起投篮。
[00:01:09.820 --> 00:01:13.700] 这充分利用了脚部肌肉群及小腿肌肉群的超等长收缩,
[00:01:13.980 --> 00:01:15.820] 获得了远超肌肉拉伸时的力量。
[00:01:16.240 --> 00:01:20.100] 超等长收缩的特点,更大力量,更快速度,更省力。
[00:01:20.520 --> 00:01:24.900] 汤普森以上两个投篮发力的特点,都有效提高了他投篮的整体速度。
[00:01:24.900 --> 00:01:27.840] 有时他在比赛中为了追求极致的出手速度,
[00:01:28.100 --> 00:01:29.760] 接球前他会提前降重心。
[00:01:30.120 --> 00:01:32.940] 接球后并没有陈球动作,直接举球投篮。
[00:01:33.460 --> 00:01:37.180] 其次,相比库里欧文,汤普森的投篮更具稳定性,
[00:01:37.460 --> 00:01:39.680] 五个细节让你读懂汤普森投篮的稳。
[00:01:40.060 --> 00:01:43.800] 细节一,双脚站位,汤普森的投篮站位双脚略宽于肩。
[00:01:44.280 --> 00:01:48.060] 左脚正对篮筐,右脚向内旋,形成轻微的内八站位,
[00:01:48.360 --> 00:01:52.060] 这能提供更稳定的双脚支撑,利于保持身体的平衡。
[00:01:52.060 --> 00:01:53.960] 细节二,正腕起球。
[00:01:54.420 --> 00:01:56.480] 汤普森在起球时就已将手腕锁定,
[00:01:56.800 --> 00:02:00.720] 正对篮球的中心线,相较于库里欧文采用的侧腕起球。
[00:02:01.100 --> 00:02:04.320] 正腕起球对于压腕以及投篮瞄准都更具稳定性。
[00:02:04.700 --> 00:02:07.940] 细节三,正直的投篮手臂,汤普森在起球时,
[00:02:08.420 --> 00:02:11.560] 投篮手手肘内收,投篮时投篮手小臂足够正直,
[00:02:11.900 --> 00:02:15.320] 这有利于向上举球的稳定,以及投篮的直线发力。
[00:02:15.700 --> 00:02:17.040] 细节四,投篮压腕。
[00:02:17.040 --> 00:02:20.940] 汤普森的投篮手,手掌与手指都是与球自然贴合的,
[00:02:21.180 --> 00:02:23.080] 并没有刻意为掌心留出空隙。
[00:02:23.400 --> 00:02:25.960] 这可以保证持球的稳定及压腕的完整性。
[00:02:26.340 --> 00:02:29.100] 在他投篮时,压腕幅度达到了约180度,
[00:02:29.380 --> 00:02:31.260] 做到了最大限度的压腕波值。
[00:02:31.620 --> 00:02:35.960] 这是一般人很难做到的,他投出的球后悬十足,弹道非常稳定。
[00:02:36.340 --> 00:02:37.800] 细节五,投篮辅助手。
[00:02:38.080 --> 00:02:40.120] 汤普森是纯粹的单手肩上投篮,
[00:02:40.420 --> 00:02:42.360] 投篮时辅助手只做上举稳定,
[00:02:42.520 --> 00:02:45.160] 并没有参与投篮发力以及方向的纠偏。
[00:02:45.160 --> 00:02:48.740] 这也是现代主流篮球教学中推崇的辅助手技术。
